mode,variant,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
common_rows,allhist_protocol_max,trajectory_plus_oisst,2015,115,59,0.5130434782608696,0.7488492125598811,0.23580573429901153,True,23,18
common_rows,allhist_protocol_max,trajectory_plus_oisst,2016,97,35,0.36082474226804123,0.5924509158201019,0.23162617355206067,True,20,13
common_rows,allhist_protocol_max,trajectory_plus_oisst,2017,109,14,0.12844036697247707,0.2780519278447437,0.14961156087226662,True,22,6
common_rows,allhist_protocol_max,trajectory_plus_oisst,2018,122,95,0.7786885245901639,0.8940590121451919,0.11537048755502799,True,25,24
common_rows,allhist_protocol_max,trajectory_plus_oisst,2019,84,28,0.3333333333333333,0.5940461529170641,0.26071281958373077,True,17,12
common_rows,allhist_protocol_max,trajectory_plus_oisst,2020,106,36,0.33962264150943394,0.5118301200279671,0.17220747851853319,True,22,10
common_rows,allhist_protocol_max,trajectory_plus_oisst,2021,105,34,0.3238095238095238,0.5711527933697165,0.24734326956019265,True,21,13
common_rows,allhist_protocol_max,trajectory_plus_oisst,2022,105,72,0.6857142857142857,0.8301983379529001,0.14448405223861438,True,21,17
common_rows,allhist_protocol_max,trajectory_plus_oisst,2023,80,14,0.175,0.3230798396300266,0.14807983963002663,True,16,3
common_rows,allhist_protocol_max,trajectory_plus_oisst,2024,91,16,0.17582417582417584,0.24728736343864777,0.07146318761447193,True,19,4
common_rows,fixedpre_protocol_max,current_only,2005,129,81,0.627906976744186,0.7377468138986818,0.10983983715449575,True,26,21
common_rows,fixedpre_protocol_max,current_only,2006,100,13,0.13,0.4039706950222005,0.2739706950222005,True,20,7
common_rows,fixedpre_protocol_max,current_only,2007,137,41,0.29927007299270075,0.5837247056245425,0.28445463263184173,True,28,19
common_rows,fixedpre_protocol_max,current_only,2008,140,33,0.2357142857142857,0.506191987544249,0.2704777018299633,True,28,16
common_rows,fixedpre_protocol_max,current_only,2009,143,70,0.48951048951048953,0.6077635497891367,0.11825306027864718,True,29,17
common_rows,fixedpre_protocol_max,current_only,2010,142,74,0.5211267605633803,0.6994321961815102,0.17830543561812995,True,29,23
common_rows,fixedpre_protocol_max,current_only,2011,94,31,0.32978723404255317,0.5274333070140957,0.19764607297154257,True,19,11
common_rows,fixedpre_protocol_max,current_only,2012,99,15,0.15151515151515152,0.7414145856005523,0.5898994340854008,True,20,10
common_rows,fixedpre_protocol_max,current_only,2013,138,92,0.6666666666666666,0.7693509529739417,0.10268428630727511,True,28,23
common_rows,fixedpre_protocol_max,current_only,2014,129,49,0.3798449612403101,0.5359344502267642,0.15608948898645414,True,26,19
common_rows,fixedpre_protocol_max,current_only,2015,115,60,0.5217391304347826,0.7444479820833376,0.22270885164855503,True,23,19
common_rows,fixedpre_protocol_max,current_only,2016,97,33,0.3402061855670103,0.6008718739018333,0.26066568833482295,True,20,15
common_rows,fixedpre_protocol_max,current_only,2017,109,13,0.11926605504587157,0.24417865166497937,0.12491259661910781,True,22,4
common_rows,fixedpre_protocol_max,current_only,2018,122,98,0.8032786885245902,0.8691193460668922,0.06584065754230206,True,25,25
common_rows,fixedpre_protocol_max,current_only,2019,84,27,0.32142857142857145,0.515454667343938,0.19402609591536651,True,17,12
