mode,variant,comparison,estimate,ci_low,ci_high,estimable_years,supported_positive
common_rows,allhist_protocol_max,trajectory_minus_current,0.01999824407149135,-0.009676638768818352,0.04805454014817895,20,False
common_rows,allhist_protocol_max,oisst_minus_trajectory,-0.01582885629199213,-0.05427035525341451,0.023660126175755646,20,False
common_rows,fixedpre_protocol_max,trajectory_minus_current,0.024988501647298107,-0.00017977242549610948,0.050946331102677135,20,False
common_rows,fixedpre_protocol_max,oisst_minus_trajectory,-0.017942480110109297,-0.048247510242299126,0.00804934182418692,20,False
common_rows,fixedpre_protocol_mean,trajectory_minus_current,0.017871376412959314,-0.006771374006898371,0.04072055617339952,20,False
common_rows,fixedpre_protocol_mean,oisst_minus_trajectory,-0.010406235308806116,-0.02688825453105671,0.010622345881962729,20,False
common_rows,fixedpre_protocol_q23max,trajectory_minus_current,0.018815173404343067,-0.0018387064614644873,0.0363402231761176,20,False
common_rows,fixedpre_protocol_q23max,oisst_minus_trajectory,-0.004070522921345468,-0.021072966075208675,0.012999845665524944,20,False
common_rows,fixedpre_vf75_all4_max,trajectory_minus_current,0.015902532532743603,-0.010116230718624827,0.04180707270484826,20,False
common_rows,fixedpre_vf75_all4_max,oisst_minus_trajectory,-0.015355993160546094,-0.04895561297317025,0.011022035347562093,20,False
common_rows,fixedpre_vf75_noq3_max,trajectory_minus_current,0.026277618788283618,0.0007988786231597834,0.05016372322642432,20,True
common_rows,fixedpre_vf75_noq3_max,oisst_minus_trajectory,-0.017453401099407368,-0.04883321716060228,0.010073084157648455,20,False
common_rows,fixedpre_vf75_q3_max,trajectory_minus_current,0.02398857449953471,-0.002235095257833275,0.0537718353440623,20,False
common_rows,fixedpre_vf75_q3_max,oisst_minus_trajectory,-0.01685273108257179,-0.04969292945188269,0.009744806759614347,20,False
common_rows,legacy_allhist_vf75_max,trajectory_minus_current,0.025495138020907016,-0.005625828595504671,0.05541234876752203,20,False
common_rows,legacy_allhist_vf75_max,oisst_minus_trajectory,-0.014526497420724576,-0.0518431191481237,0.022784316709585348,20,False
high_observation_subset,fixedpre_protocol_max,trajectory_minus_current,0.011094998956886318,-0.005574266880980188,0.02590770005138305,20,False
high_observation_subset,fixedpre_protocol_max,oisst_minus_trajectory,-0.049656493138722384,-0.14764575977109864,0.011562644159879332,20,False
native,allhist_protocol_max,trajectory_minus_current,0.021630914508768844,0.002131440355814314,0.04000233340974431,20,True
native,allhist_protocol_max,oisst_minus_trajectory,-0.023030376850567923,-0.054119171539185336,0.0008416939122848479,20,False
native,fixedpre_protocol_max,trajectory_minus_current,0.02448418004859832,0.0059917622883995155,0.04297218576072487,20,True
native,fixedpre_protocol_max,oisst_minus_trajectory,-0.01885729372203502,-0.04899170740742224,0.005410909270234403,20,False
native,fixedpre_protocol_mean,trajectory_minus_current,0.02257673727844724,0.005025256508440463,0.039282118929628435,20,True
native,fixedpre_protocol_mean,oisst_minus_trajectory,-0.012642960112909237,-0.029774152869384958,0.007608479005449467,20,False
native,fixedpre_protocol_q23max,trajectory_minus_current,0.025319199181653963,0.004942355063130122,0.04235340528728414,20,True
native,fixedpre_protocol_q23max,oisst_minus_trajectory,-0.0098045048779131,-0.029453846853312142,0.007289433175456315,20,False
native,fixedpre_vf75_all4_max,trajectory_minus_current,0.010807913085213615,-0.013111015805390168,0.03386783427320445,20,False
native,fixedpre_vf75_all4_max,oisst_minus_trajectory,-0.012001625655543571,-0.04416006020130527,0.012469946331005817,20,False
native,fixedpre_vf75_noq3_max,trajectory_minus_current,0.028034441673677392,0.005458297712771721,0.04994604266617642,20,True
native,fixedpre_vf75_noq3_max,oisst_minus_trajectory,-0.022757181925041923,-0.055895085895325054,0.004495072817608927,20,False
native,fixedpre_vf75_q3_max,trajectory_minus_current,0.021795408549153957,0.0012626030575453209,0.043501504134933575,20,True
native,fixedpre_vf75_q3_max,oisst_minus_trajectory,-0.019973996803934663,-0.05306030681087861,0.006457713949571483,20,False
native,legacy_allhist_vf75_max,trajectory_minus_current,0.02388986072107395,-0.0010467441542852266,0.04819042693411687,20,False
native,legacy_allhist_vf75_max,oisst_minus_trajectory,-0.02250451467877666,-0.05543215496491756,0.003850850161948047,20,False
