variant,common_eligible_test_rows,primary_events,variant_events,event_raw_agreement,event_cohen_kappa,event_positive_jaccard,event_flips,common_annual_area_rows,annual_area_pearson,median_absolute_log1p_area_difference
fixedpre_protocol_max,2566,996,996,1.0,1.0,1.0,0,6456,1.0,0.0
legacy_allhist_vf75_max,2550,991,993,0.9882352941176471,0.9752513204148461,0.9702085402184707,30,6362,0.9979721931526925,0.0
allhist_protocol_max,2566,996,998,0.9883086515978177,0.9753946508776483,0.9703557312252964,30,6454,0.9980091603302201,0.0
fixedpre_vf75_noq3_max,2550,991,990,0.9996078431372549,0.9991745889938726,0.9989909182643795,1,6363,0.9980279411179244,0.0
fixedpre_vf75_q3_max,2517,978,977,0.9996027016289233,0.9991637104145464,0.9989775051124744,1,6298,0.998479099051787,0.0
fixedpre_vf75_all4_max,2377,924,924,1.0,1.0,1.0,0,5595,1.0,0.0
fixedpre_protocol_mean,2520,987,1017,0.9246031746031746,0.8426305545202303,0.8268003646308113,190,6456,0.9749829131954613,0.8269968121792459
fixedpre_protocol_q23max,2435,959,977,0.9745379876796715,0.9468466774684414,0.9379379379379379,62,6346,0.9943022926279134,0.0
