mode,variant,model,estimate,ci_low,ci_high,estimable_years
common_rows,allhist_protocol_max,current_only,0.17978590348684154,0.14305937208684985,0.23057820422621325,20
common_rows,allhist_protocol_max,current_plus_trajectory,0.1997841475583329,0.15816455573279023,0.2568053210202882,20
common_rows,allhist_protocol_max,trajectory_plus_oisst,0.18395529126634075,0.13898083108232084,0.2390997845617087,20
common_rows,fixedpre_protocol_max,current_only,0.182699692767683,0.14042233385610184,0.24594695793538965,20
common_rows,fixedpre_protocol_max,current_plus_trajectory,0.20768819441498115,0.16567632681393607,0.2661091057245442,20
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,0.18974571430487183,0.1509757231350895,0.24645878828369014,20
common_rows,fixedpre_protocol_mean,current_only,0.17179534073753921,0.12424731441657413,0.2363205099059854,20
common_rows,fixedpre_protocol_mean,current_plus_trajectory,0.18966671715049854,0.14924596284551356,0.23928834035837263,20
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,0.17926048184169247,0.13687686440512525,0.2388195264782606,20
common_rows,fixedpre_protocol_q23max,current_only,0.18042008026008594,0.13568578040538623,0.24268364891059196,20
common_rows,fixedpre_protocol_q23max,current_plus_trajectory,0.19923525366442899,0.15943758009320894,0.2527962801057054,20
common_rows,fixedpre_protocol_q23max,trajectory_plus_oisst,0.19516473074308355,0.15615415933755877,0.24744682746944308,20
common_rows,fixedpre_vf75_all4_max,current_only,0.18257023492453867,0.13969711219190661,0.2466808941189334,20
common_rows,fixedpre_vf75_all4_max,current_plus_trajectory,0.19847276745728223,0.15795080493668623,0.2585339372043549,20
common_rows,fixedpre_vf75_all4_max,trajectory_plus_oisst,0.18311677429673615,0.14590813111575213,0.23743968156320555,20
common_rows,fixedpre_vf75_noq3_max,current_only,0.17866421436615704,0.13562766680040925,0.24241240828728633,20
common_rows,fixedpre_vf75_noq3_max,current_plus_trajectory,0.20494183315444064,0.16509340108432657,0.25923846630083824,20
common_rows,fixedpre_vf75_noq3_max,trajectory_plus_oisst,0.18748843205503332,0.14897105639731703,0.24539502173855374,20
common_rows,fixedpre_vf75_q3_max,current_only,0.1816150657417429,0.14001782316692096,0.24538165598056508,20
common_rows,fixedpre_vf75_q3_max,current_plus_trajectory,0.20560364024127767,0.16261431224886172,0.2662673647054389,20
common_rows,fixedpre_vf75_q3_max,trajectory_plus_oisst,0.18875090915870585,0.1501079277634566,0.24457902412744123,20
common_rows,legacy_allhist_vf75_max,current_only,0.17770190262673083,0.1406839476140388,0.22763053455292157,20
common_rows,legacy_allhist_vf75_max,current_plus_trajectory,0.20319704064763786,0.15984229664721844,0.26025947276149614,20
common_rows,legacy_allhist_vf75_max,trajectory_plus_oisst,0.18867054322691326,0.14276338445410866,0.24264351292984285,20
high_observation_subset,fixedpre_protocol_max,current_only,0.18555139424887496,0.12433428632689823,0.28881969720758777,20
high_observation_subset,fixedpre_protocol_max,current_plus_trajectory,0.19664639320576127,0.14196143623965227,0.2906391804323605,20
high_observation_subset,fixedpre_protocol_max,trajectory_plus_oisst,0.14698990006703888,0.11586212596199996,0.19145594660557785,20
native,allhist_protocol_max,current_only,0.17759626437474796,0.14524825245689812,0.22190205351315812,20
native,allhist_protocol_max,current_plus_trajectory,0.1992271788835168,0.1661529133445625,0.24668446694708582,20
native,allhist_protocol_max,trajectory_plus_oisst,0.17619680203294885,0.1444481130148146,0.2117238790471387,20
native,fixedpre_protocol_max,current_only,0.17626384022431218,0.14219153669183676,0.21969917440190526,20
native,fixedpre_protocol_max,current_plus_trajectory,0.20074802027291047,0.1684693073561108,0.24548014447133087,20
native,fixedpre_protocol_max,trajectory_plus_oisst,0.18189072655087546,0.1526583105300187,0.2190152874687888,20
native,fixedpre_protocol_mean,current_only,0.17065117350514908,0.12764281111733303,0.2212664267754837,20
native,fixedpre_protocol_mean,current_plus_trajectory,0.19322791078359625,0.15730791467542796,0.23530726970723556,20
native,fixedpre_protocol_mean,trajectory_plus_oisst,0.18058495067068703,0.14388031711082055,0.2270280883282164,20
native,fixedpre_protocol_q23max,current_only,0.17418637164867684,0.12962522130227935,0.23014056146483558,20
native,fixedpre_protocol_q23max,current_plus_trajectory,0.19950557083033077,0.16235716971166114,0.2500106330958353,20
native,fixedpre_protocol_q23max,trajectory_plus_oisst,0.1897010659524177,0.15730199146663554,0.23100683688687962,20
native,fixedpre_vf75_all4_max,current_only,0.18280940046622246,0.13972958459809204,0.24438001611232912,20
native,fixedpre_vf75_all4_max,current_plus_trajectory,0.1936173135514361,0.15416265309439467,0.2500547379075117,20
native,fixedpre_vf75_all4_max,trajectory_plus_oisst,0.1816156878958925,0.14652665372864632,0.23262348655003096,20
native,fixedpre_vf75_noq3_max,current_only,0.17215293710853913,0.1379510273840506,0.214885713197542,20
native,fixedpre_vf75_noq3_max,current_plus_trajectory,0.20018737878221654,0.16923545252663688,0.24216557158190644,20
native,fixedpre_vf75_noq3_max,trajectory_plus_oisst,0.17743019685717462,0.147715488277792,0.21572525580560556,20
native,fixedpre_vf75_q3_max,current_only,0.1811194134999986,0.14261438576121432,0.2328935780652022,20
native,fixedpre_vf75_q3_max,current_plus_trajectory,0.20291482204915257,0.16627832658173797,0.25210504340217993,20
native,fixedpre_vf75_q3_max,trajectory_plus_oisst,0.18294082524521788,0.1508304027752662,0.22701896316999434,20
native,legacy_allhist_vf75_max,current_only,0.17653421471286107,0.14422992694868247,0.21802283894608804,20
native,legacy_allhist_vf75_max,current_plus_trajectory,0.20042407543393503,0.1663858709942859,0.24483257781956094,20
native,legacy_allhist_vf75_max,trajectory_plus_oisst,0.17791956075515838,0.1456763804223134,0.21265581671057343,20
