mode,variant,model,n,events,prevalence,pooled_ap,macro_year_ap_lift,estimable_years,top20_recall_micro
common_rows,allhist_protocol_max,current_only,2265,902,0.39823399558498895,0.5600211347316133,0.17978590348684154,20,0.3048780487804878
common_rows,allhist_protocol_max,current_plus_trajectory,2265,902,0.39823399558498895,0.5609710849170501,0.1997841475583329,20,0.3148558758314856
common_rows,allhist_protocol_max,trajectory_plus_oisst,2265,902,0.39823399558498895,0.5318930379913687,0.18395529126634075,20,0.2926829268292683
common_rows,fixedpre_protocol_max,current_only,2265,902,0.39823399558498895,0.57259237914758,0.182699692767683,20,0.31596452328159647
common_rows,fixedpre_protocol_max,current_plus_trajectory,2265,902,0.39823399558498895,0.5768002959242011,0.20768819441498115,20,0.3148558758314856
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2265,902,0.39823399558498895,0.5501126306373194,0.18974571430487183,20,0.2960088691796009
common_rows,fixedpre_protocol_mean,current_only,2265,926,0.4088300220750552,0.576176438181863,0.17179534073753921,20,0.3002159827213823
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2265,926,0.4088300220750552,0.5815627943292938,0.18966671715049854,20,0.30561555075593955
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2265,926,0.4088300220750552,0.5450788021685513,0.17926048184169247,20,0.29049676025917925
common_rows,fixedpre_protocol_q23max,current_only,2265,917,0.4048565121412804,0.583837865021186,0.18042008026008594,20,0.311886586695747
common_rows,fixedpre_protocol_q23max,current_plus_trajectory,2265,917,0.4048565121412804,0.5888898265619955,0.19923525366442899,20,0.30861504907306436
common_rows,fixedpre_protocol_q23max,trajectory_plus_oisst,2265,917,0.4048565121412804,0.5650053119428626,0.19516473074308355,20,0.2966194111232279
common_rows,fixedpre_vf75_all4_max,current_only,2265,902,0.39823399558498895,0.5674703310669629,0.18257023492453867,20,0.3082039911308204
common_rows,fixedpre_vf75_all4_max,current_plus_trajectory,2265,902,0.39823399558498895,0.5695307040443507,0.19847276745728223,20,0.3048780487804878
common_rows,fixedpre_vf75_all4_max,trajectory_plus_oisst,2265,902,0.39823399558498895,0.5453049499447888,0.18311677429673615,20,0.30155210643015523
common_rows,fixedpre_vf75_noq3_max,current_only,2265,902,0.39823399558498895,0.5682183771778008,0.17866421436615704,20,0.31263858093126384
common_rows,fixedpre_vf75_noq3_max,current_plus_trajectory,2265,902,0.39823399558498895,0.5755573274547129,0.20494183315444064,20,0.3170731707317073
common_rows,fixedpre_vf75_noq3_max,trajectory_plus_oisst,2265,902,0.39823399558498895,0.5477828543983602,0.18748843205503332,20,0.2915742793791574
common_rows,fixedpre_vf75_q3_max,current_only,2265,902,0.39823399558498895,0.5675352354834684,0.1816150657417429,20,0.3148558758314856
common_rows,fixedpre_vf75_q3_max,current_plus_trajectory,2265,902,0.39823399558498895,0.5729950750222783,0.20560364024127767,20,0.311529933481153
common_rows,fixedpre_vf75_q3_max,trajectory_plus_oisst,2265,902,0.39823399558498895,0.548631096071214,0.18875090915870585,20,0.29711751662971175
common_rows,legacy_allhist_vf75_max,current_only,2265,903,0.39867549668874175,0.5608732247255718,0.17770190262673083,20,0.3089700996677741
common_rows,legacy_allhist_vf75_max,current_plus_trajectory,2265,903,0.39867549668874175,0.5651451824719946,0.20319704064763786,20,0.31893687707641194
common_rows,legacy_allhist_vf75_max,trajectory_plus_oisst,2265,903,0.39867549668874175,0.5344147781889408,0.18867054322691326,20,0.29346622369878184
high_observation_subset,fixedpre_protocol_max,current_only,1943,777,0.39989706639217704,0.5501443001697739,0.18555139424887496,20,0.30244530244530243
high_observation_subset,fixedpre_protocol_max,current_plus_trajectory,1943,777,0.39989706639217704,0.5637529770747542,0.19664639320576127,20,0.2972972972972973
high_observation_subset,fixedpre_protocol_max,trajectory_plus_oisst,1943,777,0.39989706639217704,0.5341326336374836,0.14698990006703888,20,0.29214929214929214
native,allhist_protocol_max,current_only,2590,1004,0.38764478764478766,0.5651700096928949,0.17759626437474796,20,0.31673306772908366
native,allhist_protocol_max,current_plus_trajectory,2590,1004,0.38764478764478766,0.5714517698267448,0.1992271788835168,20,0.32171314741035856
native,allhist_protocol_max,trajectory_plus_oisst,2590,1004,0.38764478764478766,0.5465024391564101,0.17619680203294885,20,0.30378486055776893
native,fixedpre_protocol_max,current_only,2566,996,0.3881527669524552,0.5753317736863353,0.17626384022431218,20,0.3192771084337349
native,fixedpre_protocol_max,current_plus_trajectory,2566,996,0.3881527669524552,0.5830893741728962,0.20074802027291047,20,0.32228915662650603
native,fixedpre_protocol_max,trajectory_plus_oisst,2566,996,0.3881527669524552,0.5599873214949028,0.18189072655087546,20,0.3072289156626506
native,fixedpre_protocol_mean,current_only,2543,1021,0.40149429807314196,0.5860097918513818,0.17065117350514908,20,0.31047992164544563
native,fixedpre_protocol_mean,current_plus_trajectory,2543,1021,0.40149429807314196,0.5991314541291776,0.19322791078359625,20,0.31341821743388837
native,fixedpre_protocol_mean,trajectory_plus_oisst,2543,1021,0.40149429807314196,0.5694322022174796,0.18058495067068703,20,0.2997061704211557
