model_family,comparison,mean_ap_lift_difference,ci_low,ci_high,positive_years,forecast_years
logistic,crw_increment,-0.005578368130632802,-0.022245743427361523,0.007903466333817851,11,20
logistic,oisst_increment,-0.0012331784855610817,-0.01700903500382654,0.010696242538322454,12,20
random_forest,crw_increment,-0.010685520903621204,-0.04221650389029567,0.006703151684238263,12,20
random_forest,oisst_increment,-0.0035769043109593,-0.03465736812125499,0.017589171056328838,13,20
xgboost,crw_increment,-6.916948918653799e-05,-0.03101156278849337,0.022851113331428707,11,20
xgboost,oisst_increment,0.008582784546368832,-0.028344308568140273,0.03785004868526998,11,20
