model_family,feature_set,forecast_years,mean_ap,macro_within_year_ap_lift
logistic,march_current_crw5km,20,0.5721192817138929,0.17287560213566536
logistic,march_current_oisst,20,0.5764644713589646,0.17722079178073707
logistic,prior_trajectory,20,0.5776976498445257,0.17845397026629817
random_forest,march_current_crw5km,20,0.5592117124601884,0.15996803288196088
random_forest,march_current_oisst,20,0.5663203290528502,0.16707664947462275
random_forest,prior_trajectory,20,0.5698972333638096,0.17065355378558206
xgboost,march_current_crw5km,20,0.5445635089493204,0.14531982937109275
xgboost,march_current_oisst,20,0.5532154629848757,0.15397178340664813
xgboost,prior_trajectory,20,0.5446326784385068,0.14538899886027928
