feature_set,best_model_by_pr_auc,best_pr_auc,best_model_by_recall,best_recall,best_model_by_f1,best_f1,mean_test_pr_auc,mean_test_recall,mean_test_f1
canopy_only,Random Forest,0.8973625711126626,Logistic Regression,0.7985074626865671,Logistic Regression,0.7456445993031359,0.8707155727060159,0.5134328358208956,0.5723827984939956
canopy_noaa,SVM,0.8459373329066522,Logistic Regression,0.6268656716417911,Logistic Regression,0.6885245901639344,0.819270770529112,0.41044776119402987,0.5371539795615063
oisst_only,SVM,0.7412263285153959,XGBoost,0.4477611940298507,XGBoost,0.5529953917050692,0.7103172477791867,0.2835820895522388,0.39208627292631937
