feature_set,model,false_negative_count,false_negatives_by_year,false_negatives_by_region,false_negatives_by_cell_id,decline_events_caught_vs_other_selected_model
canopy_noaa,SVM,101,"{2021: 22, 2022: 40, 2023: 22, 2024: 17}","{'Central California': 70, 'Northern California': 31}","{'cell_007': 2, 'cell_011': 2, 'cell_015': 2, 'cell_019': 2, 'cell_023': 2, 'cell_031': 3, 'cell_032': 3, 'cell_037': 3, 'cell_038': 3, 'cell_042': 2, 'cell_048': 2, 'cell_053': 2, 'cell_054': 2, 'cell_059': 1, 'cell_142': 2, 'cell_143': 1, 'cell_144': 1, 'cell_162': 3, 'cell_163': 1, 'cell_166': 3, 'cell_170': 4, 'cell_174': 4, 'cell_175': 3, 'cell_180': 3, 'cell_181': 2, 'cell_185': 4, 'cell_186': 4, 'cell_191': 4, 'cell_196': 3, 'cell_197': 4, 'cell_202': 3, 'cell_203': 2, 'cell_207': 2, 'cell_219': 3, 'cell_225': 2, 'cell_230': 2, 'cell_231': 2, 'cell_240': 3, 'cell_247': 2, 'cell_284': 2, 'cell_285': 1}",6
canopy_only,Random Forest,55,"{2021: 8, 2022: 23, 2023: 15, 2024: 9}","{'Central California': 46, 'Northern California': 9}","{'cell_015': 1, 'cell_019': 2, 'cell_037': 1, 'cell_038': 1, 'cell_042': 3, 'cell_060': 1, 'cell_142': 2, 'cell_143': 3, 'cell_144': 1, 'cell_163': 1, 'cell_170': 3, 'cell_174': 2, 'cell_175': 1, 'cell_180': 2, 'cell_181': 2, 'cell_185': 4, 'cell_186': 1, 'cell_191': 2, 'cell_196': 1, 'cell_197': 4, 'cell_202': 1, 'cell_219': 3, 'cell_225': 2, 'cell_230': 2, 'cell_231': 2, 'cell_240': 2, 'cell_247': 2, 'cell_284': 2, 'cell_285': 1}",52
