variable,decline_mean,non_decline_mean,difference,standardized_difference,decline_median,non_decline_median,decline_non_missing,non_decline_non_missing
cuti_anomaly,-0.06409153748204104,-0.01962541927675324,-0.0444661182052878,-0.33918649857423133,-0.0339572512336828,-0.0106388021328174,658,1142
annual_mean_sst_anomaly,0.3305756482454648,0.15577586389274548,0.17479978435271934,0.26818175536786165,0.32574509177761257,-0.0248115272318472,658,1142
annual_mean_beuti,7.365697509528201,6.381739191928567,0.983958317599634,0.2602787618379654,6.401528767123288,5.718569863013699,658,1142
hot_days_p95,34.92401215805471,26.845008756567424,8.079003401487284,0.2153909782660959,20.0,14.0,658,1142
annual_max_sst_anomaly,0.4790232226371657,0.24672302702115506,0.23230019561601062,0.19320010273001031,0.3818524678548165,0.0996294374819157,658,1142
hot_days_p90,55.16869300911854,47.09019264448336,8.078500364635183,0.18112399012627642,43.0,35.0,658,1142
beuti_anomaly,0.00614944720351183,-0.0659938885074331,0.07214333571094493,0.028306989239649184,-0.2574245743290326,-0.2255680227101288,658,1142
annual_mean_cuti,0.6398388304641225,0.6438221383447196,-0.003983307880597087,-0.019948243519635648,0.6016904109589041,0.6076876712328767,658,1142
