scale,feature_columns,rows,rows_with_any_missing,mean_grid_points,min_grid_points,max_grid_points
nearest,10,1900,0,1.0,1.0,1.0
idw_k4,10,1900,0,4.0,4.0,4.0
idw_k8,10,1900,0,8.0,8.0,8.0
10km,9,1900,1064,1.0,1.0,1.0
25km,9,1900,0,2.18,1.0,3.0
30km,9,1900,0,2.58,1.0,4.0
50km,9,1900,0,4.36,2.0,6.0
75km,9,1900,0,6.46,2.0,9.0
