canopy_only_model,comparison_group,variable,n_rows,non_missing,mean,median,std
Random Forest,all_test_rows,annual_mean_sst_anomaly,200,200,0.029235431530163877,0.0491803241965023,0.3234096138056217
Random Forest,all_test_rows,annual_max_sst_anomaly,200,200,0.06821103749451822,0.08222256766425401,0.8379525469748953
Random Forest,all_test_rows,hot_days_p90,200,200,37.565,33.5,24.782790572143277
Random Forest,all_test_rows,hot_days_p95,200,200,18.84,16.0,17.220252188256005
Random Forest,all_test_rows,beuti_anomaly,200,200,2.2642020479365677,2.303726232963084,2.4079175435900484
Random Forest,all_test_rows,cuti_anomaly,200,200,-0.04234493242239459,-0.0176697880138425,0.11247677465173032
Random Forest,false_negative,annual_mean_sst_anomaly,55,55,-0.08133601322040827,-0.0792311390005906,0.3355286985697591
Random Forest,false_negative,annual_max_sst_anomaly,55,55,-0.012902455056957862,-0.0592600857770015,0.7899589717881158
Random Forest,false_negative,hot_days_p90,55,55,34.56363636363636,32.0,21.4404978835602
Random Forest,false_negative,hot_days_p95,55,55,17.472727272727273,15.0,16.339969791728898
Random Forest,false_negative,beuti_anomaly,55,55,2.4025082328824694,2.4140040111247387,2.3183986112701622
Random Forest,false_negative,cuti_anomaly,55,55,-0.023963066291444936,0.0171899949328311,0.10585268318440934
Random Forest,true_positive,annual_mean_sst_anomaly,79,79,0.05514566988983007,0.0637101636412271,0.3147594799580117
Random Forest,true_positive,annual_max_sst_anomaly,79,79,0.1833098085620733,0.091852294074167,0.8773040223204013
Random Forest,true_positive,hot_days_p90,79,79,39.68354430379747,33.0,26.004705838336196
Random Forest,true_positive,hot_days_p95,79,79,18.40506329113924,16.0,15.566663087361722
Random Forest,true_positive,beuti_anomaly,79,79,2.678815358776612,2.265437022577691,3.0462117297779234
Random Forest,true_positive,cuti_anomaly,79,79,-0.07174617991816581,-0.0485705133963274,0.13212271982335316
Random Forest,true_negative,annual_mean_sst_anomaly,58,58,0.09816762056546197,0.0961966831414935,0.311748051730695
Random Forest,true_negative,annual_max_sst_anomaly,58,58,0.015306463034521885,0.100740468060529,0.8554380675845504
Random Forest,true_negative,hot_days_p90,58,58,37.706896551724135,38.0,26.529036472600158
Random Forest,true_negative,hot_days_p95,58,58,20.637931034482758,16.5,20.24559581810938
Random Forest,true_negative,beuti_anomaly,58,58,1.7026303102866505,1.7955571562242687,1.2719065595375478
Random Forest,true_negative,cuti_anomaly,58,58,-0.018089727079748125,0.0018341207598451,0.08359104570137196
Random Forest,false_positive,annual_mean_sst_anomaly,8,8,0.03379213988273232,0.05279301923037226,0.2580843826986677
Random Forest,false_positive,annual_max_sst_anomaly,8,8,-0.1271759006712166,-0.038518163892957744,0.5869839374177964
Random Forest,false_positive,hot_days_p90,8,8,36.25,37.0,22.901964981197573
Random Forest,false_positive,hot_days_p95,8,8,19.5,15.0,16.98739028136543
Random Forest,false_positive,beuti_anomaly,8,8,1.2904356798499428,1.4267591096754133,1.0037289842391273
Random Forest,false_positive,cuti_anomaly,8,8,-0.05423318178611936,-0.0637525275383347,0.0659895905562058
