feature_set,model,cell_id,year,region_group,y_true,y_pred,y_proba,split,is_false_negative
canopy_noaa,SVM,cell_031,2022,Northern California,1,0,0.3359207748690119,test,True
canopy_noaa,SVM,cell_031,2023,Northern California,1,0,0.4738517521545913,test,True
canopy_noaa,SVM,cell_032,2021,Northern California,1,0,0.4702485968904627,test,True
canopy_noaa,SVM,cell_032,2022,Northern California,1,0,0.3646092244618841,test,True
canopy_noaa,SVM,cell_032,2024,Northern California,1,0,0.4825964647202005,test,True
canopy_noaa,SVM,cell_037,2021,Northern California,1,0,0.4643270529769879,test,True
canopy_noaa,SVM,cell_037,2022,Northern California,1,0,0.3458199658466876,test,True
canopy_noaa,SVM,cell_037,2024,Northern California,1,0,0.4745105359863988,test,True
canopy_noaa,SVM,cell_038,2021,Northern California,1,0,0.4496070635535846,test,True
canopy_noaa,SVM,cell_038,2022,Northern California,1,0,0.4015336823659231,test,True
canopy_noaa,SVM,cell_038,2024,Northern California,1,0,0.4932863482227362,test,True
canopy_noaa,SVM,cell_042,2021,Northern California,1,0,0.4632180480973768,test,True
canopy_noaa,SVM,cell_042,2022,Northern California,1,0,0.3722978698513605,test,True
canopy_noaa,SVM,cell_048,2021,Northern California,1,0,0.4617277190017714,test,True
canopy_noaa,SVM,cell_048,2022,Northern California,1,0,0.3522302730598712,test,True
canopy_noaa,SVM,cell_053,2021,Northern California,1,0,0.4600671810981662,test,True
canopy_noaa,SVM,cell_053,2022,Northern California,1,0,0.3620332196081047,test,True
canopy_noaa,SVM,cell_054,2021,Northern California,1,0,0.4607670626277084,test,True
canopy_noaa,SVM,cell_054,2022,Northern California,1,0,0.3513376680842641,test,True
canopy_noaa,SVM,cell_059,2024,Northern California,1,0,0.469583996968852,test,True
canopy_noaa,SVM,cell_142,2022,Central California,1,0,0.2177227178397658,test,True
canopy_noaa,SVM,cell_142,2023,Central California,1,0,0.4174602207962153,test,True
canopy_noaa,SVM,cell_143,2022,Central California,1,0,0.1740686566338394,test,True
canopy_noaa,SVM,cell_144,2022,Central California,1,0,0.1826335009162467,test,True
canopy_noaa,SVM,cell_162,2021,Central California,1,0,0.2013546407679361,test,True
canopy_noaa,SVM,cell_162,2022,Central California,1,0,0.1437599315849324,test,True
canopy_noaa,SVM,cell_162,2023,Central California,1,0,0.4924632683939615,test,True
canopy_noaa,SVM,cell_163,2022,Central California,1,0,0.2201201561073035,test,True
canopy_noaa,SVM,cell_166,2021,Central California,1,0,0.1506525711935328,test,True
canopy_noaa,SVM,cell_166,2022,Central California,1,0,0.1194876519957918,test,True
canopy_noaa,SVM,cell_166,2023,Central California,1,0,0.4933527616625456,test,True
canopy_noaa,SVM,cell_170,2021,Central California,1,0,0.131080365241597,test,True
canopy_noaa,SVM,cell_170,2022,Central California,1,0,0.1485400998595269,test,True
canopy_noaa,SVM,cell_170,2023,Central California,1,0,0.2243923372530298,test,True
canopy_noaa,SVM,cell_170,2024,Central California,1,0,0.4508096523513836,test,True
canopy_noaa,SVM,cell_174,2021,Central California,1,0,0.1052381233859022,test,True
canopy_noaa,SVM,cell_174,2022,Central California,1,0,0.1463062931718245,test,True
canopy_noaa,SVM,cell_174,2023,Central California,1,0,0.2082689517324339,test,True
canopy_noaa,SVM,cell_174,2024,Central California,1,0,0.467443949958177,test,True
canopy_noaa,SVM,cell_175,2021,Central California,1,0,0.1398018443233209,test,True
canopy_noaa,SVM,cell_175,2022,Central California,1,0,0.1748472498839611,test,True
canopy_noaa,SVM,cell_175,2024,Central California,1,0,0.452568730892393,test,True
canopy_noaa,SVM,cell_180,2022,Central California,1,0,0.1060077887503062,test,True
canopy_noaa,SVM,cell_180,2023,Central California,1,0,0.2509494120040013,test,True
canopy_noaa,SVM,cell_180,2024,Central California,1,0,0.2947049927943591,test,True
canopy_noaa,SVM,cell_181,2022,Central California,1,0,0.2370439049803783,test,True
canopy_noaa,SVM,cell_181,2023,Central California,1,0,0.2354864175181137,test,True
canopy_noaa,SVM,cell_185,2021,Central California,1,0,0.1558143092578477,test,True
canopy_noaa,SVM,cell_185,2022,Central California,1,0,0.186920106453479,test,True
canopy_noaa,SVM,cell_185,2023,Central California,1,0,0.142519989150356,test,True
