metric,value
number_of_cells,50
number_of_unique_oisst_grid_points,26
number_of_cuti_beuti_latitude_bins,6
downloaded_files,
cached_files_reused,data/external/noaa/cache/oisst/oisst_lat39.375_lonm123.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat39.125_lonm123.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat38.875_lonm123.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat38.875_lonm123.625_daily.csv|data/external/noaa/cache/oisst/oisst_lat38.625_lonm123.625_daily.csv|data/external/noaa/cache/oisst/oisst_lat38.625_lonm123.375_daily.csv|data/external/noaa/cache/oisst/oisst_lat38.375_lonm123.375_daily.csv|data/external/noaa/cache/oisst/oisst_lat38.375_lonm123.125_daily.csv|data/external/noaa/cache/oisst/oisst_lat37.125_lonm122.375_daily.csv|data/external/noaa/cache/oisst/oisst_lat36.875_lonm122.125_daily.csv|data/external/noaa/cache/oisst/oisst_lat36.875_lonm121.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat36.625_lonm121.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat36.375_lonm121.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat36.125_lonm121.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat36.125_lonm121.625_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.875_lonm121.625_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.875_lonm121.375_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.625_lonm121.375_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.625_lonm121.125_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.375_lonm121.125_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.375_lonm120.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.125_lonm120.875_daily.csv|data/external/noaa/cache/oisst/oisst_lat35.125_lonm120.625_daily.csv|data/external/noaa/cache/oisst/oisst_lat34.625_lonm120.625_daily.csv|data/external/noaa/cache/oisst/oisst_lat34.625_lonm120.375_daily.csv|data/external/noaa/cache/oisst/oisst_lat34.375_lonm120.375_daily.csv|data/external/noaa/cache/oisst/oisst_lat34.375_lonm120.375_daily.csv|data/external/noaa/cache/cuti_beuti/cuti_lat34_39_daily.csv|data/external/noaa/cache/cuti_beuti/beuti_lat34_39_daily.csv
runtime_seconds,2.33
