model,feature_set,selection_rule,selected_threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,validation_false_positives,validation_false_negatives
LightGBM,oisst_only,default_0.5,0.5,,,False,0.5047619047619047,0.5145631067961165,0.5096153846153846,0.5125725338491296,52,50
LightGBM,oisst_only,max_f1,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1
LightGBM,oisst_only,max_f2,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1
LightGBM,oisst_only,recall_ge_0.70_then_max_f1,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1
LightGBM,oisst_only,max_recall_precision_ge_0.65,0.85,0.65,0.65,False,0.8235294117647058,0.13592233009708737,0.23333333333333334,0.16317016317016317,3,89
Logistic Regression,canopy_noaa,default_0.5,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,max_f1,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,max_f2,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,recall_ge_0.70_then_max_f1,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,max_recall_precision_ge_0.65,0.65,0.65,0.65,False,0.6829268292682927,0.5436893203883495,0.6054054054054054,0.5668016194331984,26,47
SVM,canopy_noaa,default_0.5,0.5,,,False,0.5697674418604651,0.47572815533980584,0.5185185185185185,0.4919678714859438,37,54
SVM,canopy_noaa,max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
SVM,canopy_noaa,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
SVM,canopy_noaa,recall_ge_0.70_then_max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
SVM,canopy_noaa,max_recall_precision_ge_0.65,0.05,0.65,0.5,True,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
Random Forest,canopy_noaa,default_0.5,0.5,,,False,0.5344827586206896,0.30097087378640774,0.38509316770186336,0.32978723404255317,27,72
Random Forest,canopy_noaa,max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
Random Forest,canopy_noaa,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
Random Forest,canopy_noaa,recall_ge_0.70_then_max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
Random Forest,canopy_noaa,max_recall_precision_ge_0.65,0.6,0.65,0.65,False,0.8571428571428571,0.17475728155339806,0.2903225806451613,0.20785219399538107,3,85
XGBoost,canopy_noaa,default_0.5,0.5,,,False,0.5185185185185185,0.4077669902912621,0.45652173913043476,0.4259634888438134,39,61
XGBoost,canopy_noaa,max_f1,0.25,,,False,0.5177664974619289,0.9902912621359223,0.68,0.8374384236453202,95,1
XGBoost,canopy_noaa,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
XGBoost,canopy_noaa,recall_ge_0.70_then_max_f1,0.25,,,False,0.5177664974619289,0.9902912621359223,0.68,0.8374384236453202,95,1
XGBoost,canopy_noaa,max_recall_precision_ge_0.65,0.65,0.65,0.65,False,0.6511627906976745,0.27184466019417475,0.3835616438356164,0.3076923076923077,15,75
LightGBM,canopy_noaa,default_0.5,0.5,,,False,0.55,0.42718446601941745,0.4808743169398907,0.44715447154471544,36,59
LightGBM,canopy_noaa,max_f1,0.05,,,False,0.5153061224489796,0.9805825242718447,0.6755852842809364,0.8305921052631579,95,2
LightGBM,canopy_noaa,max_f2,0.05,,,False,0.5153061224489796,0.9805825242718447,0.6755852842809364,0.8305921052631579,95,2
LightGBM,canopy_noaa,recall_ge_0.70_then_max_f1,0.05,,,False,0.5153061224489796,0.9805825242718447,0.6755852842809364,0.8305921052631579,95,2
LightGBM,canopy_noaa,max_recall_precision_ge_0.65,0.7,0.65,0.65,False,0.6666666666666666,0.27184466019417475,0.38620689655172413,0.30837004405286345,14,75
