feature,mean_decline_event_1,mean_decline_event_0,difference_1_minus_0,standardized_difference,n_decline_event_1,n_decline_event_0
annual_mean_sst_anomaly,0.3305756482454648,0.15577586389274548,0.17479978435271934,0.2638953886709955,658,1142
annual_max_sst_anomaly,0.4790232226371657,0.24672302702115506,0.23230019561601062,0.1943376630501826,658,1142
hot_days_p90,55.16869300911854,47.09019264448336,8.078500364635183,0.18277409493329452,658,1142
hot_days_p95,34.92401215805471,26.845008756567424,8.079003401487284,0.2183759706390618,658,1142
annual_mean_cuti,0.6398388304641225,0.6438221383447196,-0.003983307880597087,-0.019902089629336435,658,1142
cuti_anomaly,-0.06409153748204104,-0.01962541927675324,-0.0444661182052878,-0.338711975933686,658,1142
annual_mean_beuti,7.365697509528201,6.381739191928567,0.983958317599634,0.26374456200376245,658,1142
beuti_anomaly,0.00614944720351183,-0.0659938885074331,0.07214333571094493,0.028853057456642846,658,1142
