spec_id,domain,model,n,events,prevalence,pooled_ap,macro_year_ap_lift,estimable_years,top20_recall_micro
g05_area_scaled_o00,full_kelp_domain,current_only,5522,2231,0.40402028250633826,0.5642545853311441,0.15485638663238097,20,0.2949350067234424
g05_area_scaled_o00,full_kelp_domain,current_plus_trajectory,5522,2231,0.40402028250633826,0.5905552224164382,0.1939673214272818,20,0.31376064545047067
g05_area_scaled_o00,oisst_matched_domain,current_only,5411,2184,0.4036222509702458,0.5632850923599609,0.15297377049503907,20,0.2967032967032967
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,5411,2184,0.4036222509702458,0.5884668705645686,0.19092350908951483,20,0.31364468864468864
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.5700809380853007,0.1738955493418151,20,0.29945054945054944
g05_area_scaled_ox50,full_kelp_domain,current_only,5445,2219,0.40752984389348024,0.5661695139709924,0.15450411059470484,20,0.30058584948174855
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,5445,2219,0.40752984389348024,0.5866682276180577,0.1873178441430679,20,0.309598918431726
g05_area_scaled_ox50,oisst_matched_domain,current_only,5336,2172,0.4070464767616192,0.5630672361151619,0.1494967480863758,20,0.2983425414364641
g05_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,5336,2172,0.4070464767616192,0.5825568126612406,0.18006356999965578,20,0.3080110497237569
g05_area_scaled_ox50,oisst_matched_domain,trajectory_plus_oisst,5336,2172,0.4070464767616192,0.5657434204173086,0.16425762666363578,20,0.29972375690607733
g05_area_scaled_oxy50,full_kelp_domain,current_only,5513,2240,0.40631235262107745,0.5738541460313089,0.1636053333943962,20,0.3066964285714286
g05_area_scaled_oxy50,full_kelp_domain,current_plus_trajectory,5513,2240,0.40631235262107745,0.5972207886773385,0.19680377342490238,20,0.3183035714285714
g05_area_scaled_oxy50,oisst_matched_domain,current_only,5452,2215,0.4062729273661042,0.5715371529570014,0.15944005143333584,20,0.3060948081264108
g05_area_scaled_oxy50,oisst_matched_domain,current_plus_trajectory,5452,2215,0.4062729273661042,0.5943446653584346,0.19094504874656754,20,0.3164785553047404
g05_area_scaled_oxy50,oisst_matched_domain,trajectory_plus_oisst,5452,2215,0.4062729273661042,0.5750414791730353,0.17583594417029097,20,0.3042889390519187
g05_area_scaled_oy50,full_kelp_domain,current_only,5378,2162,0.40200818148010414,0.5670999831090582,0.15771409088943317,20,0.30527289546716
g05_area_scaled_oy50,full_kelp_domain,current_plus_trajectory,5378,2162,0.40200818148010414,0.589857618475151,0.19398925789326255,20,0.31822386679000925
g05_area_scaled_oy50,oisst_matched_domain,current_only,5320,2140,0.40225563909774437,0.566890149962268,0.15609784593687598,20,0.30654205607476637
g05_area_scaled_oy50,oisst_matched_domain,current_plus_trajectory,5320,2140,0.40225563909774437,0.588849917993769,0.19092734082779675,20,0.3172897196261682
