spec_id,domain,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
g05_area_scaled_o00,oisst_matched_domain,current_only,2005,312,186,0.5961538461538461,0.7532282215301022,0.15707437537625601,True,63,53
g05_area_scaled_o00,oisst_matched_domain,current_only,2006,285,54,0.18947368421052632,0.4899706652912428,0.30049698108071643,True,57,27
g05_area_scaled_o00,oisst_matched_domain,current_only,2007,328,94,0.2865853658536585,0.5210188203620262,0.23443345450836767,True,66,37
g05_area_scaled_o00,oisst_matched_domain,current_only,2008,331,95,0.28700906344410876,0.5384706969029627,0.2514616334588539,True,67,37
g05_area_scaled_o00,oisst_matched_domain,current_only,2009,341,163,0.4780058651026393,0.609486557590091,0.13148069248745164,True,69,42
g05_area_scaled_o00,oisst_matched_domain,current_only,2010,328,162,0.49390243902439024,0.6951442413194684,0.20124180229507815,True,66,48
g05_area_scaled_o00,oisst_matched_domain,current_only,2011,280,109,0.3892857142857143,0.5619632069634343,0.17267749267771998,True,56,34
g05_area_scaled_o00,oisst_matched_domain,current_only,2012,290,63,0.21724137931034482,0.5550610181638209,0.3378196388534761,True,58,28
g05_area_scaled_o00,oisst_matched_domain,current_only,2013,335,213,0.6358208955223881,0.7271014697098426,0.0912805741874545,True,67,52
g05_area_scaled_o00,oisst_matched_domain,current_only,2014,293,116,0.39590443686006827,0.55182217458473,0.15591773772466178,True,59,40
g05_area_scaled_o00,oisst_matched_domain,current_only,2015,253,123,0.48616600790513836,0.6258000580105372,0.1396340501053988,True,51,35
g05_area_scaled_o00,oisst_matched_domain,current_only,2016,232,80,0.3448275862068966,0.57552183260255,0.2306942463956534,True,47,30
g05_area_scaled_o00,oisst_matched_domain,current_only,2017,251,49,0.1952191235059761,0.2540533729398082,0.058834249433832086,True,51,12
g05_area_scaled_o00,oisst_matched_domain,current_only,2018,277,208,0.7509025270758123,0.8273404208779148,0.07643789380210253,True,56,51
g05_area_scaled_o00,oisst_matched_domain,current_only,2019,199,63,0.3165829145728643,0.4924772699228245,0.17589435534996017,True,40,24
g05_area_scaled_o00,oisst_matched_domain,current_only,2020,239,90,0.37656903765690375,0.4096610681207919,0.033092030463888145,True,48,18
g05_area_scaled_o00,oisst_matched_domain,current_only,2021,229,83,0.3624454148471616,0.4278879050529726,0.065442490205811,True,46,23
g05_area_scaled_o00,oisst_matched_domain,current_only,2022,225,150,0.6666666666666666,0.8079922110440438,0.1413255443773772,True,45,39
g05_area_scaled_o00,oisst_matched_domain,current_only,2023,179,32,0.1787709497206704,0.22964579585128578,0.05087484613061538,True,36,8
g05_area_scaled_o00,oisst_matched_domain,current_only,2024,204,51,0.25,0.30336132098610713,0.05336132098610713,True,41,10
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2005,312,186,0.5961538461538461,0.7553507418147903,0.1591968956609442,True,63,54
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2006,285,54,0.18947368421052632,0.6303867099893798,0.4409130257788535,True,57,30
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2007,328,94,0.2865853658536585,0.5663947227396509,0.27980935688599234,True,66,40
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2008,331,95,0.28700906344410876,0.530072930304266,0.2430638668601573,True,67,38
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2009,341,163,0.4780058651026393,0.5833590398082877,0.10535317470564842,True,69,43
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2010,328,162,0.49390243902439024,0.7260404410540345,0.2321380020296443,True,66,50
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2011,280,109,0.3892857142857143,0.5387590323179088,0.1494733180321945,True,56,33
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2012,290,63,0.21724137931034482,0.5638883697864091,0.3466469904760643,True,58,32
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2013,335,213,0.6358208955223881,0.7444310704833642,0.10861017496097614,True,67,51
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2014,293,116,0.39590443686006827,0.5673440686275454,0.17143963176747712,True,59,41
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2015,253,123,0.48616600790513836,0.6232991198537692,0.13713311194863081,True,51,33
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2016,232,80,0.3448275862068966,0.6095232865762977,0.26469570036940115,True,47,31
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2017,251,49,0.1952191235059761,0.3067066760229076,0.11148755251693149,True,51,17
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2018,277,208,0.7509025270758123,0.8715168298630882,0.12061430278727592,True,56,51
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2019,199,63,0.3165829145728643,0.5575792316846392,0.24099631711177488,True,40,25
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2020,239,90,0.37656903765690375,0.47340190734896914,0.0968328696920654,True,48,26
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2021,229,83,0.3624454148471616,0.48824313890857785,0.12579772406141626,True,46,23
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2022,225,150,0.6666666666666666,0.8503786899418548,0.1837120232751882,True,45,39
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2023,179,32,0.1787709497206704,0.35036420937150403,0.17159325965083363,True,36,12
g05_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2024,204,51,0.25,0.3789628832188265,0.12896288321882649,True,41,16
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2005,312,186,0.5961538461538461,0.7515910365500136,0.15543719039616744,True,63,53
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2006,285,54,0.18947368421052632,0.4821572759183248,0.29268359170779845,True,57,25
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2007,328,94,0.2865853658536585,0.5213112888205139,0.2347259229668554,True,66,39
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2008,331,95,0.28700906344410876,0.515764000806008,0.22875493736189928,True,67,38
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2009,341,163,0.4780058651026393,0.5397540010775269,0.0617481359748876,True,69,40
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2010,328,162,0.49390243902439024,0.6518052030916062,0.15790276406721593,True,66,43
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2011,280,109,0.3892857142857143,0.5832432983437273,0.19395758405801306,True,56,33
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2012,290,63,0.21724137931034482,0.5612104880352095,0.34396910872486464,True,58,29
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2013,335,213,0.6358208955223881,0.7126854065095263,0.0768645109871382,True,67,47
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2014,293,116,0.39590443686006827,0.5485139120261598,0.15260947516609158,True,59,39
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2015,253,123,0.48616600790513836,0.7118166786658049,0.22565067076066653,True,51,34
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2016,232,80,0.3448275862068966,0.5564105856941727,0.2115829994872761,True,47,28
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2017,251,49,0.1952191235059761,0.3102723594849375,0.11505323597896139,True,51,17
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2018,277,208,0.7509025270758123,0.8907921794360902,0.13988965236027795,True,56,53
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2019,199,63,0.3165829145728643,0.5060139785877089,0.1894310640148446,True,40,23
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2020,239,90,0.37656903765690375,0.4918710472627479,0.11530200960584414,True,48,24
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2021,229,83,0.3624454148471616,0.5183837416842836,0.155938326837122,True,46,24
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2022,225,150,0.6666666666666666,0.8084426382319456,0.141775971565279,True,45,36
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2023,179,32,0.1787709497206704,0.3424888680537345,0.16371791833306412,True,36,13
g05_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2024,204,51,0.25,0.37091591648203437,0.12091591648203437,True,41,16
g05_area_scaled_ox50,full_kelp_domain,current_only,2005,311,174,0.5594855305466238,0.7419593477517902,0.18247381720516642,True,63,52
g05_area_scaled_ox50,full_kelp_domain,current_only,2006,285,56,0.19649122807017544,0.4400257010842323,0.24353447301405684,True,57,26
g05_area_scaled_ox50,full_kelp_domain,current_only,2007,331,91,0.27492447129909364,0.507889727993692,0.2329652566945984,True,67,34
g05_area_scaled_ox50,full_kelp_domain,current_only,2008,331,101,0.30513595166163143,0.5445070878122626,0.23937113615063121,True,67,40
g05_area_scaled_ox50,full_kelp_domain,current_only,2009,341,168,0.49266862170087977,0.5928796394016901,0.10021101770081031,True,69,42
g05_area_scaled_ox50,full_kelp_domain,current_only,2010,331,156,0.47129909365558914,0.6765979539094459,0.20529886025385674,True,67,49
g05_area_scaled_ox50,full_kelp_domain,current_only,2011,288,119,0.4131944444444444,0.5422811036114931,0.12908665916704865,True,58,32
g05_area_scaled_ox50,full_kelp_domain,current_only,2012,288,71,0.2465277777777778,0.5313040236955491,0.2847762459177713,True,58,31
g05_area_scaled_ox50,full_kelp_domain,current_only,2013,337,214,0.6350148367952523,0.764616572815304,0.12960173602005176,True,68,57
g05_area_scaled_ox50,full_kelp_domain,current_only,2014,303,123,0.40594059405940597,0.5551849325830431,0.14924433852363717,True,61,39
g05_area_scaled_ox50,full_kelp_domain,current_only,2015,249,125,0.5020080321285141,0.6183642758302614,0.11635624370174735,True,50,36
