grid_size_km,threshold_policy,origin_count,stable_cells_min,stable_cells_max,current_lift_min,current_lift_max,current_lift_range,trajectory_increment_min,trajectory_increment_max,oisst_increment_min,oisst_increment_max,same_size_label_jaccard_min,same_size_top20_spatial_jaccard_min
5,area_scaled,4,357,368,0.15450411059470484,0.1636053333943962,0.00910122279969136,0.03281373354836309,0.03911093479490083,-0.017027959747699727,-0.015109104576276528,0.7448051209263028,0.534629349840735
5,fixed_500,4,238,252,0.16813162698015016,0.17940980641150972,0.011278179431359558,0.018327159626693647,0.02603764277843148,-0.020578580501684946,-0.01585860838642627,0.7503504612662008,0.5482636403888127
10,area_scaled,4,166,169,0.17350576583006386,0.20530945349257196,0.0318036876625081,0.017783067154081404,0.02349893898045437,-0.019445880016646412,-0.015009958135278995,0.7481619442669522,0.5073011178602551
20,area_scaled,4,62,71,0.2013991877715744,0.2224219218910939,0.021022734119519493,0.002067624489055632,0.0374695396463334,-0.029418066975267408,-0.009459789212766719,0.7532741678880238,0.48956332730721785
20,fixed_500,4,98,108,0.1952236895504907,0.2106626025194806,0.015438912968989915,0.013087477769098934,0.02655118267631561,-0.02674816153435757,-0.012764844055797952,0.7504967662991855,0.49733231440538556
