spec_id,domain,year,train_start,train_end,n_train,events_train,n_test,events_test
g05_area_scaled_ox50,oisst_matched_domain,2012,1989,2011,6175,2499,285,71
g05_area_scaled_ox50,oisst_matched_domain,2013,1989,2012,6460,2570,331,211
g05_area_scaled_ox50,oisst_matched_domain,2014,1989,2013,6791,2781,297,119
g05_area_scaled_ox50,oisst_matched_domain,2015,1989,2014,7088,2900,245,124
g05_area_scaled_ox50,oisst_matched_domain,2016,1989,2015,7333,3024,221,78
g05_area_scaled_ox50,oisst_matched_domain,2017,1989,2016,7554,3102,249,52
g05_area_scaled_ox50,oisst_matched_domain,2018,1989,2017,7803,3154,270,209
g05_area_scaled_ox50,oisst_matched_domain,2019,1989,2018,8073,3363,196,54
g05_area_scaled_ox50,oisst_matched_domain,2020,1989,2019,8269,3417,233,92
g05_area_scaled_ox50,oisst_matched_domain,2021,1989,2020,8502,3509,233,89
g05_area_scaled_ox50,oisst_matched_domain,2022,1989,2021,8735,3598,222,144
g05_area_scaled_ox50,oisst_matched_domain,2023,1989,2022,8957,3742,175,25
g05_area_scaled_ox50,oisst_matched_domain,2024,1989,2023,9132,3767,204,57
g05_area_scaled_oy50,full_kelp_domain,2005,1989,2004,4101,1680,302,169
g05_area_scaled_oy50,full_kelp_domain,2006,1989,2005,4403,1849,270,51
g05_area_scaled_oy50,full_kelp_domain,2007,1989,2006,4673,1900,324,90
g05_area_scaled_oy50,full_kelp_domain,2008,1989,2007,4997,1990,330,105
g05_area_scaled_oy50,full_kelp_domain,2009,1989,2008,5327,2095,332,155
g05_area_scaled_oy50,full_kelp_domain,2010,1989,2009,5659,2250,324,157
g05_area_scaled_oy50,full_kelp_domain,2011,1989,2010,5983,2407,287,115
g05_area_scaled_oy50,full_kelp_domain,2012,1989,2011,6270,2522,283,58
g05_area_scaled_oy50,full_kelp_domain,2013,1989,2012,6553,2580,335,208
g05_area_scaled_oy50,full_kelp_domain,2014,1989,2013,6888,2788,297,123
g05_area_scaled_oy50,full_kelp_domain,2015,1989,2014,7185,2911,250,115
g05_area_scaled_oy50,full_kelp_domain,2016,1989,2015,7435,3026,227,85
g05_area_scaled_oy50,full_kelp_domain,2017,1989,2016,7662,3111,264,51
