domain,model_family,feature_set,n,events,estimable_years,macro_within_year_ap_lift,ci_low,ci_high,brier,log_loss,calibration_intercept,calibration_slope,ece
full_oisst_domain,elastic_net,current_only,5411,2184,20,0.15297377049503907,0.11787039532303994,0.19109741198185207,0.2243127846394764,0.6427395522463143,-0.07139687470016413,0.8751001220956853,0.012862306060107383
full_oisst_domain,elastic_net,current_plus_trajectory,5411,2184,20,0.19174434885640904,0.15462960655076005,0.23340294015809737,0.21867836866432305,0.6312389642866808,-0.014549017760733227,0.976582832187287,0.02149212061303844
full_oisst_domain,elastic_net,trajectory_plus_oisst,5411,2184,20,0.1751570102149113,0.1469802445818228,0.20643073235194342,0.22279927945318587,0.641264901160426,-0.15317731555184116,0.7489816671950296,0.02361444796884098
full_oisst_domain,hierarchical_additive,current_only,5411,2184,20,0.1844770683980753,0.15419730633750722,0.2157428021948132,0.21792915842412136,0.6281954130859977,-0.044125608520897794,0.8139834102552663,0.029859672422871814
full_oisst_domain,hierarchical_additive,current_plus_trajectory,5411,2184,20,0.18908988271432328,0.16089870530648534,0.22132065944903803,0.21585211877603078,0.6224551822125738,-0.013846857898925292,0.900128739995883,0.029992411713635942
full_oisst_domain,hierarchical_additive,trajectory_plus_oisst,5411,2184,20,0.18158676928623835,0.1511011872296547,0.21564234529274,0.23845705460358793,0.6952777070695789,-0.23785280159416344,0.39392861172183113,0.08981714366878689
full_oisst_domain,lambdamart_ranker,current_only,5411,2184,20,0.15737884849723985,0.12680324242511753,0.18950027114212556,0.24063059600934664,0.6766158057056733,-0.19638534169742924,0.4597951934343385,0.054900534249103704
full_oisst_domain,lambdamart_ranker,current_plus_trajectory,5411,2184,20,0.18964903057196203,0.1616534590022635,0.2184508171640821,0.2365665565526516,0.6674827991609791,-0.14799911901178023,0.5783596647758251,0.042056192979321255
full_oisst_domain,lambdamart_ranker,trajectory_plus_oisst,5411,2184,20,0.17624003551120845,0.1477765690064506,0.20791180341430135,0.2410547681472705,0.6787114067834736,-0.20861354653775413,0.4306405673650731,0.06179107433341814
upwelling_supported_domain,elastic_net,current_only,3620,1500,20,0.14009855252356565,0.0950730163472652,0.19222406178561965,0.22704390207965852,0.6489836989883385,-0.06262140160490297,0.8421611143549286,0.01932800657377842
upwelling_supported_domain,elastic_net,current_plus_trajectory,3620,1500,20,0.17215354525966434,0.12478942393069507,0.22715633712646255,0.22307008602175094,0.63988956835748,-0.022294878686109357,0.9099013358821194,0.029086099537334886
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,3620,1500,20,0.16342786531655415,0.12031798050944391,0.21437957756905054,0.22984001019985908,0.6564364278247267,-0.13047104606489726,0.6513798871657972,0.03627497987046524
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,3620,1500,20,0.15571570181554073,0.10790030334545583,0.20603859649249676,0.2340418637656653,0.66602131260428,-0.21608561592303732,0.5616836485988854,0.04422136185423285
upwelling_supported_domain,hierarchical_additive,current_only,3620,1500,20,0.18053356375476642,0.1286224184906085,0.23505730610490133,0.220914971170221,0.6346502304323556,-0.012054624299527741,0.821946660833937,0.03074128995343456
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,3620,1500,20,0.17891044932137995,0.12661189879206,0.22838973188916142,0.2227519083860248,0.6380691462564303,-0.030327458331331818,0.7866568778828689,0.03379317207047812
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,3620,1500,20,0.15839985522955424,0.10862523831427974,0.2180794782159191,0.24789022543724198,0.7271362947301769,-0.18272567804805123,0.33244832116540235,0.12312727002548632
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,3620,1500,20,0.13691206085488597,0.08157524373660031,0.20277548652614252,0.2648646653898465,0.80092717735049,-0.241964391726995,0.20148370585892197,0.13453955955901062
upwelling_supported_domain,lambdamart_ranker,current_only,3620,1500,20,0.15439767623339923,0.10872927614316144,0.20324684698602793,0.25584099132329186,0.7098845274870242,-0.3237016164876267,0.056771753673063294,0.11009328927364907
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,3620,1500,20,0.17573248961254204,0.12982566655979888,0.22474045039087637,0.2547303103138392,0.7083603500507103,-0.30536683562392847,0.10325312269287806,0.10368345109888405
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst,3620,1500,20,0.16924738138278836,0.12162371153939393,0.22124367444447238,0.25499345932258294,0.708985667248059,-0.3106107818166132,0.09009512618373232,0.10306657751499607
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst_cuti_beuti,3620,1500,20,0.17114059468685058,0.12348928781093282,0.2239410816313188,0.25699877589382014,0.7119429465701487,-0.3459981417745501,0.00021949567944164194,0.11055958099361336
