C,l1_ratio,inner_macro_ap_lift,inner_rows,domain,year,model_family,feature_set
1.0,0.5,0.15882943442845918,936,full_oisst_domain,2006,elastic_net,trajectory_plus_oisst
1.0,0.0,0.15850179766268166,936,full_oisst_domain,2006,elastic_net,trajectory_plus_oisst
0.05,1.0,0.1581566272847246,936,full_oisst_domain,2006,elastic_net,trajectory_plus_oisst
0.2,,0.17295712003337727,936,full_oisst_domain,2006,hierarchical_additive,current_only
0.05,,0.16559369227088036,936,full_oisst_domain,2006,hierarchical_additive,current_only
1.0,,0.1628108139129554,936,full_oisst_domain,2006,hierarchical_additive,current_only
0.2,,0.1649989346302701,936,full_oisst_domain,2006,hierarchical_additive,current_plus_trajectory
1.0,,0.16325005659674655,936,full_oisst_domain,2006,hierarchical_additive,current_plus_trajectory
0.05,,0.15840381536434978,936,full_oisst_domain,2006,hierarchical_additive,current_plus_trajectory
0.2,,0.15445548918986726,936,full_oisst_domain,2006,hierarchical_additive,trajectory_plus_oisst
0.05,,0.15318083425494505,936,full_oisst_domain,2006,hierarchical_additive,trajectory_plus_oisst
1.0,,0.14942009395337172,936,full_oisst_domain,2006,hierarchical_additive,trajectory_plus_oisst
0.05,0.0,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
0.05,0.5,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
0.05,1.0,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
0.2,0.0,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
0.2,0.5,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
0.2,1.0,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
1.0,0.0,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
1.0,0.5,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
1.0,1.0,0.18182484074149866,919,full_oisst_domain,2007,elastic_net,current_only
0.05,1.0,0.232523382409603,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
0.2,1.0,0.23097263946933744,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
