domain,model_family,comparison,exclude_2021,exclude_2022,leave_one_year_min,leave_one_year_max,all_leave_one_year_positive
full_oisst_domain,elastic_net,trajectory_minus_current,0.03771626928872034,0.03851371675698216,0.03315556723758705,0.042092704547514515,True
full_oisst_domain,elastic_net,oisst_minus_trajectory,-0.01860338171365436,-0.015329274246548652,-0.021817496482288156,-0.009309159054378935,False
full_oisst_domain,hierarchical_additive,trajectory_minus_current,0.004619777426670124,0.002433045078382808,0.0015691807951175307,0.006916721686962764,True
full_oisst_domain,hierarchical_additive,oisst_minus_trajectory,-0.012972230767141862,-0.0027032262337410413,-0.012972230767141862,-0.0027032262337410413,False
full_oisst_domain,lambdamart_ranker,trajectory_minus_current,0.029075791412173823,0.03136248529926937,0.02621902688918053,0.03453280968362447,True
full_oisst_domain,lambdamart_ranker,oisst_minus_trajectory,-0.015177745555828199,-0.011385495221844632,-0.015810961852583304,-0.010386727048228456,False
upwelling_supported_domain,elastic_net,trajectory_minus_current,0.028424019234253143,0.0339190882575849,0.024637128252333416,0.035602842656720465,True
upwelling_supported_domain,elastic_net,oisst_minus_trajectory,-0.010771712764327727,-0.008350952711804624,-0.01158419003314085,-0.003482294614447826,False
upwelling_supported_domain,elastic_net,cuti_beuti_minus_oisst,-0.006633060309529531,-0.009839790428059781,-0.011111538135430506,-0.0026502652011553083,False
upwelling_supported_domain,hierarchical_additive,trajectory_minus_current,-0.0021605115608474175,-0.0034827372552249133,-0.007810179806844534,0.0015524485360361353,False
upwelling_supported_domain,hierarchical_additive,oisst_minus_trajectory,-0.023241906046544886,-0.017408715036704336,-0.02614258128311216,-0.013282127771174256,False
upwelling_supported_domain,hierarchical_additive,cuti_beuti_minus_oisst,-0.018425638521602818,-0.02302491446659078,-0.02833890079868911,-0.011355679147371822,False
upwelling_supported_domain,lambdamart_ranker,trajectory_minus_current,0.016691165510416536,0.02087428244446585,0.012728876703902197,0.027539245448663402,True
upwelling_supported_domain,lambdamart_ranker,oisst_minus_trajectory,-0.00950229817951139,-0.005490607193767192,-0.010315477498403568,-0.0010404821984799683,False
upwelling_supported_domain,lambdamart_ranker,cuti_beuti_minus_oisst,0.0015811839658273427,0.0010626545375979565,-0.0013492912738805596,0.004088546793467523,False
