domain,model_family,feature_set,budget_fraction,selected,true_positives,total_events,micro_recall,micro_precision
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,0.3,1095,560,1500,0.37333333333333335,0.5114155251141552
upwelling_supported_domain,lambdamart_ranker,current_only,0.05,191,134,1500,0.08933333333333333,0.7015706806282722
upwelling_supported_domain,lambdamart_ranker,current_only,0.1,371,239,1500,0.15933333333333333,0.6442048517520216
upwelling_supported_domain,lambdamart_ranker,current_only,0.2,734,428,1500,0.2853333333333333,0.5831062670299727
upwelling_supported_domain,lambdamart_ranker,current_only,0.3,1095,588,1500,0.392,0.536986301369863
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,0.05,191,132,1500,0.088,0.6910994764397905
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,0.1,371,242,1500,0.16133333333333333,0.6522911051212938
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,0.2,734,439,1500,0.2926666666666667,0.5980926430517711
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,0.3,1095,611,1500,0.4073333333333333,0.5579908675799087
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst,0.05,191,134,1500,0.08933333333333333,0.7015706806282722
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst,0.1,371,238,1500,0.15866666666666668,0.6415094339622641
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst,0.2,734,435,1500,0.29,0.5926430517711172
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst,0.3,1095,606,1500,0.404,0.5534246575342465
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst_cuti_beuti,0.05,191,138,1500,0.092,0.7225130890052356
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst_cuti_beuti,0.1,371,243,1500,0.162,0.6549865229110512
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst_cuti_beuti,0.2,734,431,1500,0.28733333333333333,0.5871934604904632
upwelling_supported_domain,lambdamart_ranker,trajectory_plus_oisst_cuti_beuti,0.3,1095,595,1500,0.39666666666666667,0.54337899543379
