domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable,decline_threshold,canopy_cutoff
upwelling_supported_domain,logistic,current_only,expanding_window,2008,103,34,0.3300970873786408,0.6543940872995454,0.3242969999209046,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2009,103,53,0.5145631067961165,0.6965518554858864,0.18198874868976989,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2010,102,70,0.6862745098039216,0.8410169063214856,0.15474239651756405,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2011,96,34,0.3541666666666667,0.5680051314200875,0.21383846475342078,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2012,98,13,0.1326530612244898,0.508371565973456,0.3757185047489662,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2013,107,95,0.8878504672897196,0.9283025040433543,0.040452036753634735,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2014,87,33,0.3793103448275862,0.5124127162306616,0.13310237140307546,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2015,72,24,0.3333333333333333,0.6074294353680537,0.2740961020347204,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2016,76,37,0.4868421052631579,0.7899461986005316,0.3031040933373737,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2017,80,17,0.2125,0.2490464238250613,0.03654642382506132,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2018,82,73,0.8902439024390244,0.9457733035540348,0.05552940111501037,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2019,57,10,0.17543859649122806,0.19043624589282399,0.014997649401595925,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2020,77,32,0.4155844155844156,0.45944352754455864,0.04385911196014303,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2021,83,25,0.30120481927710846,0.49915508706371475,0.1979502677866063,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2022,77,63,0.8181818181818182,0.8919444931382783,0.07376267495646005,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2023,53,5,0.09433962264150944,0.5152046783625731,0.4208650557210637,True,0.2,0.05
upwelling_supported_domain,logistic,current_only,expanding_window,2024,70,19,0.2714285714285714,0.4625813262900741,0.19115275486150268,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2005,89,63,0.7078651685393258,0.8417585345941176,0.13389336605479185,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2006,85,17,0.2,0.6248364737702867,0.4248364737702867,True,0.2,0.05
