domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2015,120,59,0.49166666666666664,0.780715701611129,0.2890490349444624,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2016,111,37,0.3333333333333333,0.5829826820171956,0.2496493486838623,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2017,122,17,0.13934426229508196,0.2771531029098105,0.13780884061472853,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2018,134,104,0.7761194029850746,0.9304846595439291,0.15436525655885447,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2019,93,29,0.3118279569892473,0.6023612426230378,0.2905332856337905,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2020,117,41,0.3504273504273504,0.5157383757250109,0.1653110252976605,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2021,117,38,0.3247863247863248,0.5695812568160709,0.24479493202974606,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2022,110,74,0.6727272727272727,0.8193614824938393,0.1466342097665666,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2023,87,14,0.16091954022988506,0.29348425327948424,0.1325647130495992,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2024,102,17,0.16666666666666666,0.2452150057309874,0.07854833906432074,True
full_oisst_domain,random_forest,current_only,expanding_window,2005,144,89,0.6180555555555556,0.7350311620107473,0.11697560645519167,True
full_oisst_domain,random_forest,current_only,expanding_window,2006,133,19,0.14285714285714285,0.42462643972614866,0.2817692968690058,True
full_oisst_domain,random_forest,current_only,expanding_window,2007,158,47,0.2974683544303797,0.4832434494746299,0.18577509504425016,True
full_oisst_domain,random_forest,current_only,expanding_window,2008,160,40,0.25,0.44590018469910864,0.19590018469910864,True
full_oisst_domain,random_forest,current_only,expanding_window,2009,160,79,0.49375,0.596665679895615,0.10291567989561501,True
full_oisst_domain,random_forest,current_only,expanding_window,2010,158,77,0.4873417721518987,0.6264790197358439,0.13913724758394513,True
full_oisst_domain,random_forest,current_only,expanding_window,2011,141,51,0.3617021276595745,0.5635000132405458,0.20179788558097128,True
full_oisst_domain,random_forest,current_only,expanding_window,2012,144,26,0.18055555555555555,0.4520706543589376,0.2715150988033821,True
full_oisst_domain,random_forest,current_only,expanding_window,2013,159,97,0.610062893081761,0.7493530291888406,0.13929013610707963,True
full_oisst_domain,random_forest,current_only,expanding_window,2014,144,53,0.3680555555555556,0.5527884291867743,0.1847328736312187,True
full_oisst_domain,random_forest,current_only,expanding_window,2015,120,59,0.49166666666666664,0.701873586841522,0.21020692017485537,True
full_oisst_domain,random_forest,current_only,expanding_window,2016,111,37,0.3333333333333333,0.5750766689173874,0.2417433355840541,True
full_oisst_domain,random_forest,current_only,expanding_window,2017,122,17,0.13934426229508196,0.24515448820533037,0.10581022591024841,True
full_oisst_domain,random_forest,current_only,expanding_window,2018,134,104,0.7761194029850746,0.8794440659344884,0.10332466294941378,True
full_oisst_domain,random_forest,current_only,expanding_window,2019,93,29,0.3118279569892473,0.5899236569378176,0.27809569994857025,True
full_oisst_domain,random_forest,current_only,expanding_window,2020,117,41,0.3504273504273504,0.4051177536722221,0.05469040324487168,True
full_oisst_domain,random_forest,current_only,expanding_window,2021,117,38,0.3247863247863248,0.47826568140242265,0.15347935661609785,True
full_oisst_domain,random_forest,current_only,expanding_window,2022,110,74,0.6727272727272727,0.8387339602221001,0.1660066874948274,True
full_oisst_domain,random_forest,current_only,expanding_window,2023,87,14,0.16091954022988506,0.27848109822320166,0.1175615579933166,True
full_oisst_domain,random_forest,current_only,expanding_window,2024,102,17,0.16666666666666666,0.19345527747170943,0.026788610805042773,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2005,144,89,0.6180555555555556,0.7362880771609368,0.11823252160538122,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2006,133,19,0.14285714285714285,0.5286375511082292,0.38578040825108634,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2007,158,47,0.2974683544303797,0.5321976878031232,0.23472933337274343,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2008,160,40,0.25,0.5108609643282707,0.26086096432827066,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2009,160,79,0.49375,0.6461756231828544,0.15242562318285435,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2010,158,77,0.4873417721518987,0.6625275914488088,0.17518581929691007,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2011,141,51,0.3617021276595745,0.5394026952909595,0.17770056763138503,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2012,144,26,0.18055555555555555,0.482205470634102,0.30164991507854644,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2013,159,97,0.610062893081761,0.7346041959953318,0.1245413029135708,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2014,144,53,0.3680555555555556,0.5570678837922199,0.18901232823666436,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2015,120,59,0.49166666666666664,0.711054222730666,0.21938755606399934,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2016,111,37,0.3333333333333333,0.6404498633257045,0.3071165299923712,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2017,122,17,0.13934426229508196,0.22024510528080465,0.0809008429857227,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2018,134,104,0.7761194029850746,0.8775250049200283,0.10140560193495363,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2019,93,29,0.3118279569892473,0.598732131492093,0.2869041745028457,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2020,117,41,0.3504273504273504,0.45574651838444835,0.10531916795709795,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2021,117,38,0.3247863247863248,0.4732363223682545,0.14844999758192973,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2022,110,74,0.6727272727272727,0.8549563513714908,0.1822290786442181,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2023,87,14,0.16091954022988506,0.3013386096071302,0.14041906937724516,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2024,102,17,0.16666666666666666,0.22364363854391217,0.056976971877245514,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2005,144,89,0.6180555555555556,0.7853992033303114,0.16734364777475585,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2006,133,19,0.14285714285714285,0.41111896756735045,0.2682618247102076,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2007,158,47,0.2974683544303797,0.5421108676458127,0.244642513215433,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2008,160,40,0.25,0.544855622558241,0.29485562255824105,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2009,160,79,0.49375,0.6240693922524898,0.13031939225248979,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2010,158,77,0.4873417721518987,0.6249678294415318,0.13762605728963312,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2011,141,51,0.3617021276595745,0.6021143382070666,0.24041221054749212,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2012,144,26,0.18055555555555555,0.586007689866176,0.40545213431062044,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2013,159,97,0.610062893081761,0.7615709651576158,0.15150807207585482,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2014,144,53,0.3680555555555556,0.44143916937434613,0.07338361381879055,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2015,120,59,0.49166666666666664,0.7302092105218185,0.2385425438551519,True
full_oisst_domain,random_forest,trajectory_plus_oisst,expanding_window,2016,111,37,0.3333333333333333,0.6539624179705228,0.3206290846371895,True
