domain,model_family,feature_set,budget_fraction,year,n_candidates,selected_n,events,true_positives,precision,recall
full_oisst_domain,logistic,current_only,0.3,2012,144,44,26,17,0.38636363636363635,0.6538461538461539
full_oisst_domain,logistic,current_only,0.3,2013,159,48,97,37,0.7708333333333334,0.38144329896907214
full_oisst_domain,logistic,current_only,0.3,2014,144,44,53,23,0.5227272727272727,0.4339622641509434
full_oisst_domain,logistic,current_only,0.3,2015,120,36,59,26,0.7222222222222222,0.4406779661016949
full_oisst_domain,logistic,current_only,0.3,2016,111,34,37,19,0.5588235294117647,0.5135135135135135
full_oisst_domain,logistic,current_only,0.3,2017,122,37,17,7,0.1891891891891892,0.4117647058823529
full_oisst_domain,logistic,current_only,0.3,2018,134,41,104,36,0.8780487804878049,0.34615384615384615
full_oisst_domain,logistic,current_only,0.3,2019,93,28,29,15,0.5357142857142857,0.5172413793103449
full_oisst_domain,logistic,current_only,0.3,2020,117,36,41,13,0.3611111111111111,0.3170731707317073
full_oisst_domain,logistic,current_only,0.3,2021,117,36,38,20,0.5555555555555556,0.5263157894736842
full_oisst_domain,logistic,current_only,0.3,2022,110,33,74,31,0.9393939393939394,0.4189189189189189
full_oisst_domain,logistic,current_only,0.3,2023,87,27,14,6,0.2222222222222222,0.42857142857142855
full_oisst_domain,logistic,current_only,0.3,2024,102,31,17,6,0.1935483870967742,0.35294117647058826
full_oisst_domain,logistic,current_plus_trajectory,0.05,2005,144,8,89,7,0.875,0.07865168539325842
full_oisst_domain,logistic,current_plus_trajectory,0.05,2006,133,7,19,6,0.8571428571428571,0.3157894736842105
full_oisst_domain,logistic,current_plus_trajectory,0.05,2007,158,8,47,5,0.625,0.10638297872340426
full_oisst_domain,logistic,current_plus_trajectory,0.05,2008,160,8,40,6,0.75,0.15
full_oisst_domain,logistic,current_plus_trajectory,0.05,2009,160,8,79,3,0.375,0.0379746835443038
full_oisst_domain,logistic,current_plus_trajectory,0.05,2010,158,8,77,6,0.75,0.07792207792207792
full_oisst_domain,logistic,current_plus_trajectory,0.05,2011,141,8,51,4,0.5,0.0784313725490196
full_oisst_domain,logistic,current_plus_trajectory,0.05,2012,144,8,26,5,0.625,0.19230769230769232
full_oisst_domain,logistic,current_plus_trajectory,0.05,2013,159,8,97,6,0.75,0.061855670103092786
full_oisst_domain,logistic,current_plus_trajectory,0.05,2014,144,8,53,5,0.625,0.09433962264150944
full_oisst_domain,logistic,current_plus_trajectory,0.05,2015,120,6,59,6,1.0,0.1016949152542373
full_oisst_domain,logistic,current_plus_trajectory,0.05,2016,111,6,37,4,0.6666666666666666,0.10810810810810811
full_oisst_domain,logistic,current_plus_trajectory,0.05,2017,122,7,17,2,0.2857142857142857,0.11764705882352941
full_oisst_domain,logistic,current_plus_trajectory,0.05,2018,134,7,104,7,1.0,0.0673076923076923
full_oisst_domain,logistic,current_plus_trajectory,0.05,2019,93,5,29,4,0.8,0.13793103448275862
full_oisst_domain,logistic,current_plus_trajectory,0.05,2020,117,6,41,4,0.6666666666666666,0.0975609756097561
full_oisst_domain,logistic,current_plus_trajectory,0.05,2021,117,6,38,3,0.5,0.07894736842105263
full_oisst_domain,logistic,current_plus_trajectory,0.05,2022,110,6,74,6,1.0,0.08108108108108109
full_oisst_domain,logistic,current_plus_trajectory,0.05,2023,87,5,14,2,0.4,0.14285714285714285
full_oisst_domain,logistic,current_plus_trajectory,0.05,2024,102,6,17,0,0.0,0.0
full_oisst_domain,logistic,current_plus_trajectory,0.1,2005,144,15,89,14,0.9333333333333333,0.15730337078651685
full_oisst_domain,logistic,current_plus_trajectory,0.1,2006,133,14,19,8,0.5714285714285714,0.42105263157894735
full_oisst_domain,logistic,current_plus_trajectory,0.1,2007,158,16,47,13,0.8125,0.2765957446808511
full_oisst_domain,logistic,current_plus_trajectory,0.1,2008,160,16,40,11,0.6875,0.275
full_oisst_domain,logistic,current_plus_trajectory,0.1,2009,160,16,79,9,0.5625,0.11392405063291139
full_oisst_domain,logistic,current_plus_trajectory,0.1,2010,158,16,77,12,0.75,0.15584415584415584
full_oisst_domain,logistic,current_plus_trajectory,0.1,2011,141,15,51,9,0.6,0.17647058823529413
full_oisst_domain,logistic,current_plus_trajectory,0.1,2012,144,15,26,9,0.6,0.34615384615384615
full_oisst_domain,logistic,current_plus_trajectory,0.1,2013,159,16,97,13,0.8125,0.13402061855670103
full_oisst_domain,logistic,current_plus_trajectory,0.1,2014,144,15,53,11,0.7333333333333333,0.20754716981132076
full_oisst_domain,logistic,current_plus_trajectory,0.1,2015,120,12,59,12,1.0,0.2033898305084746
full_oisst_domain,logistic,current_plus_trajectory,0.1,2016,111,12,37,8,0.6666666666666666,0.21621621621621623
full_oisst_domain,logistic,current_plus_trajectory,0.1,2017,122,13,17,4,0.3076923076923077,0.23529411764705882
full_oisst_domain,logistic,current_plus_trajectory,0.1,2018,134,14,104,14,1.0,0.1346153846153846
full_oisst_domain,logistic,current_plus_trajectory,0.1,2019,93,10,29,8,0.8,0.27586206896551724
full_oisst_domain,logistic,current_plus_trajectory,0.1,2020,117,12,41,7,0.5833333333333334,0.17073170731707318
full_oisst_domain,logistic,current_plus_trajectory,0.1,2021,117,12,38,7,0.5833333333333334,0.18421052631578946
full_oisst_domain,logistic,current_plus_trajectory,0.1,2022,110,11,74,10,0.9090909090909091,0.13513513513513514
full_oisst_domain,logistic,current_plus_trajectory,0.1,2023,87,9,14,3,0.3333333333333333,0.21428571428571427
full_oisst_domain,logistic,current_plus_trajectory,0.1,2024,102,11,17,2,0.18181818181818182,0.11764705882352941
full_oisst_domain,logistic,current_plus_trajectory,0.2,2005,144,29,89,24,0.8275862068965517,0.2696629213483146
full_oisst_domain,logistic,current_plus_trajectory,0.2,2006,133,27,19,13,0.48148148148148145,0.6842105263157895
full_oisst_domain,logistic,current_plus_trajectory,0.2,2007,158,32,47,21,0.65625,0.44680851063829785
full_oisst_domain,logistic,current_plus_trajectory,0.2,2008,160,32,40,20,0.625,0.5
full_oisst_domain,logistic,current_plus_trajectory,0.2,2009,160,32,79,18,0.5625,0.22784810126582278
full_oisst_domain,logistic,current_plus_trajectory,0.2,2010,158,32,77,21,0.65625,0.2727272727272727
full_oisst_domain,logistic,current_plus_trajectory,0.2,2011,141,29,51,16,0.5517241379310345,0.3137254901960784
full_oisst_domain,logistic,current_plus_trajectory,0.2,2012,144,29,26,15,0.5172413793103449,0.5769230769230769
full_oisst_domain,logistic,current_plus_trajectory,0.2,2013,159,32,97,22,0.6875,0.2268041237113402
full_oisst_domain,logistic,current_plus_trajectory,0.2,2014,144,29,53,19,0.6551724137931034,0.3584905660377358
full_oisst_domain,logistic,current_plus_trajectory,0.2,2015,120,24,59,19,0.7916666666666666,0.3220338983050847
full_oisst_domain,logistic,current_plus_trajectory,0.2,2016,111,23,37,16,0.6956521739130435,0.43243243243243246
full_oisst_domain,logistic,current_plus_trajectory,0.2,2017,122,25,17,6,0.24,0.35294117647058826
full_oisst_domain,logistic,current_plus_trajectory,0.2,2018,134,27,104,26,0.9629629629629629,0.25
full_oisst_domain,logistic,current_plus_trajectory,0.2,2019,93,19,29,14,0.7368421052631579,0.4827586206896552
full_oisst_domain,logistic,current_plus_trajectory,0.2,2020,117,24,41,12,0.5,0.2926829268292683
full_oisst_domain,logistic,current_plus_trajectory,0.2,2021,117,24,38,13,0.5416666666666666,0.34210526315789475
full_oisst_domain,logistic,current_plus_trajectory,0.2,2022,110,22,74,20,0.9090909090909091,0.2702702702702703
full_oisst_domain,logistic,current_plus_trajectory,0.2,2023,87,18,14,6,0.3333333333333333,0.42857142857142855
full_oisst_domain,logistic,current_plus_trajectory,0.2,2024,102,21,17,5,0.23809523809523808,0.29411764705882354
full_oisst_domain,logistic,current_plus_trajectory,0.3,2005,144,44,89,35,0.7954545454545454,0.39325842696629215
full_oisst_domain,logistic,current_plus_trajectory,0.3,2006,133,40,19,14,0.35,0.7368421052631579
full_oisst_domain,logistic,current_plus_trajectory,0.3,2007,158,48,47,28,0.5833333333333334,0.5957446808510638
full_oisst_domain,logistic,current_plus_trajectory,0.3,2008,160,48,40,22,0.4583333333333333,0.55
full_oisst_domain,logistic,current_plus_trajectory,0.3,2009,160,48,79,29,0.6041666666666666,0.3670886075949367
full_oisst_domain,logistic,current_plus_trajectory,0.3,2010,158,48,77,33,0.6875,0.42857142857142855
full_oisst_domain,logistic,current_plus_trajectory,0.3,2011,141,43,51,22,0.5116279069767442,0.43137254901960786
full_oisst_domain,logistic,current_plus_trajectory,0.3,2012,144,44,26,16,0.36363636363636365,0.6153846153846154
full_oisst_domain,logistic,current_plus_trajectory,0.3,2013,159,48,97,36,0.75,0.3711340206185567
full_oisst_domain,logistic,current_plus_trajectory,0.3,2014,144,44,53,23,0.5227272727272727,0.4339622641509434
full_oisst_domain,logistic,current_plus_trajectory,0.3,2015,120,36,59,25,0.6944444444444444,0.423728813559322
full_oisst_domain,logistic,current_plus_trajectory,0.3,2016,111,34,37,22,0.6470588235294118,0.5945945945945946
full_oisst_domain,logistic,current_plus_trajectory,0.3,2017,122,37,17,8,0.21621621621621623,0.47058823529411764
full_oisst_domain,logistic,current_plus_trajectory,0.3,2018,134,41,104,39,0.9512195121951219,0.375
full_oisst_domain,logistic,current_plus_trajectory,0.3,2019,93,28,29,19,0.6785714285714286,0.6551724137931034
full_oisst_domain,logistic,current_plus_trajectory,0.3,2020,117,36,41,13,0.3611111111111111,0.3170731707317073
full_oisst_domain,logistic,current_plus_trajectory,0.3,2021,117,36,38,17,0.4722222222222222,0.4473684210526316
full_oisst_domain,logistic,current_plus_trajectory,0.3,2022,110,33,74,29,0.8787878787878788,0.3918918918918919
full_oisst_domain,logistic,current_plus_trajectory,0.3,2023,87,27,14,8,0.2962962962962963,0.5714285714285714
full_oisst_domain,logistic,current_plus_trajectory,0.3,2024,102,31,17,8,0.25806451612903225,0.47058823529411764
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2005,144,8,89,7,0.875,0.07865168539325842
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2006,133,7,19,3,0.42857142857142855,0.15789473684210525
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2007,158,8,47,5,0.625,0.10638297872340426
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2008,160,8,40,6,0.75,0.15
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2009,160,8,79,4,0.5,0.05063291139240506
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2010,158,8,77,6,0.75,0.07792207792207792
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2011,141,8,51,5,0.625,0.09803921568627451
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2012,144,8,26,4,0.5,0.15384615384615385
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2013,159,8,97,5,0.625,0.05154639175257732
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2014,144,8,53,4,0.5,0.07547169811320754
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2015,120,6,59,6,1.0,0.1016949152542373
