protocol,repeat,domain,model_family,feature_set,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss
random_cell_year_cv,0,full_oisst_domain,logistic,current_only,2614,1008,0.3856159143075746,0.5732798206113916,0.18766390630381702,0.17751309133663434,20,0.2154177787212957,0.6265147903482207
random_cell_year_cv,0,full_oisst_domain,logistic,current_plus_trajectory,2614,1008,0.3856159143075746,0.5862824212769394,0.20066650696936483,0.2038808182490155,20,0.21040749067931883,0.6127162668029971
random_cell_year_cv,0,full_oisst_domain,logistic,trajectory_plus_oisst,2614,1008,0.3856159143075746,0.5807355004414763,0.19511958613390168,0.19024773979248208,20,0.20963764265532106,0.6107825240249639
random_cell_year_cv,1,full_oisst_domain,logistic,current_only,2614,1008,0.3856159143075746,0.5720563498220324,0.18644043551445777,0.17710750049414145,20,0.21556444968124988,0.6268994491892813
random_cell_year_cv,1,full_oisst_domain,logistic,current_plus_trajectory,2614,1008,0.3856159143075746,0.5853027330196712,0.1996868187120966,0.20653614481790844,20,0.21044755729086803,0.6130471060832242
random_cell_year_cv,1,full_oisst_domain,logistic,trajectory_plus_oisst,2614,1008,0.3856159143075746,0.5805385081961759,0.19492259388860134,0.1913535104295398,20,0.20974263682725788,0.6111721699103417
random_cell_year_cv,2,full_oisst_domain,logistic,current_only,2614,1008,0.3856159143075746,0.5716390892583425,0.18602317495076792,0.17404259157042506,20,0.21557817268040458,0.6269841927065974
random_cell_year_cv,2,full_oisst_domain,logistic,current_plus_trajectory,2614,1008,0.3856159143075746,0.5849777108679419,0.19936179656036734,0.2054901197131783,20,0.2105989348181552,0.6133581081388857
random_cell_year_cv,2,full_oisst_domain,logistic,trajectory_plus_oisst,2614,1008,0.3856159143075746,0.5806687663034917,0.19505285199591715,0.1919572338764462,20,0.20987466259671494,0.6114907218176185
random_cell_year_cv,3,full_oisst_domain,logistic,current_only,2614,1008,0.3856159143075746,0.5722441874995328,0.18662827319195818,0.17493349169173375,20,0.21556356638622717,0.6268352436537652
random_cell_year_cv,3,full_oisst_domain,logistic,current_plus_trajectory,2614,1008,0.3856159143075746,0.5832407385649334,0.19762482425735883,0.2026462429608391,20,0.2107676128407116,0.6135129446936601
random_cell_year_cv,3,full_oisst_domain,logistic,trajectory_plus_oisst,2614,1008,0.3856159143075746,0.5783130407716529,0.19269712646407833,0.18825282997795795,20,0.21016332550478342,0.6118621279229087
random_cell_year_cv,4,full_oisst_domain,logistic,current_only,2614,1008,0.3856159143075746,0.5733437581704977,0.18772784386292307,0.17675093869710107,20,0.21537658061217707,0.6263277270045531
random_cell_year_cv,4,full_oisst_domain,logistic,current_plus_trajectory,2614,1008,0.3856159143075746,0.5851212457163353,0.1995053314087607,0.20573104593362132,20,0.21047132941608698,0.6128535331961705
random_cell_year_cv,4,full_oisst_domain,logistic,trajectory_plus_oisst,2614,1008,0.3856159143075746,0.5812882063916734,0.19567229208409886,0.18968292723041696,20,0.209601674786701,0.6106930174768157
