domain,model_family,model_label,feature_set,feature_label,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss,macro_ci_low,macro_ci_high
full_oisst_domain,logistic,Logistic,current_only,Current,2614,1008,0.3856159143075746,0.5649939433284785,0.17937802902090394,0.17653421471286107,20,0.21683800102327205,0.6299092905364123,0.14129526679073784,0.21384613331953292
full_oisst_domain,logistic,Logistic,current_plus_trajectory,Current + trajectory,2614,1008,0.3856159143075746,0.5706615552424545,0.18504564093487996,0.20042407543393503,20,0.21431611049986343,0.6243118823689603,0.16209870132976587,0.24148113236083474
full_oisst_domain,logistic,Logistic,trajectory_plus_oisst,Current + trajectory + OISST,2614,1008,0.3856159143075746,0.5438218378494796,0.158205923541905,0.17791956075515838,20,0.2217053180748615,0.6431571749048277,0.14553105574268546,0.2109095161317511
full_oisst_domain,random_forest,Random forest,current_only,Current,2614,1008,0.3856159143075746,0.5492469010137018,0.1636309867061272,0.16387582826955333,20,0.21860795748524298,0.6294911092493896,0.1339835707549122,0.1942148400800766
full_oisst_domain,random_forest,Random forest,current_plus_trajectory,Current + trajectory,2614,1008,0.3856159143075746,0.5626473029588449,0.17703138865127033,0.18746138874075208,20,0.21423319151318412,0.6184904797351449,0.15132956179751664,0.22266038587627238
full_oisst_domain,random_forest,Random forest,trajectory_plus_oisst,Current + trajectory + OISST,2614,1008,0.3856159143075746,0.5415711398603545,0.15595522555277996,0.19343639709691401,20,0.216295842744297,0.6231232609375009,0.15353557976884502,0.23420929108115937
full_oisst_domain,xgboost,XGBoost,current_only,Current,2614,1008,0.3856159143075746,0.5467646720607425,0.16114875775316795,0.1619678865088338,20,0.21947098807037957,0.6306778130938372,0.12783233387599793,0.19589319474975153
full_oisst_domain,xgboost,XGBoost,current_plus_trajectory,Current + trajectory,2614,1008,0.3856159143075746,0.5465605476650287,0.16094463335745413,0.167627746418688,20,0.21893654530539733,0.6289500183176864,0.136547504317244,0.19938709979510005
full_oisst_domain,xgboost,XGBoost,trajectory_plus_oisst,Current + trajectory + OISST,2614,1008,0.3856159143075746,0.5277325932401467,0.14211667893257207,0.17570894931562217,20,0.22821788660421938,0.6553096717509328,0.13956553626340037,0.21280470059972625
upwelling_supported_domain,logistic,Logistic,current_only,Current,1698,661,0.38928150765606595,0.554725514764697,0.16544400710863105,0.15937485855075334,20,0.21965371967720318,0.6339225211092921,0.11069163554062314,0.20834665399893434
upwelling_supported_domain,logistic,Logistic,current_plus_trajectory,Current + trajectory,1698,661,0.38928150765606595,0.5475137610488563,0.15823225339279035,0.17080012251051221,20,0.2204493927613614,0.6361316567515881,0.1171775342855127,0.2280660830224657
upwelling_supported_domain,logistic,Logistic,trajectory_plus_oisst,Current + trajectory + OISST,1698,661,0.38928150765606595,0.5203225519631101,0.1310410443070441,0.16212066752832938,20,0.2297459409454065,0.6589504742425191,0.1185072118206696,0.21293935796358282
upwelling_supported_domain,logistic,Logistic,trajectory_plus_oisst_cuti_beuti,Current + trajectory + OISST + CUTI/BEUTI,1698,661,0.38928150765606595,0.508248402002189,0.11896689434612306,0.15903521639198726,20,0.23588524143571718,0.6786580591287116,0.10593095287678238,0.2167415757694677
upwelling_supported_domain,random_forest,Random forest,current_only,Current,1698,661,0.38928150765606595,0.5363173946740913,0.1470358870180254,0.14258140831343813,20,0.22289839236524622,0.6376684247830042,0.1041930825597533,0.18284537967460945
upwelling_supported_domain,random_forest,Random forest,current_plus_trajectory,Current + trajectory,1698,661,0.38928150765606595,0.548917631995095,0.15963612433902907,0.1765257564759221,20,0.218623295346162,0.6271188359329165,0.11222321367777117,0.24733349540547034
upwelling_supported_domain,random_forest,Random forest,trajectory_plus_oisst,Current + trajectory + OISST,1698,661,0.38928150765606595,0.5223133823591826,0.13303187470311661,0.1761411762608393,20,0.2211336549400075,0.6326253365297145,0.11328550352411844,0.2507367204208771
upwelling_supported_domain,random_forest,Random forest,trajectory_plus_oisst_cuti_beuti,Current + trajectory + OISST + CUTI/BEUTI,1698,661,0.38928150765606595,0.49082808099223724,0.10154657333617129,0.1722950733459239,20,0.22582783033557946,0.6418346219033687,0.09603989288476632,0.2508964679626685
upwelling_supported_domain,xgboost,XGBoost,current_only,Current,1698,661,0.38928150765606595,0.533821516481897,0.14454000882583107,0.1394748140991369,20,0.22242236127407497,0.6363807565712987,0.10094832725978492,0.1834280205043354
upwelling_supported_domain,xgboost,XGBoost,current_plus_trajectory,Current + trajectory,1698,661,0.38928150765606595,0.5225647377552881,0.13328323009922216,0.14780919086789351,20,0.2251203814009511,0.6419137428478576,0.0935459290070538,0.20819564749274308
upwelling_supported_domain,xgboost,XGBoost,trajectory_plus_oisst,Current + trajectory + OISST,1698,661,0.38928150765606595,0.5042086801665326,0.11492717251046669,0.14974743360633505,20,0.23645982865321047,0.6771713008318245,0.09035544150153901,0.22415179795363904
upwelling_supported_domain,xgboost,XGBoost,trajectory_plus_oisst_cuti_beuti,Current + trajectory + OISST + CUTI/BEUTI,1698,661,0.38928150765606595,0.4630241691653123,0.07374266150924635,0.15342911121995623,20,0.24924022006862934,0.7038659636867249,0.08239177289441106,0.23571181071464883
