domain,model_family,feature_set,budget_fraction,years,total_selected,total_events,total_true_positives,micro_recall,recall_ci_low,recall_ci_high,micro_precision,precision_ci_low,precision_ci_high
full_oisst_domain,logistic,current_only,0.05,20,139,1008,86,0.08531746031746032,0.07291666666666667,0.10231033152036276,0.6187050359712231,0.5035448593959232,0.7304964539007093
full_oisst_domain,logistic,current_only,0.1,20,270,1008,178,0.1765873015873016,0.153916116532721,0.20701776398335864,0.6592592592592592,0.5519962962962963,0.7557411519777931
full_oisst_domain,logistic,current_only,0.2,20,530,1008,323,0.32043650793650796,0.2871008375867033,0.36491303690260135,0.6094339622641509,0.5153309572301426,0.6975089579975153
full_oisst_domain,logistic,current_only,0.3,20,794,1008,435,0.43154761904761907,0.40163807821972713,0.47172106813774856,0.5478589420654912,0.46319520151262217,0.6333437499999999
full_oisst_domain,logistic,current_plus_trajectory,0.05,20,139,1008,91,0.09027777777777778,0.07627050629812009,0.11046610774453504,0.6546762589928058,0.544759657594381,0.7553956834532374
full_oisst_domain,logistic,current_plus_trajectory,0.1,20,270,1008,184,0.18253968253968253,0.15945624515986281,0.2147980516270013,0.6814814814814815,0.5889272281014918,0.7642644100953325
full_oisst_domain,logistic,current_plus_trajectory,0.2,20,530,1008,326,0.32341269841269843,0.2871830877368304,0.3754388055956339,0.6150943396226415,0.5375340570341799,0.6890350962567885
full_oisst_domain,logistic,current_plus_trajectory,0.3,20,794,1008,446,0.44246031746031744,0.4112340256659503,0.48735121030424156,0.5617128463476071,0.47495976970241266,0.6453769455795985
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,20,139,1008,87,0.08630952380952381,0.07423675517752786,0.10256410256410256,0.6258992805755396,0.5230681818181818,0.7214585505735139
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,20,270,1008,175,0.1736111111111111,0.15167434845221045,0.20378910647352075,0.6481481481481481,0.5682656826568265,0.725878942028577
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,20,530,1008,307,0.30456349206349204,0.27242710501503264,0.3468839909873475,0.5792452830188679,0.4970399318990868,0.6660275757629118
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,20,794,1008,428,0.4246031746031746,0.3897163879390377,0.4681129498288262,0.5390428211586902,0.45560186556624893,0.62435960591133
full_oisst_domain,random_forest,current_only,0.05,20,139,1008,93,0.09226190476190477,0.08093944738258436,0.10892314509606862,0.6690647482014388,0.5671155094094743,0.7651633522727272
full_oisst_domain,random_forest,current_only,0.1,20,270,1008,168,0.16666666666666666,0.14532620712429467,0.19537875495025597,0.6222222222222222,0.528084666471743,0.7062994071146245
full_oisst_domain,random_forest,current_only,0.2,20,530,1008,308,0.3055555555555556,0.27951064877053083,0.3417486243480498,0.5811320754716981,0.4913243492834422,0.6672697736761005
full_oisst_domain,random_forest,current_only,0.3,20,794,1008,427,0.4236111111111111,0.3959599117523386,0.46207678027083504,0.5377833753148614,0.44775055947030645,0.6200172413793102
full_oisst_domain,random_forest,current_plus_trajectory,0.05,20,139,1008,98,0.09722222222222222,0.0833300627943485,0.1181945327003825,0.7050359712230215,0.6014130434782609,0.7925925925925926
full_oisst_domain,random_forest,current_plus_trajectory,0.1,20,270,1008,175,0.1736111111111111,0.15176711095349726,0.20505022796094036,0.6481481481481481,0.5563812030075188,0.7288732394366197
full_oisst_domain,random_forest,current_plus_trajectory,0.2,20,530,1008,318,0.31547619047619047,0.28571114737634945,0.3584922134118215,0.6,0.5168974914557599,0.6767039351625816
full_oisst_domain,random_forest,current_plus_trajectory,0.3,20,794,1008,445,0.44146825396825395,0.40964318885448914,0.4866852563837038,0.5604534005037783,0.47673640942082657,0.6403630154722599
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,20,139,1008,95,0.09424603174603174,0.08069876945597,0.1134505200710341,0.6834532374100719,0.570419784330986,0.7793128803245436
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,20,270,1008,177,0.17559523809523808,0.15256753555213012,0.20923000341335754,0.6555555555555556,0.5573107443502399,0.7456001793154369
full_oisst_domain,random_forest,trajectory_plus_oisst,0.2,20,530,1008,321,0.31845238095238093,0.2859584620866745,0.3659621802002225,0.6056603773584905,0.5213885724430768,0.6929185935091446
full_oisst_domain,random_forest,trajectory_plus_oisst,0.3,20,794,1008,440,0.4365079365079365,0.4076247968423497,0.479355945951461,0.5541561712846348,0.4727664041009582,0.6405200814503015
full_oisst_domain,xgboost,current_only,0.05,20,139,1008,93,0.09226190476190477,0.0792068894389439,0.10999329452719281,0.6690647482014388,0.5682911024121879,0.7671353463245224
full_oisst_domain,xgboost,current_only,0.1,20,270,1008,176,0.1746031746031746,0.15376879277844882,0.20538301048924276,0.6518518518518519,0.5634905828002843,0.7410103831828154
full_oisst_domain,xgboost,current_only,0.2,20,530,1008,305,0.30257936507936506,0.2742460470635329,0.3400516763315347,0.5754716981132075,0.4805441154176563,0.6732550470816693
full_oisst_domain,xgboost,current_only,0.3,20,794,1008,426,0.4226190476190476,0.3939305592366817,0.46145843580914897,0.5365239294710328,0.4485485612174082,0.6275232457622284
full_oisst_domain,xgboost,current_plus_trajectory,0.05,20,139,1008,90,0.08928571428571429,0.0767218249675601,0.10593791608234938,0.6474820143884892,0.5441176470588235,0.7446808510638298
full_oisst_domain,xgboost,current_plus_trajectory,0.1,20,270,1008,167,0.16567460317460317,0.14588455028708977,0.1924089783500778,0.6185185185185185,0.5223551781323268,0.7091026069518717
full_oisst_domain,xgboost,current_plus_trajectory,0.2,20,530,1008,294,0.2916666666666667,0.2667827674803114,0.3269242243436754,0.5547169811320755,0.4651040508693139,0.6472875978759788
full_oisst_domain,xgboost,current_plus_trajectory,0.3,20,794,1008,442,0.4384920634920635,0.4078174913659492,0.47968784133110026,0.5566750629722922,0.4693591447878587,0.647707512678737
full_oisst_domain,xgboost,trajectory_plus_oisst,0.05,20,139,1008,94,0.09325396825396826,0.08105721099151134,0.1103983487500463,0.6762589928057554,0.5693402582818641,0.7746478873239436
full_oisst_domain,xgboost,trajectory_plus_oisst,0.1,20,270,1008,167,0.16567460317460317,0.14528234557926586,0.19065803106345766,0.6185185185185185,0.5172071702244116,0.7164895749799518
full_oisst_domain,xgboost,trajectory_plus_oisst,0.2,20,530,1008,308,0.3055555555555556,0.2783543029459522,0.3401319130727573,0.5811320754716981,0.48693982927415236,0.6723300359145611
full_oisst_domain,xgboost,trajectory_plus_oisst,0.3,20,794,1008,420,0.4166666666666667,0.38737989742727424,0.4555965573124261,0.5289672544080605,0.4506255411255411,0.608445514911632
