decline_threshold,canopy_cutoff,domain,feature_set,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss
0.2,0.02,full_oisst_domain,current_only,2808,1183,0.4212962962962963,0.6188989942578207,0.1976026979615244,0.189951150888042,20,0.21816547725345303,0.6349671894208526
0.2,0.02,full_oisst_domain,current_plus_trajectory,2808,1183,0.4212962962962963,0.6246034664335893,0.20330717013729305,0.20795338169945426,20,0.21557164871905116,0.6284388375546622
0.2,0.02,full_oisst_domain,trajectory_plus_oisst,2808,1183,0.4212962962962963,0.6016668959314209,0.18037059963512458,0.19180673321502278,20,0.22230806895630464,0.6461225086368295
0.2,0.02,upwelling_supported_domain,current_only,1838,782,0.42546245919477693,0.6313922045067875,0.20592974531201053,0.19104801471198882,20,0.21671837183332246,0.6278860955048935
0.2,0.02,upwelling_supported_domain,current_plus_trajectory,1838,782,0.42546245919477693,0.6294413564980337,0.20397889730325675,0.19986775497185466,20,0.21650795539804846,0.6269764958586116
0.2,0.02,upwelling_supported_domain,trajectory_plus_oisst,1838,782,0.42546245919477693,0.6027820629406349,0.17731960374585792,0.19541359961693824,20,0.2245907285141319,0.647185140891375
0.2,0.02,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1838,782,0.42546245919477693,0.5908955557796755,0.16543309658489852,0.1909050912272155,20,0.23160621074168916,0.6677426555670645
0.2,0.05,full_oisst_domain,current_only,2614,1130,0.4322876817138485,0.6272713579909186,0.19498367627707008,0.19125665179183754,20,0.22009576670300351,0.6383955472374852
0.2,0.05,full_oisst_domain,current_plus_trajectory,2614,1130,0.4322876817138485,0.6336029780188822,0.2013152963050337,0.20973193992123468,20,0.21730943016259374,0.6321224041008059
0.2,0.05,full_oisst_domain,trajectory_plus_oisst,2614,1130,0.4322876817138485,0.6072511119380064,0.1749634302241579,0.191323272916706,20,0.22541128357710585,0.6530491716333618
0.2,0.05,upwelling_supported_domain,current_only,1698,749,0.44110718492343937,0.6393711904745166,0.19826400555107726,0.1918219459018955,20,0.22025133812613004,0.6349047708139367
0.2,0.05,upwelling_supported_domain,current_plus_trajectory,1698,749,0.44110718492343937,0.635853157641727,0.19474597271828764,0.20205671583593582,20,0.22071549423309142,0.6361464037157923
0.2,0.05,upwelling_supported_domain,trajectory_plus_oisst,1698,749,0.44110718492343937,0.6033195005334557,0.16221231561001637,0.19637375488371744,20,0.23105033116423232,0.6612082557825106
0.2,0.05,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1698,749,0.44110718492343937,0.5870449893284657,0.14593780440502635,0.19144025416333954,20,0.23966790987951037,0.6852490461498651
0.2,0.1,full_oisst_domain,current_only,2385,1082,0.45366876310272536,0.6358605597919528,0.18219179668922741,0.18346911451967823,20,0.22454038346594857,0.6491797496454084
0.2,0.1,full_oisst_domain,current_plus_trajectory,2385,1082,0.45366876310272536,0.6413551993470658,0.1876864362443404,0.20135161538535096,20,0.22168641866712172,0.6423155855803098
0.2,0.1,full_oisst_domain,trajectory_plus_oisst,2385,1082,0.45366876310272536,0.6150816563701328,0.16141289326740743,0.1797248470775436,20,0.2303710762909926,0.6652260228779726
0.2,0.1,upwelling_supported_domain,current_only,1530,715,0.4673202614379085,0.6486141547533503,0.18129389331544177,0.18470337585977115,20,0.2256767864224498,0.6469605049989936
0.2,0.1,upwelling_supported_domain,current_plus_trajectory,1530,715,0.4673202614379085,0.6475056977370668,0.18018543629915829,0.19713512140390305,20,0.22582295800395066,0.6473967370485
0.2,0.1,upwelling_supported_domain,trajectory_plus_oisst,1530,715,0.4673202614379085,0.6116456894085429,0.1443254279706344,0.19029135867955005,20,0.23825753168385028,0.6774804176185881
0.2,0.1,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1530,715,0.4673202614379085,0.5910941877267215,0.12377392628881301,0.17977751752620325,20,0.2498650654371384,0.7075827795365766
0.3,0.02,full_oisst_domain,current_only,2808,1058,0.3767806267806268,0.5570008056043363,0.1802201788237095,0.17463161966194343,20,0.21459481840192807,0.6258898782154645
0.3,0.02,full_oisst_domain,current_plus_trajectory,2808,1058,0.3767806267806268,0.5616961348967983,0.18491550811617147,0.1960403287121683,20,0.2124073271952056,0.6202510815211977
0.3,0.02,full_oisst_domain,trajectory_plus_oisst,2808,1058,0.3767806267806268,0.5380902181165395,0.16130959133591266,0.17560618641434883,20,0.2186603860614846,0.6361217329096809
0.3,0.02,upwelling_supported_domain,current_only,1838,693,0.37704026115342765,0.5481854872106982,0.1711452260572705,0.15820591787348365,20,0.21581271280798867,0.6263520019379624
0.3,0.02,upwelling_supported_domain,current_plus_trajectory,1838,693,0.37704026115342765,0.5428436668259089,0.16580340567248125,0.16888468622461422,20,0.2158925631322881,0.625909286490224
0.3,0.02,upwelling_supported_domain,trajectory_plus_oisst,1838,693,0.37704026115342765,0.5203559660432464,0.14331570488981876,0.16103330476904543,20,0.22321566289600747,0.6442504911110508
0.3,0.02,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1838,693,0.37704026115342765,0.5135682521850455,0.1365279910316179,0.15207091411458665,20,0.2279135837295667,0.6609172984400548
0.3,0.05,full_oisst_domain,current_only,2614,1008,0.3856159143075746,0.5649939433284785,0.17937802902090394,0.17653421471286107,20,0.21683800102327205,0.6299092905364123
0.3,0.05,full_oisst_domain,current_plus_trajectory,2614,1008,0.3856159143075746,0.5706615552424545,0.18504564093487996,0.20042407543393503,20,0.21431611049986343,0.6243118823689603
0.3,0.05,full_oisst_domain,trajectory_plus_oisst,2614,1008,0.3856159143075746,0.5438218378494796,0.158205923541905,0.17791956075515838,20,0.2217053180748615,0.6431571749048277
0.3,0.05,upwelling_supported_domain,current_only,1698,661,0.38928150765606595,0.554725514764697,0.16544400710863105,0.15937485855075334,20,0.21965371967720318,0.6339225211092921
0.3,0.05,upwelling_supported_domain,current_plus_trajectory,1698,661,0.38928150765606595,0.5475137610488563,0.15823225339279035,0.17080012251051221,20,0.2204493927613614,0.6361316567515881
0.3,0.05,upwelling_supported_domain,trajectory_plus_oisst,1698,661,0.38928150765606595,0.5203225519631101,0.1310410443070441,0.16212066752832938,20,0.2297459409454065,0.6589504742425191
0.3,0.05,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1698,661,0.38928150765606595,0.508248402002189,0.11896689434612306,0.15903521639198726,20,0.23588524143571718,0.6786580591287116
0.3,0.1,full_oisst_domain,current_only,2385,967,0.40545073375262053,0.5724507570542076,0.16700002330158703,0.1703307700160583,20,0.22274934676331054,0.6434485676457903
0.3,0.1,full_oisst_domain,current_plus_trajectory,2385,967,0.40545073375262053,0.5789845767197657,0.17353384296714514,0.19396442131485736,20,0.22009981345267615,0.6375773481355265
0.3,0.1,full_oisst_domain,trajectory_plus_oisst,2385,967,0.40545073375262053,0.5512166468164061,0.1457659130637856,0.17257002011043143,20,0.22807729557624842,0.6580827161673531
0.3,0.1,upwelling_supported_domain,current_only,1530,633,0.4137254901960784,0.5615959708762343,0.14787048068015585,0.1524501650985701,20,0.22720809409750034,0.6505302597849772
0.3,0.1,upwelling_supported_domain,current_plus_trajectory,1530,633,0.4137254901960784,0.5579093608972903,0.14418387070121186,0.1711998142027883,20,0.22782430520217647,0.6524188431901988
0.3,0.1,upwelling_supported_domain,trajectory_plus_oisst,1530,633,0.4137254901960784,0.5268256454872449,0.11310015529116646,0.1580923088641743,20,0.23912904625273995,0.6799260493404715
0.3,0.1,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1530,633,0.4137254901960784,0.5098921305994623,0.09616664040338385,0.14776185902096373,20,0.2476610338987367,0.7039195028190256
0.4,0.02,full_oisst_domain,current_only,2808,938,0.33404558404558404,0.4997458792130425,0.16570029516745843,0.15360331835801116,20,0.20683916554965337,0.6065228469989322
0.4,0.02,full_oisst_domain,current_plus_trajectory,2808,938,0.33404558404558404,0.5078335705340321,0.17378798648844807,0.17202915506644947,20,0.20438245102847177,0.6007367816858408
0.4,0.02,full_oisst_domain,trajectory_plus_oisst,2808,938,0.33404558404558404,0.4818058747157571,0.14776029067017304,0.15555218153276146,20,0.2107649660906455,0.6169504798987735
0.4,0.02,upwelling_supported_domain,current_only,1838,620,0.3373231773667029,0.5023529577614084,0.1650297803947055,0.14781732214679583,20,0.20710449975414583,0.6060331608320199
0.4,0.02,upwelling_supported_domain,current_plus_trajectory,1838,620,0.3373231773667029,0.5006942922494769,0.163371114882774,0.1600943534176964,20,0.2068731600513286,0.6046889413909381
0.4,0.02,upwelling_supported_domain,trajectory_plus_oisst,1838,620,0.3373231773667029,0.47207679877266195,0.13475362140595903,0.15443933319302908,20,0.2149381950506038,0.6254054989783027
0.4,0.02,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1838,620,0.3373231773667029,0.47384730256055,0.1365241251938471,0.13950955134327755,20,0.2162116203138006,0.6328033330208945
0.4,0.05,full_oisst_domain,current_only,2614,888,0.33970925784238715,0.5078502571434063,0.1681409993010191,0.157236539548965,20,0.20824760892545183,0.6088276535944722
0.4,0.05,full_oisst_domain,current_plus_trajectory,2614,888,0.33970925784238715,0.5152404029639749,0.17553114512158774,0.17671332036641396,20,0.20573040176786525,0.603569376954293
0.4,0.05,full_oisst_domain,trajectory_plus_oisst,2614,888,0.33970925784238715,0.48566501824127467,0.14595576039888752,0.1580362236762471,20,0.21324000680532199,0.62281978495223
0.4,0.05,upwelling_supported_domain,current_only,1698,588,0.3462897526501767,0.5095766098792662,0.16328685722908953,0.15032815795264648,20,0.21009698030221455,0.6118992452768405
0.4,0.05,upwelling_supported_domain,current_plus_trajectory,1698,588,0.3462897526501767,0.5023644358293042,0.15607468317912754,0.1637009638049324,20,0.2110131856841114,0.6142420544501943
0.4,0.05,upwelling_supported_domain,trajectory_plus_oisst,1698,588,0.3462897526501767,0.4709511214705628,0.12466136882038609,0.15404162343608882,20,0.2209535518718196,0.6395211241322457
0.4,0.05,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1698,588,0.3462897526501767,0.4666184125202634,0.12032865987008673,0.13859219890699565,20,0.22389363824936978,0.6502839014845139
0.4,0.1,full_oisst_domain,current_only,2385,852,0.3572327044025157,0.5148655675590689,0.15763286315655317,0.15256368882598714,20,0.21484673156966927,0.6238559174391607
0.4,0.1,full_oisst_domain,current_plus_trajectory,2385,852,0.3572327044025157,0.524238352223598,0.16700564782108235,0.1740246757740298,20,0.21197859366625485,0.6177806078472116
0.4,0.1,full_oisst_domain,trajectory_plus_oisst,2385,852,0.3572327044025157,0.4928054918508751,0.13557278744835938,0.15177885294911048,20,0.22017490726398298,0.6386499553252557
0.4,0.1,upwelling_supported_domain,current_only,1530,564,0.3686274509803922,0.5162146518182315,0.14758720083783927,0.14510688172940683,20,0.2186692289585708,0.6309350168576962
0.4,0.1,upwelling_supported_domain,current_plus_trajectory,1530,564,0.3686274509803922,0.5142490498966369,0.1456215989162447,0.16242376688826243,20,0.21911413624653164,0.6324212061057614
0.4,0.1,upwelling_supported_domain,trajectory_plus_oisst,1530,564,0.3686274509803922,0.47524727612943113,0.10661982514903895,0.15394790862260896,20,0.23154558566171207,0.6632805770162544
0.4,0.1,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,1530,564,0.3686274509803922,0.4680312369811578,0.0994037860007656,0.13181166283189807,20,0.235680594377239,0.6757844027337471
