scope,model_family,outcome,outcome_label,axis,axis_label,n,cells,years,events,axis_mean,axis_sd,estimate_per_sd,standard_error,ci_low,ci_high,t_statistic,degrees_freedom,p_value,cell_clusters,year_clusters,q_value,ci_excludes_zero,supported_bh
primary_7p2km,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),grazing_log1p,Urchin grazing pressure,424,52,17,151,3.042650800523827,2.4806707192087316,1.1279941655371606,1.667231415764249,-2.4063785477696253,4.6623668788439465,0.6765672448776973,16,0.5083441337491188,52,17,0.7836970355556342,False,False
primary_7p2km,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),rock_probability,Rock probability,424,52,17,151,0.6284210003183963,0.1780065536780605,-0.4939964009105936,1.7695715096119657,-4.245320421487955,3.2573276196667678,-0.2791615926382754,16,0.7836970355556342,52,17,0.7836970355556342,False,False
primary_7p2km,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),depth_m,Depth,424,52,17,151,11.105097517007076,2.4904692216995223,-0.4466685232154095,1.566781853841104,-3.768097677896867,2.874760631466048,-0.2850866073795546,16,0.7792350401921764,52,17,0.7836970355556342,False,False
primary_7p2km,logistic,trajectory_rank_quality_pp,Trajectory rank quality (pp),kelp_species_contrast,Bull-vs-giant kelp contrast,424,52,17,151,-1.0425781106455323,1.8791390467851712,-0.9117814979368363,2.2759736986632833,-5.736630202621329,3.913067206747657,-0.4006116144805806,16,0.694004667144975,52,17,0.7836970355556342,False,False
primary_7p2km,logistic,trajectory_false_negative,False-negative probability,grazing_log1p,Urchin grazing pressure,151,45,16,151,3.293382789076161,2.4760239915943014,0.01084991423649835,0.04140353300609524,-0.07739962737391254,0.09909945584690924,0.262052859955238,15,0.7968452153036498,45,16,0.7968452153036498,False,False
primary_7p2km,logistic,trajectory_false_negative,False-negative probability,rock_probability,Rock probability,151,45,16,151,0.6267995585132451,0.18886525267198007,0.04557593983732666,0.027488578299106177,-0.013014577886387518,0.10416645756104084,1.657995526047581,15,0.11807834597325183,45,16,0.2639948583064529,False,False
primary_7p2km,logistic,trajectory_false_negative,False-negative probability,depth_m,Depth,151,45,16,151,11.195203799569537,2.6962438038273095,0.054193468687084655,0.03450543643792838,-0.01935312812787953,0.12774006550204883,1.5705776909842295,15,0.13713191189046656,45,16,0.2639948583064529,False,False
primary_7p2km,logistic,trajectory_false_negative,False-negative probability,kelp_species_contrast,Bull-vs-giant kelp contrast,151,45,16,151,-1.081815805855574,1.9623255620620788,0.08387114371370084,0.062267655098045244,-0.04884922144810057,0.21659150887550227,1.346945594492666,15,0.19799614372983967,45,16,0.2639948583064529,False,False
primary_7p2km,logistic,trajectory_false_positive,False-positive probability,grazing_log1p,Urchin grazing pressure,273,50,17,0,2.903967539456418,2.4723392523376155,-0.0032103982997208486,0.020150716968532625,-0.045928009984420815,0.03950721338497912,-0.15931930882331427,16,0.8754110957989143,50,17,0.8754110957989143,False,False
primary_7p2km,logistic,trajectory_false_positive,False-positive probability,rock_probability,Rock probability,273,50,17,0,0.6293178417564103,0.17169917952563485,0.016597506051524043,0.022005362417640156,-0.03005177834891556,0.06324679045196364,0.7542482480642531,16,0.4616574897904383,50,17,0.7688440761550622,False,False
primary_7p2km,logistic,trajectory_false_positive,False-positive probability,depth_m,Depth,273,50,17,0,11.055258510901098,2.3675150678511048,-0.013161328514255555,0.023092401937847368,-0.06211503375404536,0.03579237672553425,-0.5699419466922041,16,0.5766330571162966,50,17,0.7688440761550622,False,False
primary_7p2km,logistic,trajectory_false_positive,False-positive probability,kelp_species_contrast,Bull-vs-giant kelp contrast,273,50,17,0,-1.0208752096319194,1.8311441992772501,0.025195612361559018,0.0158570920977417,-0.008419921206683091,0.05881114592980113,1.588917577463479,16,0.1316415665831602,50,17,0.5265662663326408,False,False
primary_7p2km,logistic,oisst_signed_rank_gain_pp,OISST signed rank gain (pp),grazing_log1p,Urchin grazing pressure,424,52,17,151,3.042650800523827,2.4806707192087316,0.25950002627498153,0.8328453234548363,-1.5060531883485657,2.025053240898529,0.3115824979343283,16,0.7593810763869794,52,17,0.7593810763869794,False,False
primary_7p2km,logistic,oisst_signed_rank_gain_pp,OISST signed rank gain (pp),rock_probability,Rock probability,424,52,17,151,0.6284210003183963,0.1780065536780605,0.4515924010411372,0.4837585459989217,-0.5739299041655459,1.4771147062478203,0.9335078517499591,16,0.3644325943811881,52,17,0.7288651887623762,False,False
primary_7p2km,logistic,oisst_signed_rank_gain_pp,OISST signed rank gain (pp),depth_m,Depth,424,52,17,151,11.105097517007076,2.4904692216995223,-0.8360235570025621,0.8909197642594803,-2.724689086437185,1.052641972432061,-0.938382546376051,16,0.3619985055864476,52,17,0.7288651887623762,False,False
primary_7p2km,logistic,oisst_signed_rank_gain_pp,OISST signed rank gain (pp),kelp_species_contrast,Bull-vs-giant kelp contrast,424,52,17,151,-1.0425781106455323,1.8791390467851712,0.4123516098458868,1.0667370856136908,-1.8490299908224137,2.6737332105141873,0.38655411479264556,16,0.7041787537147618,52,17,0.7593810763869794,False,False
primary_7p2km,logistic,oisst_brier_gain,OISST Brier-score improvement,grazing_log1p,Urchin grazing pressure,424,52,17,151,3.042650800523827,2.4806707192087316,0.004962131383907871,0.005555943187316544,-0.006815942021056698,0.01674020478887244,0.8931213327083214,16,0.38502890414276575,52,17,0.7700578082855315,False,False
