scope,model_family,feature_set,year,n,events,prevalence,ap_lift
full_165_domain,random_forest,current_plus_trajectory,2010,158,77,0.4873417721518987,0.17518581929691007
full_165_domain,random_forest,current_plus_trajectory,2011,141,51,0.3617021276595745,0.17770056763138503
full_165_domain,random_forest,current_plus_trajectory,2012,144,26,0.18055555555555555,0.30164991507854644
full_165_domain,random_forest,current_plus_trajectory,2013,159,97,0.610062893081761,0.1245413029135708
full_165_domain,random_forest,current_plus_trajectory,2014,144,53,0.3680555555555556,0.18901232823666436
full_165_domain,random_forest,current_plus_trajectory,2015,120,59,0.49166666666666664,0.21938755606399934
full_165_domain,random_forest,current_plus_trajectory,2016,111,37,0.3333333333333333,0.3071165299923712
full_165_domain,random_forest,current_plus_trajectory,2017,122,17,0.13934426229508196,0.0809008429857227
full_165_domain,random_forest,current_plus_trajectory,2018,134,104,0.7761194029850746,0.10140560193495363
full_165_domain,random_forest,current_plus_trajectory,2019,93,29,0.3118279569892473,0.2869041745028457
full_165_domain,random_forest,current_plus_trajectory,2020,117,41,0.3504273504273504,0.10531916795709795
full_165_domain,random_forest,current_plus_trajectory,2021,117,38,0.3247863247863248,0.14844999758192973
full_165_domain,random_forest,trajectory_plus_oisst,2005,144,89,0.6180555555555556,0.16734364777475585
full_165_domain,random_forest,trajectory_plus_oisst,2006,133,19,0.14285714285714285,0.2682618247102076
full_165_domain,random_forest,trajectory_plus_oisst,2007,158,47,0.2974683544303797,0.244642513215433
full_165_domain,random_forest,trajectory_plus_oisst,2008,160,40,0.25,0.29485562255824105
full_165_domain,random_forest,trajectory_plus_oisst,2009,160,79,0.49375,0.13031939225248979
full_165_domain,random_forest,trajectory_plus_oisst,2010,158,77,0.4873417721518987,0.13762605728963312
full_165_domain,random_forest,trajectory_plus_oisst,2011,141,51,0.3617021276595745,0.24041221054749212
full_165_domain,random_forest,trajectory_plus_oisst,2012,144,26,0.18055555555555555,0.40545213431062044
full_165_domain,random_forest,trajectory_plus_oisst,2013,159,97,0.610062893081761,0.15150807207585482
full_165_domain,random_forest,trajectory_plus_oisst,2014,144,53,0.3680555555555556,0.07338361381879055
