cell_id,year,region_group,n_sites,n_transects,median_match_distance_km,max_match_distance_km,grazing_log1p,grazing_log1p_iqr,rock_probability,rock_probability_iqr,depth_m,depth_m_iqr,kelp_species_contrast,kelp_species_contrast_iqr
westcoast_0074,2015,Northern California,1,6,2.5921681066752273,2.5921681066752273,4.678016568582657,0.0,0.760498599,0.0,7.445716915,0.0,0.0,0.0
westcoast_0074,2018,Northern California,1,6,2.3205279781704453,2.3205279781704453,0.0,0.0,0.318007393,0.0,4.265601448,0.0,0.0,0.0
westcoast_0074,2019,Northern California,2,12,2.456348042422836,2.5921681066752273,7.285748741619873,0.16838051755819894,0.5392529960000001,0.22124560299999996,5.8556591815,1.5900577335000001,0.0,0.0
westcoast_0074,2020,Northern California,2,12,2.456348042422836,2.5921681066752273,7.657414536912704,0.07853727239833308,0.5392529960000001,0.22124560299999996,5.8556591815,1.5900577335000001,0.0,0.0
westcoast_0075,2008,Northern California,1,6,2.158511873221965,2.158511873221965,1.1512925464970227,0.0,0.999746315,0.0,0.569570163,0.0,4.246859917615298,0.0
westcoast_0075,2010,Northern California,1,6,2.158511873221965,2.158511873221965,0.0,0.0,0.999746315,0.0,0.569570163,0.0,4.433784166603221,0.0
westcoast_0075,2014,Northern California,4,24,2.439070180806361,4.853095738804409,4.882047150475512,1.269135982061525,0.965864431,0.09563772224999989,2.9432686279999998,5.109540776,0.0,0.5743899812668238
westcoast_0075,2015,Northern California,4,24,2.439070180806361,4.853095738804409,5.662839087346223,2.85641925202524,0.965864431,0.09563772224999989,2.9432686279999998,5.109540776,0.0,0.08664339756999316
westcoast_0075,2016,Northern California,4,24,2.439070180806361,4.853095738804409,6.227473197916433,1.0810811473539221,0.965864431,0.09563772224999989,2.9432686279999998,5.109540776,0.0,0.0
westcoast_0075,2017,Northern California,4,24,2.439070180806361,4.853095738804409,6.668771203254444,0.5279146179059886,0.965864431,0.09563772224999989,2.9432686279999998,5.109540776,0.0,0.0
westcoast_0075,2018,Northern California,4,24,2.439070180806361,4.853095738804409,6.246136137011146,1.0372601630765468,0.965864431,0.09563772224999989,2.9432686279999998,5.109540776,0.0,0.0
westcoast_0075,2019,Northern California,4,24,2.439070180806361,4.853095738804409,6.497825887472695,0.5285373187340161,0.965864431,0.09563772224999989,2.9432686279999998,5.109540776,0.0,0.0
westcoast_0075,2020,Northern California,4,24,2.4560572608193607,4.853095738804409,6.9631166218265665,1.0526823371769174,0.965864431,0.09563772224999989,2.9432686279999998,5.109540776,0.0,0.0
westcoast_0076,2007,Northern California,3,18,3.672680695900523,4.005260856518832,2.0794415416798357,1.4572364044025516,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.666102255087602,0.37291371919442917
westcoast_0076,2008,Northern California,3,18,3.672680695900523,4.005260856518832,2.0948273710132126,0.533377190737528,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.04305126783455,0.2552771818783124
westcoast_0076,2009,Northern California,3,18,3.672680695900523,4.005260856518832,0.34657359027997264,1.586409090207149,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.472926928563796,1.1732952658277016
westcoast_0076,2010,Northern California,3,18,3.672680695900523,4.005260856518832,0.0,1.6479184330021646,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,0.0
westcoast_0076,2011,Northern California,3,18,3.672680695900523,4.005260856518832,1.5890269151739729,1.3958740771954248,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.6094379124341003,1.3050889562695809
westcoast_0076,2012,Northern California,3,18,3.672680695900523,4.005260856518832,0.8958797346140275,1.5941817369746567,0.505622992,0.2196740775,9.289683092,2.465457291499998,2.9944807084449314,1.1228603551649372
westcoast_0076,2013,Northern California,1,6,0.39458467591209645,0.39458467591209645,1.2424533248940002,0.0,0.417657219,0.0,9.289683092,0.0,3.7668468549243164,0.0
westcoast_0076,2014,Northern California,3,18,3.672680695900523,4.005260856518832,4.0844557484177635,0.9877047849337628,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,1.3438196019210413
westcoast_0076,2015,Northern California,2,12,2.199922766215464,4.005260856518832,6.62507040829442,0.7274327003656715,0.6373312965,0.2196740775,11.083655161,1.7939720690000005,0.0,0.0
westcoast_0076,2016,Northern California,2,12,2.199922766215464,4.005260856518832,6.982540190119371,0.2741431270066057,0.6373312965,0.2196740775,11.083655161,1.7939720690000005,0.0,0.0
westcoast_0076,2017,Northern California,3,18,3.672680695900523,4.005260856518832,7.276912977264114,0.8773923253374418,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,0.0
westcoast_0076,2018,Northern California,3,18,3.672680695900523,4.005260856518832,5.900438077575768,0.9280632457909999,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,2.405943412433381
westcoast_0076,2019,Northern California,3,18,3.672680695900523,4.005260856518832,5.776916427922056,1.163976826031008,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,0.0
westcoast_0076,2020,Northern California,2,12,2.03363268590631,3.672680695900523,5.133369890990192,0.4015132479146679,0.4616401055,0.043982886499999985,8.618197869500001,0.6714852225000012,1.532806622370785,1.532806622370785
westcoast_0081,2007,Northern California,1,6,4.670649851640815,4.670649851640815,2.7686671335092683,0.0,0.915942858,0.0,4.78455179,0.0,4.060740187375376,0.0
westcoast_0081,2010,Northern California,1,6,4.670649851640815,4.670649851640815,0.0,0.0,0.915942858,0.0,4.78455179,0.0,1.6479184330021646,0.0
westcoast_0081,2011,Northern California,1,6,4.693250855556558,4.693250855556558,4.914727151324221,0.0,0.883461279,0.0,12.45515415,0.0,0.0,0.0
westcoast_0081,2012,Northern California,1,6,4.693250855556558,4.693250855556558,5.280545874399877,0.0,0.883461279,0.0,12.45515415,0.0,3.9195658241371665,0.0
westcoast_0081,2013,Northern California,2,12,4.681950353598687,4.693250855556558,3.958651992434035,1.5172510311408498,0.8997020685,0.016240789500000075,8.61985297,3.835301180000001,1.6727105693546407,1.672710569354641
westcoast_0081,2016,Northern California,1,6,4.693250855556558,4.693250855556558,6.210290654537839,0.0,0.883461279,0.0,12.45515415,0.0,0.0,0.0
westcoast_0081,2018,Northern California,3,18,4.693250855556558,5.661443412300512,6.728375292359509,0.6678861054582201,0.883461279,0.019408725999999987,12.45515415,1.010146044999999,1.3862943611198906,0.7783788273025936
westcoast_0081,2019,Northern California,1,6,4.56128062234748,4.56128062234748,6.618484443487596,0.0,0.902680459,0.0,13.09780499,0.0,0.0,0.0
westcoast_0081,2020,Northern California,3,18,4.693250855556558,5.661443412300512,6.3724594980670926,0.26974610699253887,0.883461279,0.019408725999999987,12.45515415,1.010146044999999,0.0,1.5898934671680944
westcoast_0082,2011,Northern California,1,6,4.802617406605625,4.802617406605625,5.834982029353068,0.0,0.923128042,0.0,11.886624,0.0,0.0,0.0
westcoast_0082,2012,Northern California,1,6,4.802617406605625,4.802617406605625,3.8920285013116382,0.0,0.923128042,0.0,11.886624,0.0,4.285840688350153,0.0
westcoast_0082,2013,Northern California,1,6,4.802617406605625,4.802617406605625,4.926780871883201,0.0,0.923128042,0.0,11.886624,0.0,1.0986122886681098,0.0
westcoast_0082,2016,Northern California,1,6,4.802617406605625,4.802617406605625,5.79016119847814,0.0,0.923128042,0.0,11.886624,0.0,0.0,0.0
westcoast_0082,2018,Northern California,1,6,4.802617406605625,4.802617406605625,5.703148739872718,0.0,0.923128042,0.0,11.886624,0.0,0.0,0.0
westcoast_0082,2019,Northern California,1,6,4.802617406605625,4.802617406605625,7.161998323576103,0.0,0.923128042,0.0,11.886624,0.0,0.34657359027997264,0.0
westcoast_0082,2020,Northern California,1,6,4.802617406605625,4.802617406605625,6.883792634858076,0.0,0.923128042,0.0,11.886624,0.0,0.0,0.0
westcoast_0086,2015,Northern California,1,6,4.799258814312195,4.799258814312195,6.722340091344394,0.0,0.704433709,0.0,10.19736201,0.0,0.0,0.0
westcoast_0086,2016,Northern California,1,6,4.799258814312195,4.799258814312195,7.35713594458423,0.0,0.704433709,0.0,10.19736201,0.0,0.0,0.0
westcoast_0086,2017,Northern California,1,6,4.799258814312195,4.799258814312195,7.273951966061051,0.0,0.704433709,0.0,10.19736201,0.0,0.0,0.0
westcoast_0086,2018,Northern California,1,6,4.799258814312195,4.799258814312195,6.770386833626756,0.0,0.704433709,0.0,10.19736201,0.0,0.0,0.0
westcoast_0086,2019,Northern California,1,6,4.799258814312195,4.799258814312195,6.9906513207420655,0.0,0.704433709,0.0,10.19736201,0.0,0.0,0.0
westcoast_0086,2020,Northern California,1,6,4.799258814312195,4.799258814312195,6.773950832220787,0.0,0.704433709,0.0,10.19736201,0.0,0.0,0.0
westcoast_0089,2006,Northern California,1,6,4.200337334328471,4.200337334328471,1.354025100551105,0.0,0.941602978,0.0,0.655205152,0.0,0.0,0.0
westcoast_0089,2007,Northern California,3,18,3.2223757367563,4.200337334328471,0.5493061443340549,0.7361097447916101,0.940470811,0.061601397,2.336802356,3.142728442,2.4414009612931853,1.8302971391848697
westcoast_0089,2008,Northern California,3,18,3.2223757367563,4.200337334328471,0.0,1.9354919749551711,0.940470811,0.061601397,2.336802356,3.142728442,3.0342127941220554,1.5187726426549504
westcoast_0089,2009,Northern California,3,18,3.2223757367563,4.200337334328471,1.2424533248940002,0.7489330683884977,0.940470811,0.061601397,2.336802356,3.142728442,3.4598419249237056,0.7316051184159407
westcoast_0089,2010,Northern California,2,12,3.7113565355423854,4.200337334328471,1.2526588235240639,1.2526588235240639,0.880001581,0.061601397,3.797933594,3.1427284419999992,3.462286618590507,0.9184884509743148
westcoast_0089,2011,Northern California,3,18,3.2223757367563,4.200337334328471,0.0,0.17328679513998632,0.940470811,0.061601397,2.336802356,3.142728442,1.0986122886681098,1.9702010861687251
westcoast_0089,2012,Northern California,3,18,3.2223757367563,4.200337334328471,0.0,0.27465307216702745,0.940470811,0.061601397,2.336802356,3.142728442,4.436734027666815,1.7348134865103773
westcoast_0089,2013,Northern California,3,18,3.2223757367563,4.200337334328471,0.0,1.2526588235240639,0.940470811,0.061601397,2.336802356,3.142728442,1.4978661367769954,1.6168761519714372
westcoast_0089,2014,Northern California,3,18,3.2223757367563,4.200337334328471,2.2975599250672953,1.365369762298259,0.940470811,0.061601397,2.336802356,3.142728442,0.0,0.0
westcoast_0089,2015,Northern California,3,18,3.2223757367563,4.200337334328471,5.316021489481589,1.6428805360521448,0.940470811,0.061601397,2.336802356,3.142728442,0.0,0.0
westcoast_0089,2016,Northern California,3,18,3.2223757367563,4.200337334328471,5.945337714546817,0.9044117153694762,0.940470811,0.061601397,2.336802356,3.142728442,0.0,0.17328679513998632
westcoast_0089,2017,Northern California,4,24,3.675179411552206,4.200337334328471,6.360990671661927,0.6269637752069039,0.8794354975,0.13529820925000002,4.638732196,5.2950831655,0.0,0.0
westcoast_0089,2018,Northern California,5,30,4.127983086348112,4.262565048437719,6.755198721891407,0.9001138683166197,0.818400184,0.16016106899999993,6.940662036,5.687156418000001,0.0,0.0
westcoast_0089,2019,Northern California,4,24,3.675179411552206,4.200337334328471,6.648465925000792,0.3209859021005581,0.8794354975,0.13529820925000002,4.638732196,5.2950831655,0.0,0.0
westcoast_0089,2020,Northern California,4,24,3.675179411552206,4.200337334328471,6.806716018557303,0.36539426767186445,0.8794354975,0.13529820925000002,4.638732196,5.2950831655,0.0,0.0
westcoast_0090,2007,Northern California,1,6,5.6174038449218395,5.6174038449218395,3.2307340881768587,0.0,0.632373437,0.0,9.040727499,0.0,4.479398673070138,0.0
westcoast_0090,2008,Northern California,1,6,5.6174038449218395,5.6174038449218395,2.4814223151299535,0.0,0.632373437,0.0,9.040727499,0.0,4.778381469725282,0.0
westcoast_0090,2009,Northern California,1,6,5.6174038449218395,5.6174038449218395,1.791759469228055,0.0,0.632373437,0.0,9.040727499,0.0,4.725701211896369,0.0
westcoast_0090,2010,Northern California,1,6,5.6174038449218395,5.6174038449218395,2.596478425445105,0.0,0.632373437,0.0,9.040727499,0.0,4.944694314078314,0.0
westcoast_0090,2011,Northern California,1,6,5.6174038449218395,5.6174038449218395,1.666102255087602,0.0,0.632373437,0.0,9.040727499,0.0,4.409684855009235,0.0
westcoast_0090,2012,Northern California,1,6,5.6174038449218395,5.6174038449218395,0.0,0.0,0.632373437,0.0,9.040727499,0.0,3.4339872044851463,0.0
westcoast_0090,2013,Northern California,1,6,5.6174038449218395,5.6174038449218395,0.6931471805599453,0.0,0.632373437,0.0,9.040727499,0.0,0.34657359027997264,0.0
westcoast_0090,2014,Northern California,1,6,5.6174038449218395,5.6174038449218395,2.71467281447722,0.0,0.632373437,0.0,9.040727499,0.0,0.6931471805599453,0.0
westcoast_0090,2015,Northern California,1,6,5.6174038449218395,5.6174038449218395,4.585210373996823,0.0,0.632373437,0.0,9.040727499,0.0,0.0,0.0
westcoast_0090,2016,Northern California,1,6,5.6174038449218395,5.6174038449218395,6.706469771818119,0.0,0.632373437,0.0,9.040727499,0.0,0.0,0.0
westcoast_0090,2017,Northern California,1,6,5.6174038449218395,5.6174038449218395,5.418376694308122,0.0,0.632373437,0.0,9.040727499,0.0,0.0,0.0
westcoast_0090,2018,Northern California,1,6,5.6174038449218395,5.6174038449218395,6.284527329015517,0.0,0.632373437,0.0,9.040727499,0.0,0.0,0.0
westcoast_0090,2019,Northern California,1,6,5.6174038449218395,5.6174038449218395,5.808505070537676,0.0,0.632373437,0.0,9.040727499,0.0,0.0,0.0
westcoast_0090,2020,Northern California,1,6,5.6174038449218395,5.6174038449218395,7.059026828161201,0.0,0.632373437,0.0,9.040727499,0.0,0.0,0.0
westcoast_0105,1999,Central California,1,6,1.9594048108456648,1.9594048108456648,3.2228599096927892,0.0,0.750327097,0.0,7.14818534,0.0,-2.585241997519076,0.0
westcoast_0105,2000,Central California,1,6,1.9594048108456648,1.9594048108456648,2.3592494356475475,0.0,0.750327097,0.0,7.14818534,0.0,-2.585241997519076,0.0
westcoast_0105,2001,Central California,1,6,1.9594048108456648,1.9594048108456648,3.7769054260041157,0.0,0.750327097,0.0,7.14818534,0.0,-2.7058230259275198,0.0
westcoast_0105,2002,Central California,1,6,1.9594048108456648,1.9594048108456648,5.100015126710053,0.0,0.750327097,0.0,7.14818534,0.0,-1.700598690831078,0.0
westcoast_0105,2003,Central California,1,6,1.9594048108456648,1.9594048108456648,4.045354358041998,0.0,0.750327097,0.0,7.14818534,0.0,3.783802087070284,0.0
westcoast_0105,2004,Central California,1,6,1.9594048108456648,1.9594048108456648,7.594329697015215,0.0,0.750327097,0.0,7.14818534,0.0,2.8156058909106827,0.0
westcoast_0105,2005,Central California,1,4,1.9594048108456648,1.9594048108456648,3.4339872044851463,0.0,0.750327097,0.0,7.14818534,0.0,1.8377985948204953,0.0
westcoast_0105,2006,Central California,1,6,1.9594048108456648,1.9594048108456648,4.29874101132252,0.0,0.750327097,0.0,7.14818534,0.0,0.34657359027997264,0.0
westcoast_0105,2007,Central California,1,6,1.9586359392596169,1.9586359392596169,0.6931471805599453,0.0,0.750327097,0.0,7.14818534,0.0,0.0,0.0
westcoast_0105,2008,Central California,1,5,1.9586359392596169,1.9586359392596169,2.3978952727983707,0.0,0.750327097,0.0,7.14818534,0.0,0.0,0.0
westcoast_0105,2009,Central California,1,6,1.9586359392596169,1.9586359392596169,0.0,0.0,0.750327097,0.0,7.14818534,0.0,0.0,0.0
westcoast_0105,2010,Central California,1,5,1.9586359392596169,1.9586359392596169,1.3862943611198906,0.0,0.750327097,0.0,7.14818534,0.0,0.0,0.0
westcoast_0105,2011,Central California,1,6,1.9586359392596169,1.9586359392596169,4.889641974538411,0.0,0.750327097,0.0,7.14818534,0.0,0.0,0.0
