scope,model_family,feature_set,estimable_years,macro_within_year_ap_lift,ci_low,ci_high
full_165_domain,logistic,current_only,17,0.19091874973716458,0.15328872889503825,0.22767352523709747
full_165_domain,logistic,current_plus_trajectory,17,0.20755114628970905,0.16304970778547226,0.2546677876517022
full_165_domain,logistic,trajectory_plus_oisst,17,0.18827317371898125,0.15055844674491076,0.2243899666544848
full_165_domain,random_forest,current_only,17,0.17453880641752234,0.14441396670090018,0.2065307613443732
full_165_domain,random_forest,current_plus_trajectory,17,0.19821192087743134,0.16060928577912298,0.23984908210789424
full_165_domain,random_forest,trajectory_plus_oisst,17,0.20668572240759756,0.16583734679366424,0.24848565641656384
full_165_domain,xgboost,current_only,17,0.17315840446677824,0.13769934042373183,0.20702116061061795
full_165_domain,xgboost,current_plus_trajectory,17,0.17951267485941044,0.14759547550123264,0.211657709621213
full_165_domain,xgboost,trajectory_plus_oisst,17,0.1868331691790424,0.15050877774837543,0.22470131573454935
giraldo_matched,logistic,current_only,16,0.2644005536490909,0.1625294739787786,0.390930888786555
giraldo_matched,logistic,current_plus_trajectory,16,0.29804350060558205,0.18098637908448784,0.4390019738172048
giraldo_matched,logistic,trajectory_plus_oisst,16,0.30956935391568696,0.1882072382213656,0.4510797358197984
giraldo_matched,random_forest,current_only,16,0.21813180422119066,0.1309581764453689,0.31515068595574375
giraldo_matched,random_forest,current_plus_trajectory,16,0.28724676558452267,0.1512705222734759,0.44401822745584696
giraldo_matched,random_forest,trajectory_plus_oisst,16,0.27686926584176114,0.15559592142630949,0.42011714505637354
giraldo_matched,xgboost,current_only,16,0.219687685922406,0.13351050504605755,0.31746281830262973
giraldo_matched,xgboost,current_plus_trajectory,16,0.2706870996435061,0.14804301590634453,0.41825884568131405
giraldo_matched,xgboost,trajectory_plus_oisst,16,0.28785510468238584,0.1549634542710597,0.44132262796491434
