cell_id,region_group,year,event,model_family,score_current,score_trajectory,score_oisst,risk_percentile_current,risk_percentile_trajectory,risk_percentile_oisst,selected_at_budget_current,selected_at_budget_trajectory,selected_at_budget_oisst,false_negative_current,false_positive_current,false_negative_trajectory,false_positive_trajectory,false_negative_oisst,false_positive_oisst,trajectory_rank_quality_pp,oisst_signed_rank_gain_pp,oisst_brier_gain,trajectory_false_negative,trajectory_false_positive,n_sites,n_transects,median_match_distance_km,max_match_distance_km,grazing_log1p,grazing_log1p_iqr,rock_probability,rock_probability_iqr,depth_m,depth_m_iqr,kelp_species_contrast,kelp_species_contrast_iqr
westcoast_0075,Northern California,2008,1,logistic,0.6135945443990222,0.7005537512008523,0.5731499726864792,0.86875,0.8875,0.75625,True,True,False,0,0,0,0,1,0,38.74999999999999,-13.124999999999998,-0.09253288989767243,0,0,1,6,2.158511873221965,2.158511873221965,1.1512925464970227,0.0,0.999746315,0.0,0.569570163,0.0,4.246859917615298,0.0
westcoast_0075,Northern California,2008,1,random_forest,0.7085730391203977,0.7640903755906251,0.7030413230442228,0.875,0.9875,1.0,True,True,True,0,0,0,0,0,0,48.75000000000001,1.2499999999999956,-0.03253110493035328,0,0,1,6,2.158511873221965,2.158511873221965,1.1512925464970227,0.0,0.999746315,0.0,0.569570163,0.0,4.246859917615298,0.0
westcoast_0075,Northern California,2008,1,xgboost,0.612854540348053,0.6956820487976074,0.8226701617240906,0.828125,0.875,1.0,True,True,True,0,0,0,0,0,0,37.5,12.5,0.0611635438810616,0,0,1,6,2.158511873221965,2.158511873221965,1.1512925464970227,0.0,0.999746315,0.0,0.569570163,0.0,4.246859917615298,0.0
westcoast_0075,Northern California,2010,0,logistic,0.28322737671304,0.244453861860081,0.2711589122480438,0.13924050632911392,0.13924050632911392,0.20253164556962025,False,False,False,0,0,0,0,0,0,36.07594936708861,-6.329113924050633,-0.013769465113234743,0,0,1,6,2.158511873221965,2.158511873221965,0.0,0.0,0.999746315,0.0,0.569570163,0.0,4.433784166603221,0.0
westcoast_0075,Northern California,2010,0,random_forest,0.2507859141628347,0.2356732967816524,0.3054911446677418,0.12658227848101267,0.17721518987341772,0.2911392405063291,False,False,False,0,0,0,0,0,0,32.278481012658226,-11.39240506329114,-0.03778293665447433,0,0,1,6,2.158511873221965,2.158511873221965,0.0,0.0,0.999746315,0.0,0.569570163,0.0,4.433784166603221,0.0
westcoast_0075,Northern California,2010,0,xgboost,0.2062209844589233,0.2067141085863113,0.3940857350826263,0.060126582278481014,0.24050632911392406,0.43037974683544306,False,False,False,0,0,0,0,0,0,25.949367088607595,-18.9873417721519,-0.1125728439069806,0,0,1,6,2.158511873221965,2.158511873221965,0.0,0.0,0.999746315,0.0,0.569570163,0.0,4.433784166603221,0.0
westcoast_0076,Northern California,2007,0,logistic,0.300520413637006,0.3543736045372836,0.2561034028979534,0.15822784810126583,0.2721518987341772,0.14556962025316456,False,False,False,0,0,0,0,0,0,22.78481012658228,12.658227848101266,0.059991698616835634,0,0,3,18,3.672680695900523,4.005260856518832,2.0794415416798357,1.4572364044025516,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.666102255087602,0.37291371919442917
westcoast_0076,Northern California,2007,0,random_forest,0.2863581711912576,0.3508574073760413,0.3079144697917523,0.08544303797468354,0.3291139240506329,0.25316455696202533,False,False,False,0,0,0,0,0,0,17.08860759493671,7.594936708860756,0.02828959960350147,0,0,3,18,3.672680695900523,4.005260856518832,2.0794415416798357,1.4572364044025516,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.666102255087602,0.37291371919442917
westcoast_0076,Northern California,2007,0,xgboost,0.2971672117710113,0.2893125712871551,0.2954681813716888,0.14240506329113925,0.2088607594936709,0.25316455696202533,False,False,False,0,0,0,0,0,0,29.11392405063291,-4.430379746835444,-0.0035996822983079824,0,0,3,18,3.672680695900523,4.005260856518832,2.0794415416798357,1.4572364044025516,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.666102255087602,0.37291371919442917
westcoast_0076,Northern California,2008,1,logistic,0.6005231261920387,0.6973516463920756,0.564662718180947,0.85,0.875,0.725,True,True,False,0,0,0,0,1,0,37.5,-15.000000000000002,-0.09792252300001428,0,0,3,18,3.672680695900523,4.005260856518832,2.0948273710132126,0.533377190737528,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.04305126783455,0.2552771818783124
westcoast_0076,Northern California,2008,1,random_forest,0.5561842850893691,0.7016650081118108,0.6814447671049654,0.7625,0.91875,0.9875,False,True,True,1,0,0,0,0,0,41.87499999999999,6.875000000000009,-0.01247366901988381,0,0,3,18,3.672680695900523,4.005260856518832,2.0948273710132126,0.533377190737528,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.04305126783455,0.2552771818783124
westcoast_0076,Northern California,2008,1,xgboost,0.6632134914398193,0.6783442497253418,0.8060681819915771,0.859375,0.8375,0.9875,True,True,True,0,0,0,0,0,0,33.75,15.000000000000002,0.06585287164870124,0,0,3,18,3.672680695900523,4.005260856518832,2.0948273710132126,0.533377190737528,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.04305126783455,0.2552771818783124
westcoast_0076,Northern California,2009,1,logistic,0.3412647285768469,0.256745515175401,0.163994497457382,0.26875,0.1,0.04375,False,False,False,1,0,1,0,1,0,-40.0,-5.625000000000001,-0.1464779710696552,1,0,3,18,3.672680695900523,4.005260856518832,0.34657359027997264,1.586409090207149,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.472926928563796,1.1732952658277016
westcoast_0076,Northern California,2009,1,random_forest,0.3291969078898345,0.3066241717947619,0.2815236451571841,0.2625,0.25,0.30625,False,False,False,1,0,1,0,1,0,-25.0,5.625000000000002,-0.0354382333289201,1,0,3,18,3.672680695900523,4.005260856518832,0.34657359027997264,1.586409090207149,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.472926928563796,1.1732952658277016
westcoast_0076,Northern California,2009,1,xgboost,0.2937240302562713,0.2797038853168487,0.3293534219264984,0.2,0.26875,0.4625,False,False,False,1,0,1,0,1,0,-23.125,19.375000000000004,0.06905966014594611,1,0,3,18,3.672680695900523,4.005260856518832,0.34657359027997264,1.586409090207149,0.505622992,0.2196740775,9.289683092,2.465457291499998,4.472926928563796,1.1732952658277016
westcoast_0076,Northern California,2010,0,logistic,0.2566528542056252,0.2406803748722812,0.2585920902319246,0.04430379746835443,0.11392405063291139,0.16455696202531644,False,False,False,0,0,0,0,0,0,38.607594936708864,-5.063291139240506,-0.008942826281854027,0,0,3,18,3.672680695900523,4.005260856518832,0.0,1.6479184330021646,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,0.0
westcoast_0076,Northern California,2010,0,random_forest,0.2840110860130667,0.2154626903423644,0.2970810843984403,0.27848101265822783,0.0949367088607595,0.2468354430379747,False,False,False,0,0,0,0,0,0,40.50632911392405,-15.18987341772152,-0.04183299977778359,0,0,3,18,3.672680695900523,4.005260856518832,0.0,1.6479184330021646,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,0.0
westcoast_0076,Northern California,2010,0,xgboost,0.2559308707714081,0.1228908598423004,0.2669643461704254,0.1930379746835443,0.012658227848101266,0.13291139240506328,False,False,False,0,0,0,0,0,0,48.734177215189874,-12.025316455696201,-0.05616779869342281,0,0,3,18,3.672680695900523,4.005260856518832,0.0,1.6479184330021646,0.505622992,0.2196740775,9.289683092,2.465457291499998,0.0,0.0
westcoast_0076,Northern California,2011,0,logistic,0.3365491707098315,0.4261434849661087,0.3360821440264814,0.46808510638297873,0.723404255319149,0.5106382978723404,False,False,False,0,0,0,0,0,0,-22.3404255319149,21.27659574468086,0.06864706224562354,0,0,3,18,3.672680695900523,4.005260856518832,1.5890269151739729,1.3958740771954248,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.6094379124341003,1.3050889562695809
westcoast_0076,Northern California,2011,0,random_forest,0.3254039877264703,0.3483777366922375,0.2812042667478326,0.49645390070921985,0.574468085106383,0.375886524822695,False,False,False,0,0,0,0,0,0,-7.446808510638303,19.8581560283688,0.04229120778561975,0,0,3,18,3.672680695900523,4.005260856518832,1.5890269151739729,1.3958740771954248,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.6094379124341003,1.3050889562695809
westcoast_0076,Northern California,2011,0,xgboost,0.3227609097957611,0.5354129672050476,0.2987802922725677,0.4432624113475177,0.8156028368794326,0.48226950354609927,False,True,False,0,0,0,1,0,0,-31.560283687943258,33.33333333333333,0.1973973824008324,0,1,3,18,3.672680695900523,4.005260856518832,1.5890269151739729,1.3958740771954248,0.505622992,0.2196740775,9.289683092,2.465457291499998,1.6094379124341003,1.3050889562695809
westcoast_0076,Northern California,2012,0,logistic,0.399783551098593,0.4514786883589375,0.5940533335374184,0.6805555555555556,0.7152777777777778,0.7986111111111112,False,False,False,0,0,0,0,0,0,-21.52777777777778,-8.333333333333337,-0.14906635704461266,0,0,3,18,3.672680695900523,4.005260856518832,0.8958797346140275,1.5941817369746567,0.505622992,0.2196740775,9.289683092,2.465457291499998,2.9944807084449314,1.1228603551649372
westcoast_0076,Northern California,2012,0,random_forest,0.3692808641584488,0.4982930429700993,0.361034245534679,0.5694444444444444,0.7777777777777778,0.6527777777777778,False,False,False,0,0,0,0,0,0,-27.77777777777778,12.5,0.11795023022360634,0,0,3,18,3.672680695900523,4.005260856518832,0.8958797346140275,1.5941817369746567,0.505622992,0.2196740775,9.289683092,2.465457291499998,2.9944807084449314,1.1228603551649372
westcoast_0076,Northern California,2012,0,xgboost,0.3785467445850372,0.4968627989292145,0.4039451479911804,0.6319444444444444,0.7013888888888888,0.75,False,False,False,0,0,0,0,0,0,-20.138888888888886,-4.861111111111116,0.08370095837415636,0,0,3,18,3.672680695900523,4.005260856518832,0.8958797346140275,1.5941817369746567,0.505622992,0.2196740775,9.289683092,2.465457291499998,2.9944807084449314,1.1228603551649372
westcoast_0076,Northern California,2013,1,logistic,0.5255421821080258,0.5451161675604047,0.4075776842492996,0.7610062893081762,0.7547169811320755,0.5408805031446541,False,False,False,1,0,1,0,1,0,25.47169811320755,-21.383647798742146,-0.14404489918448884,1,0,1,6,0.39458467591209645,0.39458467591209645,1.2424533248940002,0.0,0.417657219,0.0,9.289683092,0.0,3.7668468549243164,0.0
westcoast_0076,Northern California,2013,1,random_forest,0.4841219366697684,0.5924476466585273,0.5073161378666153,0.660377358490566,0.8113207547169812,0.710691823899371,False,True,False,1,0,0,0,1,0,31.132075471698116,-10.062893081761015,-0.0766384672924954,0,0,1,6,0.39458467591209645,0.39458467591209645,1.2424533248940002,0.0,0.417657219,0.0,9.289683092,0.0,3.7668468549243164,0.0
westcoast_0076,Northern California,2013,1,xgboost,0.5059166550636292,0.5800691843032837,0.3425023853778839,0.720125786163522,0.7924528301886793,0.5031446540880503,False,False,False,1,0,1,0,1,0,29.24528301886793,-28.9308176100629,-0.25596122326206316,1,0,1,6,0.39458467591209645,0.39458467591209645,1.2424533248940002,0.0,0.417657219,0.0,9.289683092,0.0,3.7668468549243164,0.0
westcoast_0076,Northern California,2016,1,logistic,0.2565651044886873,0.3088716725271087,0.3594155511885647,0.04504504504504504,0.38738738738738737,0.40540540540540543,False,False,False,1,0,1,0,1,0,-11.261261261261263,1.8018018018018056,0.06730992897642574,1,0,2,12,2.199922766215464,4.005260856518832,6.982540190119371,0.2741431270066057,0.6373312965,0.2196740775,11.083655161,1.7939720690000005,0.0,0.0
