validation_scheme,heldout_band,target_definition,train_rows,test_rows,train_positive_count,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,feature_family,model,decision_threshold,status,notes
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.416386,0.584150,0.537234,0.422594,0.473068,0.509586,87,138,101,179,thermal_relative,Logistic Regression,0.515506,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.527903,0.649138,0.303191,0.612903,0.405694,0.337278,131,36,57,281,thermal_relative,Random Forest,0.585347,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.371648,0.504900,0.686170,0.370690,0.481343,0.586364,59,219,129,98,trajectory_absolute,Logistic Regression,0.518373,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.418315,0.554181,0.234043,0.458333,0.309859,0.259434,144,52,44,265,trajectory_absolute,Random Forest,0.578934,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.463750,0.604655,0.930851,0.403226,0.562701,0.737774,13,259,175,58,trajectory_relative,Logistic Regression,0.455844,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.363362,0.466776,0.117021,0.333333,0.173228,0.134474,166,44,22,273,trajectory_relative,Random Forest,0.597258,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.549613,0.689727,0.744681,0.489510,0.590717,0.674374,48,146,140,171,relative_dynamic_combined,Logistic Regression,0.548658,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.598651,0.713269,0.271277,0.662338,0.384906,0.307600,137,26,51,291,relative_dynamic_combined,Random Forest,0.602094,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.533893,0.656269,0.824468,0.444126,0.577281,0.703906,33,194,155,123,relative_dynamic_plus_habitat_context,Logistic Regression,0.534120,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,at_risk_original,654,505,153,188,0.561820,0.667562,0.250000,0.643836,0.360153,0.284848,141,26,47,291,relative_dynamic_plus_habitat_context,Random Forest,0.600586,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.241885,0.465306,1.000000,0.234450,0.379845,0.604938,0,160,49,0,canopy_absolute_baseline,Logistic Regression,0.379202,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.257775,0.513903,0.326531,0.326531,0.326531,0.326531,33,33,16,127,canopy_absolute_baseline,Random Forest,0.565123,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.351199,0.575128,0.408163,0.273973,0.327869,0.371747,29,53,20,107,canopy_relative,Logistic Regression,0.403629,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
