pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,false_negatives,false_positives,true_positives,true_negatives,target_definition,feature_family,model,n_train,n_validation,n_test,positive_events_test,event_prevalence_test,decision_threshold,status
0.8933121498059012,0.7668475802804161,0.8582089552238806,0.732484076433121,0.7903780068728522,0.6109226594301221,19,42,115,24,original_decline,naive_persistence_baseline,current_low_canopy_score,1400,200,200,134,0.67,0.87053574,computed
0.8573500909620518,0.7486431478968792,0.835820895522388,0.7567567567567568,0.7943262411347518,0.6451831750339213,22,36,112,30,original_decline,existing_canopy_only,Logistic Regression L2,1400,200,200,134,0.67,0.5065190842120211,computed
0.8787395038442156,0.769109000452284,0.7388059701492538,0.8181818181818182,0.7764705882352941,0.7027363184079602,35,22,99,44,original_decline,existing_canopy_only,Random Forest,1400,200,200,134,0.67,0.4239684050040086,computed
0.8093902023600805,0.6821573948439621,0.9477611940298507,0.7426900584795322,0.8327868852459016,0.640547263681592,7,44,127,22,original_decline,canopy_trajectory_only,Logistic Regression L2,1400,200,200,134,0.67,0.3849259653441843,computed
0.7201846177747193,0.6090004522840344,0.9477611940298507,0.6939890710382514,0.8012618296529969,0.5496381727725012,7,56,127,10,original_decline,canopy_trajectory_only,Random Forest,1400,200,200,134,0.67,0.23909139009139005,computed
0.8518731025337603,0.7409543193125282,0.6194029850746269,0.7830188679245284,0.6916666666666667,0.6354590682948892,51,23,83,43,original_decline,crw_composite_only,Logistic Regression L2,1400,200,200,134,0.67,0.4968899323040072,computed
0.7245958397331405,0.49513794663048394,0.6268656716417911,0.6511627906976745,0.6387832699619772,0.4725237449118046,50,45,84,21,original_decline,crw_composite_only,Random Forest,1400,200,200,134,0.67,0.2526349206349207,computed
0.8483956463689335,0.7552012663952963,0.6417910447761194,0.819047619047619,0.7196652719665272,0.6769561284486658,48,19,86,47,original_decline,canopy_trajectory_plus_crw,Logistic Regression L2,1400,200,200,134,0.67,0.4993858390696726,computed
0.7379363646879724,0.5864993215739485,0.582089552238806,0.7358490566037735,0.65,0.5789235639981909,56,28,78,38,original_decline,canopy_trajectory_plus_crw,Random Forest,1400,200,200,134,0.67,0.3800594035594036,computed
0.8397285219111157,0.7686567164179103,0.8805970149253731,0.7763157894736842,0.8251748251748252,0.682722749886929,16,34,118,32,original_decline,habitat_only,Logistic Regression L2,1400,200,200,134,0.67,0.47332645858489936,computed
0.8891192822731233,0.8003165988240616,0.8208955223880597,0.8088235294117647,0.8148148148148148,0.7134780642243329,24,26,110,40,original_decline,habitat_only,Random Forest,1400,200,200,134,0.67,0.46928458800954254,computed
0.8409223374847148,0.7247851650836725,0.9552238805970149,0.7441860465116279,0.8366013071895425,0.6442786069651741,6,44,128,22,original_decline,canopy_trajectory_plus_habitat,Logistic Regression L2,1400,200,200,134,0.67,0.37639696985065246,computed
0.7355985938844625,0.5905698778833107,0.8582089552238806,0.688622754491018,0.7641196013289037,0.5351650836725463,19,52,115,14,original_decline,canopy_trajectory_plus_habitat,Random Forest,1400,200,200,134,0.67,0.2967280404780404,computed
0.8541359328463032,0.757123473541384,0.6716417910447762,0.8108108108108109,0.7346938775510204,0.676729986431479,44,21,90,45,original_decline,canopy_trajectory_plus_crw_plus_habitat,Logistic Regression L2,1400,200,200,134,0.67,0.47993980456509355,computed
0.7470025610587427,0.5790366350067842,0.6492537313432836,0.696,0.6718146718146718,0.5367480777928539,47,38,87,28,original_decline,canopy_trajectory_plus_crw_plus_habitat,Random Forest,1400,200,200,134,0.67,0.34678968253968256,computed
0.5727736042590641,0.5384259259259259,0.9777777777777777,0.4835164835164835,0.6470588235294118,0.49930555555555556,1,47,44,1,at_risk_original_gt005,naive_persistence_baseline,current_low_canopy_score,955,111,93,45,0.4838709677419355,0.52658882,computed
0.5148217772470559,0.5129629629629628,0.8,0.5217391304347826,0.631578947368421,0.55625,9,33,36,15,at_risk_original_gt005,existing_canopy_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.47337266427280356,computed
0.6022468922588138,0.6101851851851852,0.5777777777777777,0.5652173913043478,0.5714285714285714,0.5805555555555555,19,20,26,28,at_risk_original_gt005,existing_canopy_only,Random Forest,955,111,93,45,0.4838709677419355,0.4222649605296662,computed
0.6496620267970766,0.7175925925925926,0.8444444444444444,0.6666666666666666,0.7450980392156863,0.7243055555555555,7,19,38,29,at_risk_original_gt005,canopy_trajectory_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.4777601963711854,computed
0.5858136058282707,0.5861111111111111,0.6,0.574468085106383,0.5869565217391305,0.5916666666666667,18,20,27,28,at_risk_original_gt005,canopy_trajectory_only,Random Forest,955,111,93,45,0.4838709677419355,0.4259589947089946,computed
