target_definition,best_model_pr_auc,naive_persistence_pr_auc,canopy_only_pr_auc,OISST_only_pr_auc,CRW_only_pr_auc,habitat_only_pr_auc,trajectory_pr_auc,best_environment_only_pr_auc,best_model_minus_naive_pr_auc,best_model_minus_canopy_only_pr_auc,best_environment_minus_OISST_pr_auc,CRW_minus_OISST_pr_auc,habitat_minus_CRW_pr_auc,trajectory_minus_canopy_pr_auc,actionable_false_negative_reduction
original_decline,0.970599,0.893312,0.897363,0.845937,0.851873,0.889119,0.840922,0.970599,0.077286,0.073236,0.124661,0.005936,0.037246,-0.056440,18.000000
at_risk_original,0.896745,0.806600,0.896745,0.842346,0.548556,0.764080,0.671160,0.842346,0.090145,0.000000,0.000000,-0.293791,0.215524,-0.225585,3.000000
new_transition,0.609796,0.291246,0.581734,0.516583,0.211709,0.141049,0.609796,0.516583,0.318550,0.028061,0.000000,-0.304874,-0.070660,0.028061,6.000000
actionable_drop,0.802768,0.396477,0.650255,0.690725,0.183927,0.170900,0.572223,0.802768,0.406291,0.152513,0.112044,-0.506797,-0.013027,-0.078032,8.000000
high_canopy_subgroup,0.657223,0.443833,0.639656,0.639486,0.217618,0.656342,0.657223,0.656342,0.213391,0.017568,0.016856,-0.421868,0.438725,0.017568,0.000000
