horizon,target,evaluation_scope,test_year_min,test_year_max,test_rows,test_positive_count,test_event_rate,horizon_valid_test_positive_count,horizon_valid_test_event_rate,best_feature_family,best_model,best_pr_auc,best_recall,best_precision,best_f2,best_false_negatives,current_only_best_pr_auc,trajectory_best_pr_auc,environment_best_pr_auc,combined_best_pr_auc,trajectory_minus_current_pr_auc,combined_minus_current_pr_auc,trajectory_helps_pr_auc
1year,actionable_decline_drop_next_1year,horizon_valid,2021,2023,150,30,0.200000,30,0.200000,canopy_current_only,Logistic Regression,0.601567,0.866667,0.520000,0.764706,4,0.601567,0.510156,0.384762,0.449210,-0.091411,-0.152356,False
1year,actionable_decline_drop_next_1year,common_years,2021,2022,100,30,0.300000,30,0.200000,canopy_current_only,Random Forest,0.664067,1.000000,0.508475,0.837989,0,0.664067,0.523436,0.415014,0.463937,-0.140630,-0.200130,False
2year,actionable_decline_drop_next_2year,horizon_valid,2021,2022,100,54,0.540000,54,0.540000,canopy_current_plus_trajectory,Random Forest,0.974893,1.000000,0.900000,0.978261,0,0.957015,0.974893,0.931655,0.960737,0.017878,0.003722,True
2year,actionable_decline_drop_next_2year,common_years,2021,2022,100,54,0.540000,54,0.540000,canopy_current_plus_trajectory,Random Forest,0.974893,1.000000,0.900000,0.978261,0,0.957015,0.974893,0.931655,0.960737,0.017878,0.003722,True
