model_group,model_name,target_definition,target,evaluation_subgroup,pr_auc,recall,precision,f1,balanced_accuracy,false_negatives,false_positives,true_positives,true_negatives,n_test,n_positive_events,event_prevalence
naive_persistence,D_recent_declining_trajectory_rule,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p50,0.22459954691904327,0.07692307692307693,0.058823529411764705,0.06666666666666667,0.27179487179487183,12,16,1,14,43,13,0.3023255813953488
naive_persistence,A_cell_p25_persistence_rule,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p75,0.2237267634326458,0.0,0.0,0.0,0.5,7,0,0,17,24,7,0.2916666666666667
naive_persistence,B_fixed_low_canopy_005_rule,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p75,0.21643597630439737,0.0,0.0,0.0,0.5,7,0,0,17,24,7,0.2916666666666667
naive_persistence,C_lag1_low_state_rule,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p75,0.20996782771079447,0.0,0.0,0.0,0.35294117647058826,7,5,0,12,24,7,0.2916666666666667
naive_persistence,D_recent_declining_trajectory_rule,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p75,0.2165553744501113,0.0,0.0,0.0,0.23529411764705882,7,9,0,8,24,7,0.2916666666666667
naive_persistence,A_cell_p25_persistence_rule,C_new_decline_transition,new_decline_event_next,full_sample,0.07846464890985863,0.0,0.0,0.0,0.13793103448275862,26,126,0,48,200,26,0.13
naive_persistence,B_fixed_low_canopy_005_rule,C_new_decline_transition,new_decline_event_next,full_sample,0.0823146873651066,0.3076923076923077,0.07476635514018691,0.12030075187969924,0.3693633952254642,18,99,8,75,200,26,0.13
naive_persistence,C_lag1_low_state_rule,C_new_decline_transition,new_decline_event_next,full_sample,0.09885589713245069,0.5,0.09923664122137404,0.16560509554140126,0.4109195402298851,13,118,13,56,200,26,0.13
naive_persistence,D_recent_declining_trajectory_rule,C_new_decline_transition,new_decline_event_next,full_sample,0.07704379092275711,0.19230769230769232,0.03496503496503497,0.05917159763313609,0.19960212201591512,21,138,5,36,200,26,0.13
naive_persistence,A_cell_p25_persistence_rule,C_new_decline_transition,new_decline_event_next,current_canopy_gt_0_05,0.12996686406032137,0.0,0.0,0.0,0.2866666666666667,18,32,0,43,93,18,0.1935483870967742
naive_persistence,B_fixed_low_canopy_005_rule,C_new_decline_transition,new_decline_event_next,current_canopy_gt_0_05,0.12935830639442275,0.0,0.0,0.0,0.5,18,0,0,75,93,18,0.1935483870967742
naive_persistence,C_lag1_low_state_rule,C_new_decline_transition,new_decline_event_next,current_canopy_gt_0_05,0.14868951183451934,0.2777777777777778,0.11904761904761904,0.16666666666666666,0.39222222222222225,13,37,5,38,93,18,0.1935483870967742
naive_persistence,D_recent_declining_trajectory_rule,C_new_decline_transition,new_decline_event_next,current_canopy_gt_0_05,0.12344898282339042,0.16666666666666666,0.05172413793103448,0.07894736842105263,0.21666666666666667,15,55,3,20,93,18,0.1935483870967742
naive_persistence,A_cell_p25_persistence_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p50,0.2632009416615828,0.0,0.0,0.0,0.5,15,0,0,34,49,15,0.30612244897959184
naive_persistence,B_fixed_low_canopy_005_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p50,0.2433033430417273,0.13333333333333333,0.3333333333333333,0.19047619047619047,0.5078431372549019,13,4,2,30,49,15,0.30612244897959184
naive_persistence,C_lag1_low_state_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p50,0.29124632155789315,0.13333333333333333,0.18181818181818182,0.15384615384615385,0.4343137254901961,13,9,2,25,49,15,0.30612244897959184
naive_persistence,D_recent_declining_trajectory_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p50,0.22068132848828861,0.06666666666666667,0.047619047619047616,0.05555555555555555,0.2392156862745098,14,20,1,14,49,15,0.30612244897959184
naive_persistence,A_cell_p25_persistence_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p75,0.20012309917219248,0.0,0.0,0.0,0.5,7,0,0,19,26,7,0.2692307692307692
naive_persistence,B_fixed_low_canopy_005_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p75,0.19396555825127254,0.0,0.0,0.0,0.4473684210526316,7,2,0,17,26,7,0.2692307692307692
naive_persistence,C_lag1_low_state_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p75,0.1893570545627158,0.0,0.0,0.0,0.34210526315789475,7,6,0,13,26,7,0.2692307692307692
naive_persistence,D_recent_declining_trajectory_rule,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p75,0.19464957919926862,0.0,0.0,0.0,0.21052631578947367,7,11,0,8,26,7,0.2692307692307692
naive_persistence,A_cell_p25_persistence_rule,D_actionable_decline_drop,actionable_decline_drop_next,full_sample,0.1192026142683774,0.23529411764705882,0.06349206349206349,0.1,0.26222537207654145,26,118,8,48,200,34,0.17
naive_persistence,B_fixed_low_canopy_005_rule,D_actionable_decline_drop,actionable_decline_drop_next,full_sample,0.09907694881832191,0.0,0.0,0.0,0.17771084337349397,34,107,0,59,200,34,0.17
naive_persistence,C_lag1_low_state_rule,D_actionable_decline_drop,actionable_decline_drop_next,full_sample,0.17065086216002162,0.38235294117647056,0.09923664122137404,0.15757575757575756,0.33575478384124735,21,118,13,48,200,34,0.17
naive_persistence,D_recent_declining_trajectory_rule,D_actionable_decline_drop,actionable_decline_drop_next,full_sample,0.11012193711601495,0.35294117647058826,0.08391608391608392,0.13559322033898305,0.2818922749822821,22,131,12,35,200,34,0.17
naive_persistence,A_cell_p25_persistence_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_gt_0_05,0.28255101376490854,0.23529411764705882,0.25,0.24242424242424243,0.41425722831505485,26,24,8,35,93,34,0.3655913978494624
naive_persistence,B_fixed_low_canopy_005_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_gt_0_05,0.27040126524605645,0.0,0.0,0.0,0.5,34,0,0,59,93,34,0.3655913978494624
naive_persistence,C_lag1_low_state_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_gt_0_05,0.36075258302867286,0.38235294117647056,0.30952380952380953,0.34210526315789475,0.4454137587238285,21,29,13,30,93,34,0.3655913978494624
naive_persistence,D_recent_declining_trajectory_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_gt_0_05,0.2537621195171924,0.35294117647058826,0.20689655172413793,0.2608695652173913,0.28664007976071787,22,46,12,13,93,34,0.3655913978494624
naive_persistence,A_cell_p25_persistence_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p50,0.38473141481571826,0.0,0.0,0.0,0.5,23,0,0,26,49,23,0.46938775510204084
naive_persistence,B_fixed_low_canopy_005_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p50,0.37186293162545114,0.0,0.0,0.0,0.38461538461538464,23,6,0,20,49,23,0.46938775510204084
naive_persistence,C_lag1_low_state_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p50,0.3726721886701799,0.08695652173913043,0.18181818181818182,0.11764705882352941,0.37040133779264217,21,9,2,17,49,23,0.46938775510204084
naive_persistence,D_recent_declining_trajectory_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p50,0.39647706020343126,0.2608695652173913,0.2857142857142857,0.2727272727272727,0.3419732441471572,17,15,6,11,49,23,0.46938775510204084
naive_persistence,A_cell_p25_persistence_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p75,0.44222058311813117,0.0,0.0,0.0,0.5,13,0,0,13,26,13,0.5
naive_persistence,B_fixed_low_canopy_005_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p75,0.44383255633255636,0.0,0.0,0.0,0.4230769230769231,13,2,0,11,26,13,0.5
naive_persistence,C_lag1_low_state_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p75,0.4070365977331921,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.4230769230769231,11,4,2,9,26,13,0.5
naive_persistence,D_recent_declining_trajectory_rule,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p75,0.4302237797614543,0.23076923076923078,0.2727272727272727,0.25,0.3076923076923077,10,8,3,5,26,13,0.5
logistic_canopy_baseline,E1_logistic_current_canopy_only,A_original_decline_state,decline_event_next,full_sample,0.8933121498059012,0.8656716417910447,0.7160493827160493,0.7837837837837838,0.5843509724106739,18,46,116,20,200,134,0.67
logistic_canopy_baseline,E2_logistic_current_lag_slope,A_original_decline_state,decline_event_next,full_sample,0.7000764613208688,0.7686567164179104,0.7202797202797203,0.7436823104693141,0.5812980551786522,31,40,103,26,200,134,0.67
logistic_canopy_baseline,E1_logistic_current_canopy_only,A_original_decline_state,decline_event_next,current_canopy_gt_0_05,0.5064219847297154,0.2222222222222222,0.47619047619047616,0.30303030303030304,0.4965277777777778,35,11,10,37,93,45,0.4838709677419355
logistic_canopy_baseline,E2_logistic_current_lag_slope,A_original_decline_state,decline_event_next,current_canopy_gt_0_05,0.5318012628739601,0.17777777777777778,0.42105263157894735,0.25,0.4743055555555556,37,11,8,37,93,45,0.4838709677419355
logistic_canopy_baseline,E1_logistic_current_canopy_only,A_original_decline_state,decline_event_next,current_canopy_ge_historical_p50,0.5817344684301206,0.6,0.5625,0.5806451612903226,0.6970588235294117,6,7,9,27,49,15,0.30612244897959184
logistic_canopy_baseline,E2_logistic_current_lag_slope,A_original_decline_state,decline_event_next,current_canopy_ge_historical_p50,0.6097958287399281,0.6666666666666666,0.625,0.6451612903225806,0.7450980392156863,5,6,10,28,49,15,0.30612244897959184
logistic_canopy_baseline,E1_logistic_current_canopy_only,A_original_decline_state,decline_event_next,current_canopy_ge_historical_p75,0.5989556078841793,0.5714285714285714,0.5,0.5333333333333333,0.6804511278195489,3,4,4,15,26,7,0.2692307692307692
logistic_canopy_baseline,E2_logistic_current_lag_slope,A_original_decline_state,decline_event_next,current_canopy_ge_historical_p75,0.640422077922078,0.5714285714285714,0.4444444444444444,0.5,0.6541353383458646,3,5,4,14,26,7,0.2692307692307692
logistic_canopy_baseline,E1_logistic_current_canopy_only,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,full_sample,0.5064219847297154,0.2222222222222222,0.47619047619047616,0.30303030303030304,0.4965277777777778,35,11,10,37,93,45,0.4838709677419355
logistic_canopy_baseline,E2_logistic_current_lag_slope,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,full_sample,0.5318012628739601,0.17777777777777778,0.42105263157894735,0.25,0.4743055555555556,37,11,8,37,93,45,0.4838709677419355
logistic_canopy_baseline,E1_logistic_current_canopy_only,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_gt_0_05,0.5064219847297154,0.2222222222222222,0.47619047619047616,0.30303030303030304,0.4965277777777778,35,11,10,37,93,45,0.4838709677419355
logistic_canopy_baseline,E2_logistic_current_lag_slope,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_gt_0_05,0.5318012628739601,0.17777777777777778,0.42105263157894735,0.25,0.4743055555555556,37,11,8,37,93,45,0.4838709677419355
logistic_canopy_baseline,E1_logistic_current_canopy_only,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p50,0.6216729424421732,0.6923076923076923,0.6,0.6428571428571429,0.7461538461538462,4,6,9,24,43,13,0.3023255813953488
logistic_canopy_baseline,E2_logistic_current_lag_slope,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p50,0.6569342422283597,0.7692307692307693,0.625,0.6896551724137931,0.7846153846153847,3,6,10,24,43,13,0.3023255813953488
logistic_canopy_baseline,E1_logistic_current_canopy_only,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p75,0.5989556078841793,0.5714285714285714,0.5,0.5333333333333333,0.6680672268907563,3,4,4,13,24,7,0.2916666666666667
logistic_canopy_baseline,E2_logistic_current_lag_slope,B_at_risk_original_decline_gt005,decline_event_next_at_risk_gt005,current_canopy_ge_historical_p75,0.6441326530612245,0.5714285714285714,0.4444444444444444,0.5,0.6386554621848739,3,5,4,12,24,7,0.2916666666666667
logistic_canopy_baseline,E1_logistic_current_canopy_only,C_new_decline_transition,new_decline_event_next,full_sample,0.41951890027524985,0.5,0.40625,0.4482758620689655,0.6954022988505747,13,19,13,155,200,26,0.13
logistic_canopy_baseline,E2_logistic_current_lag_slope,C_new_decline_transition,new_decline_event_next,full_sample,0.430218818523096,0.5384615384615384,0.42424242424242425,0.4745762711864407,0.714633068081344,12,19,14,155,200,26,0.13
logistic_canopy_baseline,E1_logistic_current_canopy_only,C_new_decline_transition,new_decline_event_next,current_canopy_gt_0_05,0.5151847600698742,0.5555555555555556,0.5,0.5263157894736842,0.7111111111111111,8,10,10,65,93,18,0.1935483870967742
logistic_canopy_baseline,E2_logistic_current_lag_slope,C_new_decline_transition,new_decline_event_next,current_canopy_gt_0_05,0.5220083042160775,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6844444444444444,8,14,10,61,93,18,0.1935483870967742
logistic_canopy_baseline,E1_logistic_current_canopy_only,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p50,0.5817344684301206,0.6,0.5625,0.5806451612903226,0.6970588235294117,6,7,9,27,49,15,0.30612244897959184
logistic_canopy_baseline,E2_logistic_current_lag_slope,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p50,0.6097958287399281,0.6666666666666666,0.625,0.6451612903225806,0.7450980392156863,5,6,10,28,49,15,0.30612244897959184
logistic_canopy_baseline,E1_logistic_current_canopy_only,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p75,0.5989556078841793,0.5714285714285714,0.5,0.5333333333333333,0.6804511278195489,3,4,4,15,26,7,0.2692307692307692
logistic_canopy_baseline,E2_logistic_current_lag_slope,C_new_decline_transition,new_decline_event_next,current_canopy_ge_historical_p75,0.640422077922078,0.5714285714285714,0.4444444444444444,0.5,0.6541353383458646,3,5,4,14,26,7,0.2692307692307692
logistic_canopy_baseline,E1_logistic_current_canopy_only,D_actionable_decline_drop,actionable_decline_drop_next,full_sample,0.5634123914434979,0.5,0.53125,0.5151515151515151,0.7048192771084337,17,15,17,151,200,34,0.17
logistic_canopy_baseline,E2_logistic_current_lag_slope,D_actionable_decline_drop,actionable_decline_drop_next,full_sample,0.5504538209775731,0.5,0.5151515151515151,0.5074626865671642,0.7018072289156627,17,16,17,150,200,34,0.17
logistic_canopy_baseline,E1_logistic_current_canopy_only,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_gt_0_05,0.563412391443498,0.35294117647058826,0.5714285714285714,0.43636363636363634,0.6001994017946162,22,9,12,50,93,34,0.3655913978494624
logistic_canopy_baseline,E2_logistic_current_lag_slope,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_gt_0_05,0.49382850966728165,0.6176470588235294,0.5526315789473685,0.5833333333333334,0.6647557328015952,13,17,21,42,93,34,0.3655913978494624
logistic_canopy_baseline,E1_logistic_current_canopy_only,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p50,0.6497170451871499,0.5217391304347826,0.6666666666666666,0.5853658536585366,0.6454849498327759,11,6,12,20,49,23,0.46938775510204084
logistic_canopy_baseline,E2_logistic_current_lag_slope,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p50,0.5477634404079518,0.34782608695652173,0.47058823529411764,0.4,0.5008361204013378,15,9,8,17,49,23,0.46938775510204084
logistic_canopy_baseline,E1_logistic_current_canopy_only,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p75,0.639655514789734,0.38461538461538464,0.625,0.47619047619047616,0.576923076923077,8,3,5,10,26,13,0.5
logistic_canopy_baseline,E2_logistic_current_lag_slope,D_actionable_decline_drop,actionable_decline_drop_next,current_canopy_ge_historical_p75,0.5904530359819922,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.5384615384615384,8,4,5,9,26,13,0.5
