validation_scheme,heldout_band,target_definition,feature_family,model,precision_floor,decision_threshold,train_rows,test_rows,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,status
three_band_holdout,band_1_south,at_risk_original,trajectory_absolute,Logistic Regression,0.400000,0.460559,714,445,104,0.259903,0.548218,0.673077,0.256410,0.371353,0.507983,34.000000,203.000000,70.000000,138.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_absolute,Logistic Regression,0.500000,0.571441,714,445,104,0.259903,0.548218,0.250000,0.250000,0.250000,0.250000,78.000000,78.000000,26.000000,263.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_absolute,Random Forest,0.300000,0.547496,714,445,104,0.302743,0.593024,0.298077,0.313131,0.305419,0.300971,73.000000,68.000000,31.000000,273.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_absolute,Random Forest,0.400000,0.547496,714,445,104,0.302743,0.593024,0.298077,0.313131,0.305419,0.300971,73.000000,68.000000,31.000000,273.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_absolute,Random Forest,0.500000,0.547496,714,445,104,0.302743,0.593024,0.298077,0.313131,0.305419,0.300971,73.000000,68.000000,31.000000,273.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_relative,Logistic Regression,0.300000,0.325410,714,445,104,0.231213,0.512915,1.000000,0.233708,0.378871,0.603949,0.000000,341.000000,104.000000,0.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_relative,Logistic Regression,0.400000,0.530048,714,445,104,0.231213,0.512915,0.653846,0.260536,0.372603,0.502216,36.000000,193.000000,68.000000,148.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_relative,Logistic Regression,0.500000,0.590020,714,445,104,0.231213,0.512915,0.307692,0.203822,0.245211,0.279232,72.000000,125.000000,32.000000,216.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_relative,Random Forest,0.300000,0.369702,714,445,104,0.212619,0.448257,0.567308,0.209964,0.306494,0.423242,45.000000,222.000000,59.000000,119.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_relative,Random Forest,0.400000,0.369702,714,445,104,0.212619,0.448257,0.567308,0.209964,0.306494,0.423242,45.000000,222.000000,59.000000,119.000000,computed
three_band_holdout,band_1_south,at_risk_original,trajectory_relative,Random Forest,0.500000,0.369702,714,445,104,0.212619,0.448257,0.567308,0.209964,0.306494,0.423242,45.000000,222.000000,59.000000,119.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_combined,Logistic Regression,0.300000,0.063748,714,445,104,0.292355,0.600045,1.000000,0.239080,0.385900,0.611046,0.000000,331.000000,104.000000,10.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_combined,Logistic Regression,0.400000,0.266047,714,445,104,0.292355,0.600045,0.884615,0.275449,0.420091,0.613333,12.000000,242.000000,92.000000,99.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_combined,Logistic Regression,0.500000,0.459333,714,445,104,0.292355,0.600045,0.451923,0.259669,0.329825,0.393635,57.000000,134.000000,47.000000,207.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_combined,Random Forest,0.300000,0.468558,714,445,104,0.489178,0.687627,0.557692,0.397260,0.464000,0.516014,46.000000,88.000000,58.000000,253.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_combined,Random Forest,0.400000,0.468558,714,445,104,0.489178,0.687627,0.557692,0.397260,0.464000,0.516014,46.000000,88.000000,58.000000,253.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_combined,Random Forest,0.500000,0.468558,714,445,104,0.489178,0.687627,0.557692,0.397260,0.464000,0.516014,46.000000,88.000000,58.000000,253.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_plus_habitat_context,Logistic Regression,0.300000,0.064993,714,445,104,0.279865,0.579207,1.000000,0.240185,0.387337,0.612485,0.000000,329.000000,104.000000,12.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_plus_habitat_context,Logistic Regression,0.400000,0.251627,714,445,104,0.279865,0.579207,0.826923,0.255193,0.390023,0.571049,18.000000,251.000000,86.000000,90.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_plus_habitat_context,Logistic Regression,0.500000,0.439901,714,445,104,0.279865,0.579207,0.480769,0.277778,0.352113,0.419463,54.000000,130.000000,50.000000,211.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_plus_habitat_context,Random Forest,0.300000,0.513572,714,445,104,0.428753,0.642595,0.365385,0.387755,0.376238,0.369650,66.000000,60.000000,38.000000,281.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_plus_habitat_context,Random Forest,0.400000,0.513572,714,445,104,0.428753,0.642595,0.365385,0.387755,0.376238,0.369650,66.000000,60.000000,38.000000,281.000000,computed
three_band_holdout,band_1_south,at_risk_original,relative_dynamic_plus_habitat_context,Random Forest,0.500000,0.513572,714,445,104,0.428753,0.642595,0.365385,0.387755,0.376238,0.369650,66.000000,60.000000,38.000000,281.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.300000,0.533101,654,505,188,0.331860,0.406537,0.351064,0.338462,0.344648,0.348469,122.000000,129.000000,66.000000,188.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.400000,0.572951,654,505,188,0.331860,0.406537,0.170213,0.351648,0.229391,0.189798,156.000000,59.000000,32.000000,258.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.500000,,654,505,188,,,,,,,,,,,no_training_threshold_met_precision_floor
three_band_holdout,band_2_central,at_risk_original,canopy_absolute_baseline,Random Forest,0.300000,0.489709,654,505,188,0.383013,0.516981,0.329787,0.397436,0.360465,0.341410,126.000000,94.000000,62.000000,223.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_absolute_baseline,Random Forest,0.400000,0.489709,654,505,188,0.383013,0.516981,0.329787,0.397436,0.360465,0.341410,126.000000,94.000000,62.000000,223.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_absolute_baseline,Random Forest,0.500000,0.489709,654,505,188,0.383013,0.516981,0.329787,0.397436,0.360465,0.341410,126.000000,94.000000,62.000000,223.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_relative,Logistic Regression,0.300000,0.517227,654,505,188,0.512178,0.629723,0.877660,0.415617,0.564103,0.718016,23.000000,232.000000,165.000000,85.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_relative,Logistic Regression,0.400000,0.623714,654,505,188,0.512178,0.629723,0.404255,0.490323,0.443149,0.418964,112.000000,79.000000,76.000000,238.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_relative,Logistic Regression,0.500000,0.629921,654,505,188,0.512178,0.629723,0.361702,0.485714,0.414634,0.381166,120.000000,72.000000,68.000000,245.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_relative,Random Forest,0.300000,0.460099,654,505,188,0.366163,0.514162,0.670213,0.384146,0.488372,0.583333,62.000000,202.000000,126.000000,115.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_relative,Random Forest,0.400000,0.460099,654,505,188,0.366163,0.514162,0.670213,0.384146,0.488372,0.583333,62.000000,202.000000,126.000000,115.000000,computed
three_band_holdout,band_2_central,at_risk_original,canopy_relative,Random Forest,0.500000,0.460099,654,505,188,0.366163,0.514162,0.670213,0.384146,0.488372,0.583333,62.000000,202.000000,126.000000,115.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_absolute,Logistic Regression,0.300000,0.471152,654,505,188,0.554979,0.637677,0.627660,0.453846,0.526786,0.583004,70.000000,142.000000,118.000000,175.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_absolute,Logistic Regression,0.400000,0.642960,654,505,188,0.554979,0.637677,0.122340,0.793103,0.211982,0.147247,165.000000,6.000000,23.000000,311.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_absolute,Logistic Regression,0.500000,0.697552,654,505,188,0.554979,0.637677,0.063830,1.000000,0.120000,0.078534,176.000000,0.000000,12.000000,317.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_absolute,Random Forest,0.300000,0.546845,654,505,188,0.588261,0.663341,0.340426,0.576577,0.428094,0.370800,124.000000,47.000000,64.000000,270.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_absolute,Random Forest,0.400000,0.546845,654,505,188,0.588261,0.663341,0.340426,0.576577,0.428094,0.370800,124.000000,47.000000,64.000000,270.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_absolute,Random Forest,0.500000,0.546845,654,505,188,0.588261,0.663341,0.340426,0.576577,0.428094,0.370800,124.000000,47.000000,64.000000,270.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_relative,Logistic Regression,0.300000,0.479702,654,505,188,0.416386,0.584150,0.659574,0.423208,0.515593,0.593301,64.000000,169.000000,124.000000,148.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_relative,Logistic Regression,0.400000,0.664478,654,505,188,0.416386,0.584150,0.026596,0.250000,0.048077,0.032383,183.000000,15.000000,5.000000,302.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_relative,Logistic Regression,0.500000,0.700596,654,505,188,0.416386,0.584150,0.015957,0.230769,0.029851,0.019608,185.000000,10.000000,3.000000,307.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_relative,Random Forest,0.300000,0.474026,654,505,188,0.527903,0.649138,0.430851,0.543624,0.480712,0.449501,107.000000,68.000000,81.000000,249.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_relative,Random Forest,0.400000,0.474026,654,505,188,0.527903,0.649138,0.430851,0.543624,0.480712,0.449501,107.000000,68.000000,81.000000,249.000000,computed
three_band_holdout,band_2_central,at_risk_original,thermal_relative,Random Forest,0.500000,0.474026,654,505,188,0.527903,0.649138,0.430851,0.543624,0.480712,0.449501,107.000000,68.000000,81.000000,249.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_absolute,Logistic Regression,0.300000,0.505322,654,505,188,0.371648,0.504900,0.718085,0.361930,0.481283,0.600000,53.000000,238.000000,135.000000,79.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_absolute,Logistic Regression,0.400000,0.654348,654,505,188,0.371648,0.504900,0.138298,0.356164,0.199234,0.157576,162.000000,47.000000,26.000000,270.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_absolute,Logistic Regression,0.500000,,654,505,188,,,,,,,,,,,no_training_threshold_met_precision_floor
three_band_holdout,band_2_central,at_risk_original,trajectory_absolute,Random Forest,0.300000,0.578934,654,505,188,0.418315,0.554181,0.234043,0.458333,0.309859,0.259434,144.000000,52.000000,44.000000,265.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_absolute,Random Forest,0.400000,0.578934,654,505,188,0.418315,0.554181,0.234043,0.458333,0.309859,0.259434,144.000000,52.000000,44.000000,265.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_absolute,Random Forest,0.500000,0.578934,654,505,188,0.418315,0.554181,0.234043,0.458333,0.309859,0.259434,144.000000,52.000000,44.000000,265.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_relative,Logistic Regression,0.300000,,654,505,188,,,,,,,,,,,no_training_threshold_met_precision_floor
three_band_holdout,band_2_central,at_risk_original,trajectory_relative,Logistic Regression,0.400000,,654,505,188,,,,,,,,,,,no_training_threshold_met_precision_floor
three_band_holdout,band_2_central,at_risk_original,trajectory_relative,Logistic Regression,0.500000,,654,505,188,,,,,,,,,,,no_training_threshold_met_precision_floor
three_band_holdout,band_2_central,at_risk_original,trajectory_relative,Random Forest,0.300000,0.484396,654,505,188,0.363362,0.466776,0.351064,0.358696,0.354839,0.352564,122.000000,118.000000,66.000000,199.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_relative,Random Forest,0.400000,0.484396,654,505,188,0.363362,0.466776,0.351064,0.358696,0.354839,0.352564,122.000000,118.000000,66.000000,199.000000,computed
three_band_holdout,band_2_central,at_risk_original,trajectory_relative,Random Forest,0.500000,0.484396,654,505,188,0.363362,0.466776,0.351064,0.358696,0.354839,0.352564,122.000000,118.000000,66.000000,199.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_combined,Logistic Regression,0.300000,0.378225,654,505,188,0.549613,0.689727,0.941489,0.423445,0.584158,0.756410,11.000000,241.000000,177.000000,76.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_combined,Logistic Regression,0.400000,0.548658,654,505,188,0.549613,0.689727,0.744681,0.489510,0.590717,0.674374,48.000000,146.000000,140.000000,171.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_combined,Logistic Regression,0.500000,0.762900,654,505,188,0.549613,0.689727,0.175532,0.634615,0.275000,0.205224,155.000000,19.000000,33.000000,298.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_combined,Random Forest,0.300000,0.571962,654,505,188,0.598651,0.713269,0.324468,0.648936,0.432624,0.360520,127.000000,33.000000,61.000000,284.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_combined,Random Forest,0.400000,0.571962,654,505,188,0.598651,0.713269,0.324468,0.648936,0.432624,0.360520,127.000000,33.000000,61.000000,284.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_combined,Random Forest,0.500000,0.571962,654,505,188,0.598651,0.713269,0.324468,0.648936,0.432624,0.360520,127.000000,33.000000,61.000000,284.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_plus_habitat_context,Logistic Regression,0.300000,0.382803,654,505,188,0.533893,0.656269,0.941489,0.416471,0.577488,0.751912,11.000000,248.000000,177.000000,69.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_plus_habitat_context,Logistic Regression,0.400000,0.534120,654,505,188,0.533893,0.656269,0.824468,0.444126,0.577281,0.703906,33.000000,194.000000,155.000000,123.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_plus_habitat_context,Logistic Regression,0.500000,0.652713,654,505,188,0.533893,0.656269,0.606383,0.454183,0.519362,0.568295,74.000000,137.000000,114.000000,180.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_plus_habitat_context,Random Forest,0.300000,0.600586,654,505,188,0.561820,0.667562,0.250000,0.643836,0.360153,0.284848,141.000000,26.000000,47.000000,291.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_plus_habitat_context,Random Forest,0.400000,0.600586,654,505,188,0.561820,0.667562,0.250000,0.643836,0.360153,0.284848,141.000000,26.000000,47.000000,291.000000,computed
three_band_holdout,band_2_central,at_risk_original,relative_dynamic_plus_habitat_context,Random Forest,0.500000,0.600586,654,505,188,0.561820,0.667562,0.250000,0.643836,0.360153,0.284848,141.000000,26.000000,47.000000,291.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.300000,0.379202,950,209,49,0.241885,0.465306,1.000000,0.234450,0.379845,0.604938,0.000000,160.000000,49.000000,0.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.400000,0.557878,950,209,49,0.241885,0.465306,0.000000,0.000000,0.000000,0.000000,49.000000,0.000000,0.000000,160.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.500000,0.571444,950,209,49,0.241885,0.465306,0.000000,0.000000,0.000000,0.000000,49.000000,0.000000,0.000000,160.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_absolute_baseline,Random Forest,0.300000,0.325540,950,209,49,0.257775,0.513903,0.775510,0.228916,0.353488,0.524862,11.000000,128.000000,38.000000,32.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_absolute_baseline,Random Forest,0.400000,0.325540,950,209,49,0.257775,0.513903,0.775510,0.228916,0.353488,0.524862,11.000000,128.000000,38.000000,32.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_absolute_baseline,Random Forest,0.500000,0.325540,950,209,49,0.257775,0.513903,0.775510,0.228916,0.353488,0.524862,11.000000,128.000000,38.000000,32.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_relative,Logistic Regression,0.300000,0.241948,950,209,49,0.351199,0.575128,0.938776,0.262857,0.410714,0.619946,3.000000,129.000000,46.000000,31.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_relative,Logistic Regression,0.400000,0.522632,950,209,49,0.351199,0.575128,0.102041,0.416667,0.163934,0.120192,44.000000,7.000000,5.000000,153.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_relative,Logistic Regression,0.500000,0.601868,950,209,49,0.351199,0.575128,0.040816,1.000000,0.078431,0.050505,47.000000,0.000000,2.000000,160.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_relative,Random Forest,0.300000,0.459925,950,209,49,0.240288,0.510587,0.163265,0.222222,0.188235,0.172414,41.000000,28.000000,8.000000,132.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_relative,Random Forest,0.400000,0.459925,950,209,49,0.240288,0.510587,0.163265,0.222222,0.188235,0.172414,41.000000,28.000000,8.000000,132.000000,computed
three_band_holdout,band_3_north,at_risk_original,canopy_relative,Random Forest,0.500000,0.459925,950,209,49,0.240288,0.510587,0.163265,0.222222,0.188235,0.172414,41.000000,28.000000,8.000000,132.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_absolute,Logistic Regression,0.300000,0.171114,950,209,49,0.218800,0.451786,1.000000,0.234450,0.379845,0.604938,0.000000,160.000000,49.000000,0.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_absolute,Logistic Regression,0.400000,0.432904,950,209,49,0.218800,0.451786,0.979592,0.240000,0.385542,0.606061,1.000000,152.000000,48.000000,8.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_absolute,Logistic Regression,0.500000,0.591264,950,209,49,0.218800,0.451786,0.571429,0.193103,0.288660,0.410557,21.000000,117.000000,28.000000,43.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_absolute,Random Forest,0.300000,0.461693,950,209,49,0.242881,0.492347,0.183673,0.169811,0.176471,0.180723,40.000000,44.000000,9.000000,116.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_absolute,Random Forest,0.400000,0.461693,950,209,49,0.242881,0.492347,0.183673,0.169811,0.176471,0.180723,40.000000,44.000000,9.000000,116.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_absolute,Random Forest,0.500000,0.461693,950,209,49,0.242881,0.492347,0.183673,0.169811,0.176471,0.180723,40.000000,44.000000,9.000000,116.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_relative,Logistic Regression,0.300000,0.223961,950,209,49,0.225846,0.462372,0.693878,0.192090,0.300885,0.455764,15.000000,143.000000,34.000000,17.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_relative,Logistic Regression,0.400000,0.425341,950,209,49,0.225846,0.462372,0.571429,0.277228,0.373333,0.471380,21.000000,73.000000,28.000000,87.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_relative,Logistic Regression,0.500000,0.671994,950,209,49,0.225846,0.462372,0.020408,0.055556,0.029851,0.023364,48.000000,17.000000,1.000000,143.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_relative,Random Forest,0.300000,0.390059,950,209,49,0.251614,0.563839,0.714286,0.307018,0.429448,0.564516,14.000000,79.000000,35.000000,81.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_relative,Random Forest,0.400000,0.390059,950,209,49,0.251614,0.563839,0.714286,0.307018,0.429448,0.564516,14.000000,79.000000,35.000000,81.000000,computed
three_band_holdout,band_3_north,at_risk_original,thermal_relative,Random Forest,0.500000,0.390059,950,209,49,0.251614,0.563839,0.714286,0.307018,0.429448,0.564516,14.000000,79.000000,35.000000,81.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_absolute,Logistic Regression,0.300000,0.163962,950,209,49,0.263323,0.539031,0.897959,0.234043,0.371308,0.572917,5.000000,144.000000,44.000000,16.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_absolute,Logistic Regression,0.400000,0.510377,950,209,49,0.263323,0.539031,0.081633,0.210526,0.117647,0.093023,45.000000,15.000000,4.000000,145.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_absolute,Logistic Regression,0.500000,0.637668,950,209,49,0.263323,0.539031,0.000000,0.000000,0.000000,0.000000,49.000000,0.000000,0.000000,160.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_absolute,Random Forest,0.300000,0.522501,950,209,49,0.262131,0.497959,0.061224,0.333333,0.103448,0.073171,46.000000,6.000000,3.000000,154.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_absolute,Random Forest,0.400000,0.522501,950,209,49,0.262131,0.497959,0.061224,0.333333,0.103448,0.073171,46.000000,6.000000,3.000000,154.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_absolute,Random Forest,0.500000,0.522501,950,209,49,0.262131,0.497959,0.061224,0.333333,0.103448,0.073171,46.000000,6.000000,3.000000,154.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_relative,Logistic Regression,0.300000,0.319734,950,209,49,0.245438,0.525000,0.877551,0.232432,0.367521,0.564304,6.000000,142.000000,43.000000,18.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_relative,Logistic Regression,0.400000,0.549739,950,209,49,0.245438,0.525000,0.020408,0.083333,0.032787,0.024038,48.000000,11.000000,1.000000,149.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_relative,Logistic Regression,0.500000,,950,209,49,,,,,,,,,,,no_training_threshold_met_precision_floor
three_band_holdout,band_3_north,at_risk_original,trajectory_relative,Random Forest,0.300000,0.378168,950,209,49,0.242017,0.506569,0.408163,0.256410,0.314961,0.364964,29.000000,58.000000,20.000000,102.000000,computed
three_band_holdout,band_3_north,at_risk_original,trajectory_relative,Random Forest,0.400000,0.378168,950,209,49,0.242017,0.506569,0.408163,0.256410,0.314961,0.364964,29.000000,58.000000,20.000000,102.000000,computed
