validation_scheme,target_definition,feature_family,model,mean_pr_auc,min_pr_auc,mean_recall,min_recall,mean_precision,min_precision,mean_f2,min_f2,total_false_negatives,total_positives_across_heldout_folds,pr_auc_std,recall_std,valid_folds,stability_score
five_band_holdout,at_risk_original,trajectory_relative,Random Forest,0.293429,0.236125,0.197073,0.080000,0.337532,0.226415,0.204072,0.096154,272,341,0.063309,0.078062,5,0.253833
five_band_holdout,at_risk_original,canopy_absolute_baseline,Random Forest,0.308305,0.243673,0.216262,0.046512,0.287338,0.105263,0.224798,0.052356,265,341,0.068947,0.092590,5,0.249867
five_band_holdout,at_risk_original,thermal_absolute,Logistic Regression,0.359918,0.174597,0.760389,0.440000,0.293483,0.164179,0.563441,0.329341,69,341,0.147077,0.176763,5,0.242225
five_band_holdout,at_risk_original,trajectory_absolute,Logistic Regression,0.296106,0.222157,0.501250,0.080000,0.303391,0.181818,0.426192,0.090090,124,341,0.056089,0.272804,5,0.239070
five_band_holdout,new_transition,relative_dynamic_plus_habitat_context,Random Forest,0.498808,0.393312,0.171816,0.103448,0.662853,0.545455,0.200269,0.123457,260,317,0.101694,0.076961,5,0.414007
five_band_holdout,new_transition,relative_dynamic_combined,Random Forest,0.495254,0.360500,0.239693,0.086207,0.598760,0.419355,0.269591,0.103734,239,317,0.130163,0.084373,5,0.373418
five_band_holdout,new_transition,trajectory_relative,Logistic Regression,0.251799,0.213517,0.725287,0.431034,0.230549,0.198413,0.499877,0.349162,82,317,0.032885,0.188569,5,0.297519
five_band_holdout,new_transition,thermal_relative,Random Forest,0.376794,0.281492,0.247674,0.086207,0.415229,0.277778,0.266533,0.100000,236,317,0.124817,0.129979,5,0.294011
five_band_holdout,new_transition,trajectory_absolute,Random Forest,0.332549,0.278162,0.145514,0.051724,0.349381,0.269231,0.159429,0.062500,269,317,0.047568,0.075665,5,0.289031
five_band_holdout,new_transition,canopy_absolute_baseline,Logistic Regression,0.277996,0.209771,0.650862,0.344828,0.230200,0.200000,0.462996,0.317460,103,317,0.069846,0.246528,5,0.282152
five_band_holdout,new_transition,canopy_relative,Logistic Regression,0.242914,0.202574,0.702052,0.362069,0.259723,0.211207,0.513129,0.319149,92,317,0.037130,0.182415,5,0.278648
five_band_holdout,new_transition,trajectory_absolute,Logistic Regression,0.260225,0.191981,0.686891,0.379310,0.247507,0.200980,0.498287,0.342679,95,317,0.074206,0.174933,5,0.270230
five_band_holdout,new_transition,thermal_absolute,Random Forest,0.421950,0.257311,0.197213,0.068966,0.609252,0.285714,0.222469,0.081301,251,317,0.133185,0.141352,5,0.264317
five_band_holdout,new_transition,relative_dynamic_plus_habitat_context,Logistic Regression,0.300569,0.186417,0.595447,0.241379,0.247944,0.197605,0.457337,0.234899,122,317,0.121377,0.220202,5,0.233004
five_band_holdout,new_transition,relative_dynamic_combined,Logistic Regression,0.302330,0.182484,0.556223,0.224138,0.241491,0.191176,0.434092,0.216667,135,317,0.116141,0.218195,5,0.225037
