target_definition,target,comparison,scale,model_family,validation_design,held_out_region,n_train,n_test,test_positive_events,test_event_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,feature_count,features
A_original_decline_state,decline_event_next,M3_multiscale_random_forest,multi,Random Forest,temporal_holdout,none,1400,200,134,0.67,0.7225274612643475,0.510119855269109,0.07462686567164178,0.9090909090909091,0.13793103448275862,0.5297376752600633,0.32699594804855164,20,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M0_nearest_grid_baseline,nearest,Logistic Regression L2,region_holdout,Central California,512,136,74,0.5441176470588235,0.5032271789186057,0.4109633827375763,0.7027027027027027,0.4727272727272727,0.5652173913043478,0.38360941586748043,0.30052465434473125,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M0_nearest_grid_baseline,nearest,Random Forest,region_holdout,Central California,512,136,74,0.5441176470588235,0.4847894836681178,0.39483435047951176,0.33783783783783783,0.43103448275862066,0.3787878787878788,0.40278988666085436,0.33371803498402763,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_10km,10km,Logistic Regression L2,region_holdout,Central California,512,136,74,0.5441176470588235,0.5808852107783959,0.5187445510026156,0.8108108108108109,0.5263157894736842,0.6382978723404256,0.4699215344376635,0.2640106517863376,5,oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_10km,10km,Random Forest,region_holdout,Central California,512,136,74,0.5441176470588235,0.5640745332989688,0.47580645161290325,0.5405405405405406,0.5128205128205128,0.5263157894736842,0.4638186573670445,0.28774801911080367,5,oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_25km,25km,Logistic Regression L2,region_holdout,Central California,512,136,74,0.5441176470588235,0.5067768346264939,0.4216434176111596,0.7027027027027027,0.47706422018348627,0.5683060109289617,0.3916739319965127,0.2972748721317776,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_25km,25km,Random Forest,region_holdout,Central California,512,136,74,0.5441176470588235,0.49692777593745685,0.40355274629468174,0.4189189189189189,0.484375,0.4492753623188406,0.4433304272013949,0.33149854727590394,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M1_fixed_30km_buffer,30km,Logistic Regression L2,region_holdout,Central California,512,136,74,0.5441176470588235,0.5017176993258934,0.422079337401918,0.7027027027027027,0.47706422018348627,0.5683060109289617,0.3916739319965127,0.29719786202712795,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M1_fixed_30km_buffer,30km,Random Forest,region_holdout,Central California,512,136,74,0.5441176470588235,0.49186102994347025,0.39243679163034,0.44594594594594594,0.4925373134328358,0.46808510638297873,0.44877942458587616,0.32702884407261124,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_50km,50km,Logistic Regression L2,region_holdout,Central California,512,136,74,0.5441176470588235,0.5008227852554247,0.4190278988666086,0.7162162162162162,0.4774774774774775,0.572972972972973,0.3903661726242371,0.29862340624901035,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_50km,50km,Random Forest,region_holdout,Central California,512,136,74,0.5441176470588235,0.4770886677998443,0.39178291194420223,0.36486486486486486,0.46551724137931033,0.4090909090909091,0.43243243243243246,0.31954287858610697,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_75km,75km,Logistic Regression L2,region_holdout,Central California,512,136,74,0.5441176470588235,0.5175401580908869,0.4345030514385353,0.7162162162162162,0.4774774774774775,0.572972972972973,0.3903661726242371,0.29697526898967375,5,oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_75km,75km,Random Forest,region_holdout,Central California,512,136,74,0.5441176470588235,0.5232828407863451,0.4191368788142982,0.2972972972972973,0.4,0.34108527131782945,0.3825196163905841,0.29690639343413694,5,oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_multiscale_l1_regularized,multi,Logistic Regression L1,region_holdout,Central California,512,136,74,0.5441176470588235,0.5020889019004993,0.42077157802964255,0.7297297297297297,0.48214285714285715,0.5806451612903226,0.3971229293809939,0.30390474079456525,20,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_multiscale_random_forest,multi,Random Forest,region_holdout,Central California,512,136,74,0.5441176470588235,0.48262750625675477,0.4031168265039233,0.43243243243243246,0.5161290322580645,0.47058823529411764,0.4742807323452485,0.329256610301965,20,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M0_nearest_grid_baseline,nearest,Logistic Regression L2,region_holdout,Northern California,1088,64,60,0.9375,0.944196816465173,0.5291666666666667,0.23333333333333334,0.875,0.3684210526315789,0.3666666666666667,0.2951991330229124,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M0_nearest_grid_baseline,nearest,Random Forest,region_holdout,Northern California,1088,64,60,0.9375,0.9564546942201146,0.4875,0.0,0.0,0.0,0.5,0.42278838361878546,5,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_10km,10km,Logistic Regression L2,region_holdout,Northern California,1088,64,60,0.9375,0.9454503949010257,0.5708333333333333,0.25,0.9375,0.39473684210526316,0.5,0.30783531850276385,5,oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_10km,10km,Random Forest,region_holdout,Northern California,1088,64,60,0.9375,0.9494379874382423,0.49583333333333335,0.03333333333333333,1.0,0.06451612903225806,0.5166666666666667,0.4193937487834709,5,oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
