target_definition,best_pr_auc_experiment,best_pr_auc_feature_family,best_pr_auc_model,best_pr_auc_value,best_recall_experiment,best_recall_feature_family,best_recall_model,best_recall_value,best_f2_experiment,best_f2_feature_family,best_f2_model,best_f2_value,best_false_negative_model,best_false_negative_count,canopy_only_pr_auc,naive_persistence_pr_auc,best_environment_only_pr_auc,best_canopy_including_pr_auc,best_canopy_excluding_pr_auc,best_combined_pr_auc,main_interpretation
original_decline,multiscale_environment,multiscale_environment,Random Forest,0.970599,threshold_tuned,threshold_tuned,Random Forest,1.000000,threshold_tuned,threshold_tuned,LightGBM (unweighted),0.912807,Random Forest,0.000000,0.897363,0.893312,0.970599,0.897363,0.970599,0.970599,"Broad decline-state screening; high PR-AUC should be interpreted as risk-state prediction, especially when led by multiscale_environment."
at_risk_original,validity_diagnostics,canopy_only,Random Forest,0.896745,bathymetry_habitat,naive_persistence,current_low_canopy_score,0.977778,,,,,current_low_canopy_score,1.000000,0.896745,0.806600,0.842346,0.896745,0.842346,0.740739,"At-risk evaluation removes already-low canopy states and is a stronger early-warning stress test, but still may reflect persistence and spatial risk."
new_transition,V2_extension,canopy_trajectory,E2_logistic_current_lag_slope,0.609796,V2_extension,multiscale_environment,M2_idw_k8_sensitivity / Logistic Regression L2,1.000000,,,,,M2_idw_k8_sensitivity / Logistic Regression L2,0.000000,0.581734,0.291246,0.516583,0.609796,0.516583,0.609796,Strict transition-oriented target; useful performance here would be stronger evidence for early-warning skill than original-label performance.
actionable_drop,multiscale_environment,multiscale_environment,Random Forest,0.802768,threshold_tuned,threshold_tuned,Random Forest (cost_sensitive),1.000000,threshold_tuned,threshold_tuned,Random Forest (cost_sensitive),0.824176,Random Forest (cost_sensitive),0.000000,0.650255,0.396477,0.802768,0.650255,0.802768,0.802768,Actionable drop target emphasizes warning sensitivity; false-negative reduction must be balanced against precision.
high_canopy_subgroup,trajectory,canopy_plus_trajectory,Logistic Regression L2,0.657223,V2_extension,canopy_only,canopy_only / SVM,1.000000,,,,,canopy_only / SVM,0.000000,0.639656,0.443833,0.656342,0.657223,0.656342,0.657223,High-canopy subgroup asks whether models detect decline from healthier states; this is closer to transition monitoring than broad low-state detection.
