diagnostic,feature,comparison_feature,value,status,notes
data_access,CRW_SST,,,dry_run_no_local_crw_cache,Place daily point CSV files under data/external/noaa/cache/crw5km or adapt the script to download ERDDAP subsets.
nearest_grid_distance,distance_to_crw_grid_km,,1.9402327460355833,planned,Distance to theoretical nearest 0.05 degree CRW grid center from Kelpwatch cell centroid.
