pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,target_definition,feature_family,model,n_train,n_validation,n_test,positive_events_test,event_prevalence_test,decision_threshold,status
0.236365,0.677002,0.176471,0.171429,0.173913,0.175439,28,29,6,137,actionable_drop,crw_plus_habitat_plus_wave,Logistic Regression,1400,200,200,34,0.170000,0.641437,computed
0.204536,0.600461,0.294118,0.172414,0.217391,0.257732,24,48,10,118,actionable_drop,crw_plus_habitat_plus_wave,Random Forest,1400,200,200,34,0.170000,0.420067,computed
0.285131,0.677356,0.911765,0.227941,0.364706,0.569853,3,105,31,61,actionable_drop,crw_plus_habitat_plus_wave,XGBoost,1400,200,200,34,0.170000,0.117030,computed
0.216519,0.598512,0.705882,0.201681,0.313725,0.470588,10,95,24,71,actionable_drop,crw_plus_habitat_plus_wave,LightGBM,1400,200,200,34,0.170000,0.054206,computed
0.429685,0.827427,0.323529,0.458333,0.379310,0.343750,23,13,11,153,actionable_drop,trajectory_plus_crw_plus_wave,Logistic Regression,1400,200,200,34,0.170000,0.695316,computed
0.431394,0.849929,0.470588,0.470588,0.470588,0.470588,18,18,16,148,actionable_drop,trajectory_plus_crw_plus_wave,Random Forest,1400,200,200,34,0.170000,0.456334,computed
0.486927,0.866230,0.794118,0.457627,0.580645,0.692308,7,32,27,134,actionable_drop,trajectory_plus_crw_plus_wave,XGBoost,1400,200,200,34,0.170000,0.184901,computed
0.405655,0.825833,0.529412,0.391304,0.450000,0.494505,16,28,18,138,actionable_drop,trajectory_plus_crw_plus_wave,LightGBM,1400,200,200,34,0.170000,0.234714,computed
0.448218,0.814493,0.411765,0.560000,0.474576,0.434783,20,11,14,155,actionable_drop,trajectory_plus_crw_plus_habitat_plus_wave,Logistic Regression,1400,200,200,34,0.170000,0.665711,computed
0.422338,0.834515,0.647059,0.440000,0.523810,0.591398,12,28,22,138,actionable_drop,trajectory_plus_crw_plus_habitat_plus_wave,Random Forest,1400,200,200,34,0.170000,0.377913,computed
0.447851,0.850992,0.794118,0.415385,0.545455,0.671642,7,38,27,128,actionable_drop,trajectory_plus_crw_plus_habitat_plus_wave,XGBoost,1400,200,200,34,0.170000,0.150326,computed
0.363496,0.807406,0.382353,0.342105,0.361111,0.373563,21,25,13,141,actionable_drop,trajectory_plus_crw_plus_habitat_plus_wave,LightGBM,1400,200,200,34,0.170000,0.282061,computed
0.508199,0.852232,0.382353,0.619048,0.472727,0.414013,21,8,13,158,actionable_drop,trajectory_plus_oisst_plus_habitat_plus_wave,Logistic Regression,1400,200,200,34,0.170000,0.686526,computed
0.435281,0.849220,0.676471,0.442308,0.534884,0.611702,11,29,23,137,actionable_drop,trajectory_plus_oisst_plus_habitat_plus_wave,Random Forest,1400,200,200,34,0.170000,0.359291,computed
0.377410,0.813607,0.411765,0.341463,0.373333,0.395480,20,27,14,139,actionable_drop,trajectory_plus_oisst_plus_habitat_plus_wave,XGBoost,1400,200,200,34,0.170000,0.295155,computed
0.334170,0.803331,0.529412,0.352941,0.423529,0.481283,16,33,18,133,actionable_drop,trajectory_plus_oisst_plus_habitat_plus_wave,LightGBM,1400,200,200,34,0.170000,0.258471,computed
