target_definition,feature_family,model,learning_strategy,threshold_strategy,selected_threshold,precision_floor,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,train_positive_count,validation_positive_count,test_positive_count,sampling_ratio,hard_negative_rule,status,notes
actionable_drop,canopy_only,Random Forest,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.100000,0.500000,0.484794,0.869773,1.000000,0.369565,0.539683,0.745614,0,58,34,108,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.527446,0.862597,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.400000,0.527446,0.862597,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.500000,0.527446,0.862597,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.543460,0.868976,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.400000,0.543460,0.868976,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.500000,0.543460,0.868976,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.300000,0.563412,0.892629,0.911765,0.462687,0.613861,0.763547,3,36,31,130,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.400000,0.563412,0.892629,0.911765,0.462687,0.613861,0.763547,3,36,31,130,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.563412,0.892629,0.500000,0.531250,0.515152,0.505952,17,15,17,151,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Random Forest,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.530055,0.875000,1.000000,0.369565,0.539683,0.745614,0,58,34,108,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Random Forest,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.200000,0.400000,0.530055,0.875000,0.941176,0.376471,0.537815,0.723982,2,53,32,113,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Random Forest,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.500000,0.530055,0.875000,1.000000,0.369565,0.539683,0.745614,0,58,34,108,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.500948,0.851524,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.400000,0.500948,0.851524,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.500000,0.500948,0.851524,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.486862,0.861977,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.400000,0.486862,0.861977,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.500000,0.486862,0.861977,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.200000,0.300000,0.563412,0.892629,0.911765,0.413333,0.568807,0.734597,3,44,31,122,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,Logistic Regression,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.250000,0.400000,0.563412,0.892629,0.617647,0.488372,0.545455,0.586592,13,22,21,144,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,Logistic Regression,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.300000,0.500000,0.563412,0.892629,0.382353,0.500000,0.433333,0.401235,21,13,13,153,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,Random Forest,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.548896,0.877481,1.000000,0.373626,0.544000,0.748899,0,57,34,109,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,Random Forest,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.200000,0.400000,0.548896,0.877481,0.941176,0.395062,0.556522,0.737327,2,49,32,117,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,Random Forest,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.500000,0.548896,0.877481,0.647059,0.448980,0.530120,0.594595,12,27,22,139,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,XGBoost,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.539210,0.860737,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,XGBoost,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.400000,0.539210,0.860737,0.500000,0.377778,0.430380,0.469613,17,28,17,138,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,XGBoost,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.500000,0.539210,0.860737,0.500000,0.377778,0.430380,0.469613,17,28,17,138,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,LightGBM,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.200000,0.300000,0.559266,0.867736,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,hard_negative_any,computed,
