model_family,feature_set,mean_ap_lift,mean_recall_top_5pct,mean_recall_top_10pct,mean_recall_top_20pct,mean_recall_top_30pct
logistic,daily_stress,0.17662541224243286,0.1034934349877105,0.185132019205727,0.3387060125629909,0.4539673311154645
logistic,monthly_and_daily_crw,0.17282357773649148,0.10184740370455012,0.18619514447563376,0.32089331773790153,0.4609800369450543
logistic,monthly_crw,0.17287560213566536,0.09734134923206453,0.1957471667843552,0.33219069507847065,0.4498087453995683
logistic,prior_trajectory,0.17845397026629817,0.09672818822512688,0.1898494289645717,0.34858825061209175,0.45487626959379057
random_forest,daily_stress,0.15782510230695557,0.09865615765349085,0.17110913359155577,0.31373143795488917,0.44008790941112863
random_forest,monthly_and_daily_crw,0.15897773568927182,0.09826224848990828,0.17454450928314136,0.31280739075731084,0.44240533863140585
random_forest,monthly_crw,0.15996803288196088,0.10053490659269655,0.17367460681957586,0.3204970433555323,0.4361698963607939
random_forest,prior_trajectory,0.17065355378558206,0.10013191457302215,0.17898405554740798,0.31907861565287304,0.44547077890783526
xgboost,daily_stress,0.14215652155136888,0.08649706348197671,0.16224921277445237,0.2968627810501036,0.4224381316531839
xgboost,monthly_and_daily_crw,0.1438762401839051,0.08920455623522869,0.17100391069258813,0.2985334971502461,0.4254142652275393
xgboost,monthly_crw,0.14531982937109275,0.09398891584128351,0.1717819936250043,0.3025393487352287,0.43348145311731107
xgboost,prior_trajectory,0.14538899886027928,0.09116469215978605,0.16470125173175448,0.2991117394545111,0.4380255226513213
