model_family,comparison,metric,mean_difference,ci_low,ci_high,positive_years,negative_years,forecast_years
xgboost,daily_stress_minus_prior_trajectory,recall_top_5pct,-0.004667628677809342,-0.019803899131163434,0.00600585646757031,5,6,20
xgboost,daily_stress_minus_prior_trajectory,recall_top_10pct,-0.0024520389573021314,-0.020809019874182072,0.01158988466236874,7,9,20
xgboost,daily_stress_minus_prior_trajectory,recall_top_20pct,-0.0022489584044074586,-0.02322260117825764,0.022540979316137792,8,7,20
xgboost,daily_stress_minus_prior_trajectory,recall_top_30pct,-0.015587390998137324,-0.039780185306017866,0.015157793305033904,7,11,20
xgboost,daily_stress_minus_monthly_crw,ap_lift,-0.0031633078197238775,-0.034751044329146136,0.023880761802349847,11,9,20
xgboost,daily_stress_minus_monthly_crw,recall_top_5pct,-0.00749185235930679,-0.019194624621628485,0.004957442805872573,7,7,20
xgboost,daily_stress_minus_monthly_crw,recall_top_10pct,-0.009532780850551939,-0.02245839501966987,0.004083385961344903,7,9,20
xgboost,daily_stress_minus_monthly_crw,recall_top_20pct,-0.005676567685125077,-0.026174789199063898,0.021103603721608757,8,6,20
xgboost,daily_stress_minus_monthly_crw,recall_top_30pct,-0.011043321464127152,-0.04207850358298916,0.020755550828846028,9,7,20
xgboost,monthly_and_daily_crw_minus_monthly_crw,ap_lift,-0.0014435891871876453,-0.016216699988031748,0.011433337946670256,10,10,20
xgboost,monthly_and_daily_crw_minus_monthly_crw,recall_top_5pct,-0.004784359606054811,-0.014243352026759972,0.004674181149836255,5,6,20
xgboost,monthly_and_daily_crw_minus_monthly_crw,recall_top_10pct,-0.0007780829324161582,-0.011777669616880626,0.0098811431513123,6,6,20
xgboost,monthly_and_daily_crw_minus_monthly_crw,recall_top_20pct,-0.0040058515849825975,-0.015821544771440186,0.013844682693564599,6,7,20
xgboost,monthly_and_daily_crw_minus_monthly_crw,recall_top_30pct,-0.008067187889771812,-0.024562579791808196,0.010327825790220558,7,6,20
xgboost,monthly_crw_minus_prior_trajectory,ap_lift,-6.916948918653799e-05,-0.03101156278849337,0.022851113331428707,11,9,20
xgboost,monthly_crw_minus_prior_trajectory,recall_top_5pct,0.002824223681497448,-0.0128590337772755,0.013821415243448813,6,6,20
xgboost,monthly_crw_minus_prior_trajectory,recall_top_10pct,0.007080741893249806,-0.014693349281497287,0.020695305380973878,8,7,20
xgboost,monthly_crw_minus_prior_trajectory,recall_top_20pct,0.0034276092807176183,-0.031099059002374946,0.026710554793204153,10,7,20
xgboost,monthly_crw_minus_prior_trajectory,recall_top_30pct,-0.004544069534010172,-0.02958880240952495,0.019851576193656368,7,10,20
