support_m,model_family,feature_set,estimable_years,macro_within_year_ap_lift,year_bootstrap_ci_low,year_bootstrap_ci_high,micro_brier,micro_recall_top20
300,logistic_linear,trajectory,14,0.1419396655828222,0.08524639159833797,0.19990444331669416,0.25654430266766626,0.2692307692307692
300,logistic_linear,trajectory_plus_field_state,14,0.17700403862739872,0.10861902836383261,0.2598655841429484,0.2680435655850535,0.26573426573426573
300,logistic_linear,trajectory_plus_full_regime,14,0.1331661204551101,0.0750698370238198,0.19477893272091604,0.2750197812160227,0.2692307692307692
300,logistic_linear,trajectory_plus_paper_environment,14,0.163113051784827,0.08988527015084725,0.2366118357610731,0.26003682307037146,0.2867132867132867
300,logistic_linear,trajectory_plus_paper_full,14,0.18952765676419128,0.10623500943419208,0.28746553278637516,0.26493760868526656,0.2762237762237762
300,logistic_spline,trajectory,14,0.14560038578346815,0.08454226389517579,0.20731710817269036,0.2542341250370046,0.2727272727272727
300,logistic_spline,trajectory_plus_field_state,14,0.1518030346442482,0.08050041340188084,0.23461526459261,0.2849724227428487,0.25874125874125875
300,logistic_spline,trajectory_plus_full_regime,14,0.14535942821925296,0.09067964665925424,0.20076976788665507,0.30359893037481733,0.2727272727272727
300,logistic_spline,trajectory_plus_paper_environment,14,0.1788794529018094,0.09810179100382355,0.27483508353916836,0.2850091563235721,0.26223776223776224
300,logistic_spline,trajectory_plus_paper_full,14,0.18340430842091024,0.10412472625687128,0.28284725042607917,0.29633922380464023,0.26573426573426573
300,random_forest,trajectory,14,0.14013413769306857,0.07094147285682226,0.21527358237004743,0.2489109049020732,0.2692307692307692
300,random_forest,trajectory_plus_field_state,14,0.16073400264246926,0.10015212183966835,0.2142119237978879,0.243965486837726,0.28321678321678323
300,random_forest,trajectory_plus_full_regime,14,0.18942671045809553,0.12397030458545011,0.25632053158097823,0.23688681281838256,0.2902097902097902
300,random_forest,trajectory_plus_paper_environment,14,0.18557799760550145,0.11713585948543402,0.24812307517050392,0.2367003818120457,0.3076923076923077
300,random_forest,trajectory_plus_paper_full,14,0.1820212551446882,0.11903715798228225,0.2458833786766714,0.23712050781613409,0.3006993006993007
300,xgboost,trajectory,14,0.12003998623057469,0.05174674005623597,0.19385158602922806,0.25209694508841934,0.24475524475524477
300,xgboost,trajectory_plus_field_state,14,0.14906935842535812,0.08693986245510854,0.21221830424690666,0.2494872469323379,0.25874125874125875
300,xgboost,trajectory_plus_full_regime,14,0.18170565596443228,0.11913014051963342,0.2432785268303173,0.24817701750001073,0.2867132867132867
300,xgboost,trajectory_plus_paper_environment,14,0.1892635355596879,0.11997756268120628,0.25990267569600817,0.24534515898282122,0.3041958041958042
300,xgboost,trajectory_plus_paper_full,14,0.19165249061039705,0.12342345416433381,0.2530177135820329,0.24681337973429252,0.28321678321678323
1000,logistic_linear,trajectory,14,0.1281947921475266,0.04786147852499904,0.21612330918797013,0.2558762767123611,0.2678062678062678
1000,logistic_linear,trajectory_plus_field_state,14,0.15950038082754633,0.08744382825041233,0.23454077417872,0.2604078044561035,0.2849002849002849
1000,logistic_linear,trajectory_plus_full_regime,14,0.11353101154786249,0.04081739719218203,0.19067244627121596,0.2846027184412632,0.245014245014245
1000,logistic_linear,trajectory_plus_paper_environment,14,0.11588285353032891,0.05391635518505327,0.18327225708261358,0.26672031080969494,0.2564102564102564
1000,logistic_linear,trajectory_plus_paper_full,14,0.1627752837336008,0.07207388095751628,0.2640284934338964,0.2686319664890421,0.27350427350427353
1000,logistic_spline,trajectory,14,0.13248396758785783,0.05356222589207353,0.22163161961711156,0.25408350617773595,0.27350427350427353
1000,logistic_spline,trajectory_plus_field_state,14,0.10203349988741972,0.05226147849568378,0.1555673872599776,0.27606720074596725,0.24216524216524216
1000,logistic_spline,trajectory_plus_full_regime,14,0.10344012423934226,0.048813806435192765,0.1661279630465685,0.3053355210783512,0.245014245014245
1000,logistic_spline,trajectory_plus_paper_environment,14,0.15000308881307367,0.08668598818143289,0.22556029295988922,0.27488569017690584,0.27635327635327633
1000,logistic_spline,trajectory_plus_paper_full,14,0.15196331904777027,0.07583205935376995,0.24939178570519402,0.295183215171721,0.2706552706552707
1000,random_forest,trajectory,14,0.14669489594943816,0.0879607851032189,0.20871158490507838,0.24849622224383425,0.27635327635327633
1000,random_forest,trajectory_plus_field_state,14,0.1585860262711852,0.0770556923022879,0.2592058935258783,0.24730666853723768,0.27350427350427353
1000,random_forest,trajectory_plus_full_regime,14,0.1802943662454228,0.10813046497854942,0.2689067110716579,0.24291587399664408,0.29914529914529914
1000,random_forest,trajectory_plus_paper_environment,14,0.15570375451532753,0.09350479872682474,0.21979954967272397,0.24272207560982076,0.25925925925925924
1000,random_forest,trajectory_plus_paper_full,14,0.16130030524133224,0.08671560960734097,0.25287337423061773,0.24396842942274738,0.2792022792022792
1000,xgboost,trajectory,14,0.13939592102078566,0.08507253651380586,0.1933674789129315,0.2499349053081471,0.2678062678062678
1000,xgboost,trajectory_plus_field_state,14,0.12653684222494438,0.06988276876284721,0.18924999030517325,0.2521590217302431,0.2678062678062678
1000,xgboost,trajectory_plus_full_regime,14,0.17280965606398915,0.08385704987034187,0.27082514169239097,0.250620030795471,0.26495726495726496
1000,xgboost,trajectory_plus_paper_environment,14,0.17360287634047314,0.09606011711128709,0.25442707093137007,0.24616615386119328,0.27350427350427353
1000,xgboost,trajectory_plus_paper_full,14,0.17984243717944767,0.09744370036066,0.27192989870895024,0.2502474932779654,0.27350427350427353
