support_m,model_family,top20_recall_gain,brier_improvement
300,logistic_linear,0.006993006993006978,-0.0083933060176003
300,logistic_spline,-0.006993006993007034,-0.042105098767635574
300,random_forest,0.03146853146853146,0.011790397085939208
300,xgboost,0.038461538461538464,0.005283565354126801
1000,logistic_linear,0.005698005698005659,-0.012755689776681012
1000,logistic_spline,-0.002849002849002802,-0.04109970899398513
1000,random_forest,0.002849002849002913,0.004527792821086896
1000,xgboost,0.005698005698005659,-0.00031258796981831205
