support_m,model_family,feature_set,year,n,events,prevalence,ap,ap_lift,brier,log_loss,selected,true_positives
300,logistic_linear,trajectory,2008,80,27,0.3375,0.48060754235166336,0.14310754235166334,0.2134698258911402,0.6155210960910142,16,7
300,logistic_linear,trajectory,2009,56,17,0.30357142857142855,0.4234944351654849,0.11992300659405636,0.30629208973749683,1.4557632434063434,12,4
300,logistic_linear,trajectory,2010,71,45,0.6338028169014085,0.8598401440253738,0.2260373271239653,0.28197469740030545,0.7677376538442867,15,14
300,logistic_linear,trajectory,2011,68,29,0.4264705882352941,0.7363459461352017,0.30987535789990756,0.20412504724913572,0.5858100143088484,14,12
300,logistic_linear,trajectory,2012,44,12,0.2727272727272727,0.38090791012205805,0.10818063739478534,0.2600035332086631,0.767336926473794,9,3
300,logistic_linear,trajectory,2013,39,31,0.7948717948717948,0.7969693179059166,0.0020975230341218065,0.33432589097803506,0.8867513109803858,8,6
300,logistic_linear,trajectory,2014,43,18,0.4186046511627907,0.5153336130813433,0.09672896191855257,0.2685621838212444,0.7900376511279408,9,5
300,logistic_linear,trajectory,2015,37,13,0.35135135135135137,0.6705877455877456,0.3192363942363942,0.19599237590986218,0.5809173424138055,8,6
300,logistic_linear,trajectory,2016,37,22,0.5945945945945946,0.5691130808103604,-0.025481513784234244,0.2965754843706509,0.8088140795233806,8,3
300,logistic_linear,trajectory,2017,35,10,0.2857142857142857,0.43246406371406376,0.14674977799977806,0.2335817471697747,0.663935437339214,7,2
300,logistic_linear,trajectory,2018,44,35,0.7954545454545454,0.7662409645385987,-0.029213580915946724,0.3305649360087258,0.8682865279580381,9,7
300,logistic_linear,trajectory,2019,30,9,0.3,0.3659208022251501,0.06592080222515012,0.2287171073423596,0.6500339325060567,6,2
300,logistic_linear,trajectory,2020,36,14,0.3888888888888889,0.662034632034632,0.2731457431457431,0.20718951435029673,0.6037209445870176,8,5
300,logistic_linear,trajectory,2021,21,4,0.19047619047619047,0.4213235294117647,0.23084733893557424,0.23912591279978776,0.665000248317527,5,1
300,logistic_linear,trajectory_plus_field_state,2008,80,27,0.3375,0.4878563779594135,0.15035637795941348,0.22197899684811695,0.6615050858496622,16,8
300,logistic_linear,trajectory_plus_field_state,2009,56,17,0.30357142857142855,0.4110121753270636,0.10744074675563503,0.3473801147193347,1.51903932744974,12,3
300,logistic_linear,trajectory_plus_field_state,2010,71,45,0.6338028169014085,0.8777913536968344,0.24398853679542587,0.26370118558745687,0.7756737596897763,15,15
300,logistic_linear,trajectory_plus_field_state,2011,68,29,0.4264705882352941,0.5762505010484171,0.14977991281312303,0.22136914770085386,0.6306895360588343,14,9
300,logistic_linear,trajectory_plus_field_state,2012,44,12,0.2727272727272727,0.4312920452546411,0.1585647725273684,0.24994768535567893,0.75608366137111,9,3
300,logistic_linear,trajectory_plus_field_state,2013,39,31,0.7948717948717948,0.8125276225397191,0.017655827667924284,0.3438793896475571,0.939913750957933,8,6
300,logistic_linear,trajectory_plus_field_state,2014,43,18,0.4186046511627907,0.57117916849449,0.1525745173316993,0.28086470291064713,0.8410406279385134,9,5
300,logistic_linear,trajectory_plus_field_state,2015,37,13,0.35135135135135137,0.39827406702406704,0.046922715672715665,0.2853387268663775,0.7723941991793396,8,3
300,logistic_linear,trajectory_plus_field_state,2016,37,22,0.5945945945945946,0.6426629238052125,0.04806832921061788,0.2543788196229538,0.9049340132046408,8,3
300,logistic_linear,trajectory_plus_field_state,2017,35,10,0.2857142857142857,0.562118758434548,0.27640447272026225,0.23290109381492752,0.6985597059652896,7,4
300,logistic_linear,trajectory_plus_field_state,2018,44,35,0.7954545454545454,0.8179621074099401,0.022507561955394717,0.29134379167712265,0.7872566824860668,9,7
300,logistic_linear,trajectory_plus_field_state,2019,30,9,0.3,0.6323420950871932,0.3323420950871932,0.20364384598611765,0.5956725074477794,6,3
300,logistic_linear,trajectory_plus_field_state,2020,36,14,0.3888888888888889,0.5452601980963325,0.15637130920744363,0.2800068958027044,0.7562462294434423,8,4
300,logistic_linear,trajectory_plus_field_state,2021,21,4,0.19047619047619047,0.8055555555555556,0.6150793650793651,0.3434513621216789,0.8960251129957664,5,3
300,logistic_linear,trajectory_plus_full_regime,2008,80,27,0.3375,0.4602098736940294,0.12270987369402936,0.23448291889691225,0.6916147854379802,16,7
300,logistic_linear,trajectory_plus_full_regime,2009,56,17,0.30357142857142855,0.40646732303452093,0.10289589446309239,0.36776156617690925,1.4226295144797483,12,3
300,logistic_linear,trajectory_plus_full_regime,2010,71,45,0.6338028169014085,0.8854096765937179,0.25160685969230945,0.24046543624502537,0.7813694318184682,15,14
300,logistic_linear,trajectory_plus_full_regime,2011,68,29,0.4264705882352941,0.5853657439586442,0.15889515572335006,0.22769239556099585,0.6572356938292335,14,9
300,logistic_linear,trajectory_plus_full_regime,2012,44,12,0.2727272727272727,0.5640778710900662,0.29135059836279353,0.1746432943964891,0.5295873089423591,9,5
300,logistic_linear,trajectory_plus_full_regime,2013,39,31,0.7948717948717948,0.7908293153189674,-0.004042479552827438,0.33196738705917306,0.9273224554212219,8,6
300,logistic_linear,trajectory_plus_full_regime,2014,43,18,0.4186046511627907,0.5388013617209376,0.1201967105581469,0.29621006849981624,1.0252056910754423,9,5
300,logistic_linear,trajectory_plus_full_regime,2015,37,13,0.35135135135135137,0.33213581565253236,-0.01921553569881901,0.35812944837078897,0.9974945194268887,8,3
300,logistic_linear,trajectory_plus_full_regime,2016,37,22,0.5945945945945946,0.587496359771198,-0.007098234823396665,0.31232583020620247,1.0463410088861647,8,3
300,logistic_linear,trajectory_plus_full_regime,2017,35,10,0.2857142857142857,0.4521953536659419,0.16648106795165618,0.22483647341127724,0.8719877012250892,7,3
300,logistic_linear,trajectory_plus_full_regime,2018,44,35,0.7954545454545454,0.8285174739839616,0.03306292852941617,0.35471955084101764,0.9507535073047347,9,9
300,logistic_linear,trajectory_plus_full_regime,2019,30,9,0.3,0.6920472844385888,0.3920472844385888,0.18437355266075256,0.541128098966168,6,4
300,logistic_linear,trajectory_plus_full_regime,2020,36,14,0.3888888888888889,0.4522533651141616,0.06336447622527269,0.32775038359767505,1.25192032999258,8,5
300,logistic_linear,trajectory_plus_full_regime,2021,21,4,0.19047619047619047,0.3825472772841194,0.19207108680792895,0.25696196061589144,0.803416398686069,5,1
300,logistic_linear,trajectory_plus_paper_environment,2008,80,27,0.3375,0.47492315115602257,0.13742315115602255,0.2256141168507723,0.6619194583731483,16,7
300,logistic_linear,trajectory_plus_paper_environment,2009,56,17,0.30357142857142855,0.3920135386256363,0.08844211005420777,0.36414199864430535,1.3855774420720428,12,3
300,logistic_linear,trajectory_plus_paper_environment,2010,71,45,0.6338028169014085,0.8726740841216385,0.23887126722023,0.24437689365448403,0.7806547629184767,15,14
300,logistic_linear,trajectory_plus_paper_environment,2011,68,29,0.4264705882352941,0.6171450333040454,0.19067444506875125,0.2365557931147654,0.6765522172736356,14,9
300,logistic_linear,trajectory_plus_paper_environment,2012,44,12,0.2727272727272727,0.5322186098871081,0.2594913371598354,0.2022437321788492,0.6359367103959644,9,6
300,logistic_linear,trajectory_plus_paper_environment,2013,39,31,0.7948717948717948,0.7852505869392726,-0.009621207932522191,0.35079928760259915,0.9523953813245584,8,6
300,logistic_linear,trajectory_plus_paper_environment,2014,43,18,0.4186046511627907,0.5389391937152329,0.12033454255244219,0.2837204299623252,0.9626804495822369,9,6
300,logistic_linear,trajectory_plus_paper_environment,2015,37,13,0.35135135135135137,0.2906184969958586,-0.06073285435549275,0.3139999837293553,0.870614046371606,8,3
300,logistic_linear,trajectory_plus_paper_environment,2016,37,22,0.5945945945945946,0.7528461943339351,0.15825159973934044,0.19281062869146495,0.6149394088422737,8,6
300,logistic_linear,trajectory_plus_paper_environment,2017,35,10,0.2857142857142857,0.7317683041596085,0.4460540184453228,0.16507211242695294,0.5037966490922695,7,6
