support_m,model_family,context,disturbance_regime,grazing_level,n,events,paper_full_ap_gain,paper_full_brier_improvement
1000,logistic_spline,giant_central_southwest,transition,low,22,6,-0.16641490317960905,-0.05057444076129302
1000,logistic_spline,giant_central_southwest,grazer_era,high,84,24,-0.07080328542401326,-0.1814800684598989
1000,logistic_spline,giant_southeast,pre_mhw,high,72,29,0.04679371715872771,-0.01639758932458585
1000,logistic_spline,giant_southeast,pre_mhw,low,27,12,0.07771075414878437,-0.05151864126623602
1000,logistic_spline,giant_southeast,transition,high,20,10,0.0823930726136608,-0.09058621125318006
1000,logistic_spline,giant_southeast,transition,low,51,20,0.01831700588162538,-0.06915498068697638
1000,logistic_spline,giant_southeast,grazer_era,low,21,5,-0.22329004329004332,-0.05006826136456007
1000,random_forest,bull_north,pre_mhw,low,20,10,0.033653846153846256,0.010209025962145443
1000,random_forest,giant_central_southwest,pre_mhw,high,60,29,0.0031891572789162215,0.01858369327044433
1000,random_forest,giant_central_southwest,pre_mhw,low,272,106,0.021856920980666272,0.002073927098352699
1000,random_forest,giant_central_southwest,transition,high,149,77,-0.03894796294836489,0.021373252969921288
1000,random_forest,giant_central_southwest,transition,low,22,6,0.0127784739626845,-0.002987950471767992
1000,random_forest,giant_central_southwest,grazer_era,high,84,24,0.03962266783944446,-0.048222093755064886
1000,random_forest,giant_southeast,pre_mhw,high,72,29,0.0033608746089790476,0.011820666905727188
1000,random_forest,giant_southeast,pre_mhw,low,27,12,-0.004992077853919918,-0.0011649230940269507
1000,random_forest,giant_southeast,transition,high,20,10,-0.10922619047619042,-0.020496394060159597
1000,random_forest,giant_southeast,transition,low,51,20,-0.025285215883927625,-0.00436653875278995
1000,random_forest,giant_southeast,grazer_era,low,21,5,0.12834249084249078,0.013173017654069589
1000,xgboost,bull_north,pre_mhw,low,20,10,0.0,0.0
1000,xgboost,giant_central_southwest,pre_mhw,high,60,29,0.07459263918631431,0.02713000480459467
1000,xgboost,giant_central_southwest,pre_mhw,low,272,106,0.03900998104509501,0.0005073133137878105
1000,xgboost,giant_central_southwest,transition,high,149,77,0.006279751402867184,0.03165619782108285
1000,xgboost,giant_central_southwest,transition,low,22,6,0.10867465867465864,0.023800070338444546
1000,xgboost,giant_central_southwest,grazer_era,high,84,24,-0.07902166628304674,-0.0712835677920111
1000,xgboost,giant_southeast,pre_mhw,high,72,29,0.04922526986064313,0.008642642562681765
1000,xgboost,giant_southeast,pre_mhw,low,27,12,0.048859126984126866,-0.011925207854951082
1000,xgboost,giant_southeast,transition,high,20,10,-0.008531003310415008,-0.041740527038588084
1000,xgboost,giant_southeast,transition,low,51,20,-0.06282272933108873,-0.0447727987981935
1000,xgboost,giant_southeast,grazer_era,low,21,5,0.1982471776589423,0.03130194439806072
