scenario,estimable_years,macro_ap_gain,minimum_year_gain,maximum_year_gain
all_contexts,14,0.037803922637442075,-0.16533368373567792,0.5286764705882352
exclude_bull_north,13,0.020440384281172903,-0.191849227115793,0.31278347926898653
exclude_giant_central_southwest,13,0.008930072800555437,-0.23524461335547286,0.49807692307692303
exclude_giant_southeast,14,0.017152481446210694,-0.2062502014110258,0.5286764705882352
only_bull_north,5,-0.25,-0.8,0.050000000000000044
only_giant_central_southwest,13,0.0022212674620526365,-0.22099583423112845,0.24919750601749724
only_giant_southeast,12,0.02977193924309308,-0.38,0.75
