domain,model_family,feature_set,budget_fraction,year,n_candidates,selected_n,events,true_positives,precision,recall
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2008,331,17,95,14,0.8235294117647058,0.14736842105263157
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2009,341,18,163,11,0.6111111111111112,0.06748466257668712
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2010,328,17,162,17,1.0,0.10493827160493827
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2011,280,14,109,12,0.8571428571428571,0.11009174311926606
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2012,290,15,63,13,0.8666666666666667,0.20634920634920634
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2013,335,17,213,15,0.8823529411764706,0.07042253521126761
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2014,293,15,116,11,0.7333333333333333,0.09482758620689655
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2015,253,13,123,11,0.8461538461538461,0.08943089430894309
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2016,232,12,80,8,0.6666666666666666,0.1
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2017,251,13,49,6,0.46153846153846156,0.12244897959183673
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2018,277,14,208,14,1.0,0.0673076923076923
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2019,199,10,63,6,0.6,0.09523809523809523
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2020,239,12,90,9,0.75,0.1
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2021,229,12,83,7,0.5833333333333334,0.08433734939759036
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2022,225,12,150,10,0.8333333333333334,0.06666666666666667
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2023,179,9,32,4,0.4444444444444444,0.125
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,2024,204,11,51,4,0.36363636363636365,0.0784313725490196
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,2005,312,32,186,30,0.9375,0.16129032258064516
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,2006,285,29,54,21,0.7241379310344828,0.3888888888888889
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,2007,328,33,94,24,0.7272727272727273,0.2553191489361702
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,2008,331,34,95,25,0.7352941176470589,0.2631578947368421
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,2009,341,35,163,21,0.6,0.12883435582822086
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,2010,328,33,162,28,0.8484848484848485,0.1728395061728395
