domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2010,225,136,0.6044444444444445,0.7933699833405657,0.1889255388961213,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2011,186,65,0.34946236559139787,0.555849857145039,0.2063874915536411,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2012,196,28,0.14285714285714285,0.5201101246176881,0.3772529817605453,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2013,230,185,0.8043478260869565,0.8168985943453869,0.012550768258430378,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2014,188,73,0.3882978723404255,0.41959662093319705,0.03129874859277154,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2015,163,53,0.32515337423312884,0.48408475781083765,0.1589313835777088,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2016,168,71,0.4226190476190476,0.609918589838803,0.18729954221975537,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2017,175,36,0.2057142857142857,0.313386060806593,0.10767177509230727,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2018,181,156,0.861878453038674,0.8979505615873796,0.03607210854870557,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2019,123,21,0.17073170731707318,0.24118464092100345,0.07045293360393026,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2020,156,56,0.358974358974359,0.41566128374976075,0.05668692477540177,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2021,161,46,0.2857142857142857,0.4261924172172483,0.14047813150296262,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2022,160,126,0.7875,0.8559706468905142,0.06847064689051419,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2023,111,10,0.09009009009009009,0.3745587868446407,0.28446869675455067,True
upwelling_supported_domain,xgboost,current_plus_trajectory,expanding_window,2024,138,39,0.2826086956521739,0.3549855646715643,0.07237686901939039,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2005,207,129,0.6231884057971014,0.762160503923214,0.13897209812611255,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2006,191,39,0.20418848167539266,0.6002765119110601,0.39608803023566747,True
