check,value
panel_rows,15456
panel_cells,368
panel_year_min,1984
panel_year_max,2025
panel_duplicate_keys,0
environment_rows,15456
environment_duplicate_keys,0
merged_rows,15456
primary_eligible_rows,9659
primary_eligible_cells,368
primary_missing_relative_drop,0
supported_upwelling_cells,251
