domain,model_family,feature_set,budget_fraction,years,total_selected,total_events,total_true_positives,micro_recall,recall_ci_low,recall_ci_high,micro_precision,precision_ci_low,precision_ci_high
full_oisst_domain,logistic,current_only,0.05,20,279,2184,193,0.08836996336996338,0.07567547517844254,0.10510606874328676,0.6917562724014337,0.6068639144589133,0.7647110423116614
full_oisst_domain,logistic,current_only,0.1,20,550,2184,372,0.17032967032967034,0.14938244316908814,0.1977086788572178,0.6763636363636364,0.5868929906542056,0.7539280915535376
full_oisst_domain,logistic,current_only,0.2,20,1089,2184,648,0.2967032967032967,0.2726126736963519,0.3282078472958643,0.5950413223140496,0.512696591402335,0.6710250384404056
full_oisst_domain,logistic,current_only,0.3,20,1632,2184,893,0.4088827838827839,0.38569398597978816,0.43912051840203176,0.5471813725490197,0.46814727305269466,0.6234008903590611
full_oisst_domain,logistic,current_plus_trajectory,0.05,20,279,2184,210,0.09615384615384616,0.08292334489975765,0.11556346247059375,0.7526881720430108,0.6705404334038054,0.8247422680412371
full_oisst_domain,logistic,current_plus_trajectory,0.1,20,550,2184,394,0.1804029304029304,0.15767160042362924,0.2122459891913627,0.7163636363636363,0.642853767215771,0.7804920173554067
full_oisst_domain,logistic,current_plus_trajectory,0.2,20,1089,2184,685,0.31364468864468864,0.28637827694301005,0.3510007128900033,0.6290174471992653,0.562618883191317,0.6925735549900218
full_oisst_domain,logistic,current_plus_trajectory,0.3,20,1632,2184,926,0.423992673992674,0.40024249118189226,0.4569430700117147,0.5674019607843137,0.49311684995303695,0.644445087820884
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,20,279,2184,208,0.09523809523809523,0.0824925733133272,0.11322871574273405,0.7455197132616488,0.6715315291575535,0.8104118567794951
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,20,550,2184,368,0.1684981684981685,0.14980348418781256,0.19513632374679252,0.6690909090909091,0.5984678230868753,0.7356750810036922
full_oisst_domain,logistic,trajectory_plus_oisst,0.2,20,1089,2184,654,0.29945054945054944,0.2740325491005255,0.33485950069348125,0.6005509641873278,0.5389203031983293,0.666673951048951
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,20,1632,2184,914,0.4184981684981685,0.3940132597343154,0.45170243787304226,0.5600490196078431,0.4877395506446962,0.6365908838255745
full_oisst_domain,random_forest,current_only,0.05,20,279,2184,195,0.08928571428571429,0.0772713647264007,0.10806700377089021,0.6989247311827957,0.623066037735849,0.7712205458232056
full_oisst_domain,random_forest,current_only,0.1,20,550,2184,369,0.16895604395604397,0.14864633820750842,0.19771296520667997,0.6709090909090909,0.5914846559598825,0.7445811044085286
full_oisst_domain,random_forest,current_only,0.2,20,1089,2184,651,0.2980769230769231,0.27485480894485453,0.33017711537790284,0.5977961432506887,0.5193313944096971,0.6727933508311461
full_oisst_domain,random_forest,current_only,0.3,20,1632,2184,883,0.4043040293040293,0.3806927400080342,0.43320816256523537,0.5410539215686274,0.4607997804075212,0.6150121792494674
full_oisst_domain,random_forest,current_plus_trajectory,0.05,20,279,2184,208,0.09523809523809523,0.08352691198039665,0.1130069299374841,0.7455197132616488,0.6776315789473685,0.8133802816901409
