decline_threshold,canopy_cutoff,domain,comparison,estimate,ci_low,ci_high,estimable_years
0.2,0.02,full_oisst_domain,trajectory_minus_current,0.027741858197848256,0.014597744960663562,0.04329077993531118,20
0.2,0.02,full_oisst_domain,oisst_minus_trajectory,-0.011279067045388311,-0.028286757623012904,0.004542346870307637,20
0.2,0.02,upwelling_supported_domain,trajectory_minus_current,0.021891056920602506,0.005720396067690186,0.04002631869704353,20
0.2,0.02,upwelling_supported_domain,oisst_minus_trajectory,-0.0042575007251691496,-0.01635674129071973,0.007808604226944187,20
0.2,0.02,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.00976718698798073,-0.021792325459512284,0.0018078064691335778,20
0.2,0.05,full_oisst_domain,trajectory_minus_current,0.029459542753276623,0.015370711877574697,0.044897892513241416,20
0.2,0.05,full_oisst_domain,oisst_minus_trajectory,-0.01125331446541047,-0.027240474701863485,0.004392302682718773,20
0.2,0.05,upwelling_supported_domain,trajectory_minus_current,0.02178862624489837,0.00447932367936462,0.04123259045069807,20
0.2,0.05,upwelling_supported_domain,oisst_minus_trajectory,-0.0034185664832872983,-0.016350707662733516,0.009069513359907654,20
0.2,0.05,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.008599408403551338,-0.022100934742961684,0.0033611148639346566,20
0.2,0.1,full_oisst_domain,trajectory_minus_current,0.026638335092379263,0.012763674277686059,0.041960311736390976,20
0.2,0.1,full_oisst_domain,oisst_minus_trajectory,-0.011394657555305452,-0.027323985147513778,0.0051293326217764276,20
0.2,0.1,upwelling_supported_domain,trajectory_minus_current,0.02363328242500289,0.0064404178223908155,0.04519425782762609,20
0.2,0.1,upwelling_supported_domain,oisst_minus_trajectory,-0.0042526414126126235,-0.018432743397741834,0.010789963825715837,20
0.2,0.1,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.012017104813273052,-0.026804683428810833,0.001607201911479578,20
0.3,0.02,full_oisst_domain,trajectory_minus_current,0.03556235695609882,0.01837983889346439,0.05468581553898057,20
0.3,0.02,full_oisst_domain,oisst_minus_trajectory,-0.016136191838018035,-0.03764430657583265,0.0037137229213949226,20
0.3,0.02,upwelling_supported_domain,trajectory_minus_current,0.026281852030231388,0.005636491930393477,0.04997278586213576,20
0.3,0.02,upwelling_supported_domain,oisst_minus_trajectory,-0.004720411357611304,-0.02110323211163499,0.009807486829117622,20
0.3,0.02,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.011499033866060816,-0.025806988366282667,0.0037393986082619873,20
0.3,0.05,full_oisst_domain,trajectory_minus_current,0.037949738594475715,0.019910914895663438,0.05630333512845248,20
0.3,0.05,full_oisst_domain,oisst_minus_trajectory,-0.017027959747699727,-0.038753330590701573,0.0029994485709157904,20
0.3,0.05,upwelling_supported_domain,trajectory_minus_current,0.027781708361889278,0.006497768185463669,0.05215747594401481,20
0.3,0.05,upwelling_supported_domain,oisst_minus_trajectory,-0.004708322511534693,-0.02130140248551399,0.011175081881033722,20
0.3,0.05,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.008991192125318112,-0.024636573615901325,0.007252836564623377,20
0.3,0.1,full_oisst_domain,trajectory_minus_current,0.03796609822360498,0.020806530081913327,0.05601604995636276,20
0.3,0.1,full_oisst_domain,oisst_minus_trajectory,-0.01883511885379441,-0.041696637428071635,0.003180835191422219,20
0.3,0.1,upwelling_supported_domain,trajectory_minus_current,0.033366950202221246,0.010125404747960445,0.05921483179859621,20
0.3,0.1,upwelling_supported_domain,oisst_minus_trajectory,-0.004388103488405032,-0.023868716053328617,0.015673606079274486,20
0.3,0.1,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.012575980511715218,-0.030734602905280017,0.00401067430283768,20
0.4,0.02,full_oisst_domain,trajectory_minus_current,0.04092260819565057,0.02211046322547016,0.06213984658657303,20
0.4,0.02,full_oisst_domain,oisst_minus_trajectory,-0.02090260796915045,-0.043803155229464624,0.0008173353055631569,20
0.4,0.02,upwelling_supported_domain,trajectory_minus_current,0.03205648007835866,0.010851178570136634,0.056018434946800366,20
0.4,0.02,upwelling_supported_domain,oisst_minus_trajectory,-0.0071012007027652395,-0.024138758582996637,0.007802877577654791,20
0.4,0.02,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.015976440646611148,-0.03681026323776421,0.004239951184937317,20
0.4,0.05,full_oisst_domain,trajectory_minus_current,0.04442414452519776,0.024924739732951787,0.06552563599907485,20
0.4,0.05,full_oisst_domain,oisst_minus_trajectory,-0.020879083099918042,-0.04448254454913898,0.0006579120740986879,20
0.4,0.05,upwelling_supported_domain,trajectory_minus_current,0.037095300414377155,0.01176373729091031,0.06620708976700496,20
0.4,0.05,upwelling_supported_domain,oisst_minus_trajectory,-0.007780779313141685,-0.02565052647934604,0.01017988000132109,20
0.4,0.05,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.018126460645793617,-0.03869575859318122,0.0013469047193405998,20
0.4,0.1,full_oisst_domain,trajectory_minus_current,0.04506321494368246,0.026426469934942,0.06552813955526984,20
0.4,0.1,full_oisst_domain,oisst_minus_trajectory,-0.02280747555876449,-0.04634442258083852,0.00032509740021647947,20
0.4,0.1,upwelling_supported_domain,trajectory_minus_current,0.04373363939219512,0.01538921845310661,0.07958909056376585,20
0.4,0.1,upwelling_supported_domain,oisst_minus_trajectory,-0.0065449168986114106,-0.02822448368779845,0.013149983064798981,20
0.4,0.1,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.0200197849932927,-0.044690695571854434,0.0010919847373718902,20
