protocol,repeat,domain,model_family,feature_set,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss
random_cell_year_cv,0,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5675915665851374,0.16396931561489164,0.1529279904498045,20,0.22339491260248917,0.6404410256392943
random_cell_year_cv,0,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5997270189514523,0.19610476798120652,0.1981001282270533,20,0.2158936223667808,0.6242057621483615
random_cell_year_cv,0,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6014027168094265,0.19778046583918069,0.1901748976590963,20,0.2144471708640822,0.6207894856316599
random_cell_year_cv,1,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5678570455294792,0.16423479455923345,0.1531107366796299,20,0.22337418944849463,0.6404115814385067
random_cell_year_cv,1,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.6001690930993909,0.19654684212914514,0.19809481838205192,20,0.21578883416717898,0.6239230999224686
random_cell_year_cv,1,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6011791112576449,0.1975568602873991,0.19053712961482352,20,0.2144638673944508,0.6206920814038737
random_cell_year_cv,2,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5679323899569116,0.16431013898666585,0.1528429325372826,20,0.22335134857726976,0.6403122262519516
random_cell_year_cv,2,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5985043189711261,0.19488206800088032,0.19613002609558486,20,0.21616890141018053,0.6247093159022382
random_cell_year_cv,2,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6001474031645049,0.1965251521942591,0.18936408667304783,20,0.21479177987685996,0.6213910195419555
random_cell_year_cv,3,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.567802064813489,0.16417981384324326,0.15309015891956812,20,0.22335283815360232,0.6403479811837347
random_cell_year_cv,3,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.6002697968439491,0.1966475458737033,0.19805400765048117,20,0.2156857307270491,0.6236393061124429
random_cell_year_cv,3,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6019401571682039,0.19831790619795814,0.19161837093042408,20,0.21429754650346572,0.6203250654520559
random_cell_year_cv,4,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.567729443047867,0.1641071920776212,0.15266697046329977,20,0.22334748821704684,0.6403690655451058
random_cell_year_cv,4,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5993440809531478,0.19572182998290205,0.19656530706916495,20,0.21588217771582802,0.6240885331527241
random_cell_year_cv,4,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.599839811959873,0.19621756098962723,0.18918880774355962,20,0.21472129535754345,0.6212759074776517
random_cell_year_cv,5,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5668073696322452,0.16318511866199942,0.15234870950859808,20,0.22350596098621686,0.6406470491439609
random_cell_year_cv,5,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5997538045046986,0.19613155353445283,0.1972565782849375,20,0.21587978674190308,0.6239514593801703
random_cell_year_cv,5,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6017388364165641,0.19811658544631833,0.19047538439737424,20,0.2143775861187798,0.6203552238039999
random_cell_year_cv,6,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5680801711966585,0.16445792022641276,0.1533056158281872,20,0.22333659358070898,0.6402398925177227
random_cell_year_cv,6,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.6000108465504689,0.1963885955802231,0.1966423436729537,20,0.21583500572156883,0.6238703699194842
random_cell_year_cv,6,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6019416728298379,0.19831942185959212,0.1911239561603193,20,0.21429065944299022,0.6202224095372209
random_cell_year_cv,7,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5678158666259865,0.1641936156557407,0.15316580656119913,20,0.22335761933039505,0.640348857330487
random_cell_year_cv,7,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.6001820248874926,0.19655977391724683,0.19839373649364261,20,0.2158066034420837,0.623870586345658
random_cell_year_cv,7,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6016706994047174,0.1980484484344716,0.1917306807204464,20,0.21433758690025662,0.6203228376106933
random_cell_year_cv,8,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5679194230477005,0.1642971720774547,0.15292182664289572,20,0.2233734315277264,0.6403385560176661
random_cell_year_cv,8,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5995043395069124,0.1958820885366666,0.1967430111002302,20,0.21591658377224818,0.6240240182227825
random_cell_year_cv,8,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6012848341446044,0.19766258317435864,0.1909725795025775,20,0.21444715034053013,0.6204800475648284
random_cell_year_cv,9,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5680796133983166,0.1644573624280708,0.15303288282523886,20,0.22334071495459668,0.6402696452771747
random_cell_year_cv,9,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.6004230353586992,0.19680078438845344,0.19783047270516113,20,0.21577367012469328,0.6237914490165601
random_cell_year_cv,9,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6020182189834233,0.19839596801317755,0.19119011422594204,20,0.21431008649730646,0.6202773909140307
random_cell_year_cv,10,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5676223239314031,0.16400007296115732,0.15356722636478204,20,0.22341236910942627,0.6404707654165613
random_cell_year_cv,10,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5999891536750648,0.196366902704819,0.19803880102273302,20,0.21589336226742975,0.6241811806991775
random_cell_year_cv,10,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6013565240124646,0.19773427304221886,0.19042034155728962,20,0.21445365633103258,0.6206913035861112
random_cell_year_cv,11,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5681591319976658,0.16453688102741998,0.1531265611790891,20,0.2233328394691698,0.6402301034620439
random_cell_year_cv,11,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.6003987260567019,0.19677647508645607,0.19760542021122937,20,0.21576092231777055,0.6237263065971658
random_cell_year_cv,11,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6023571906551648,0.198734939684919,0.19170199150773892,20,0.21423272449341282,0.620055035961839
random_cell_year_cv,12,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5677505832910958,0.16412833232085006,0.15254605564546017,20,0.22337473511924122,0.6403901799253442
random_cell_year_cv,12,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.600242752621629,0.19662050165138317,0.19795939724886075,20,0.21580354081760014,0.6238245212725055
random_cell_year_cv,12,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6010585035353668,0.19743625256512104,0.19047285760483806,20,0.2144725189567721,0.6206134908400235
random_cell_year_cv,13,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5677739240634286,0.16415167309318285,0.15307231966007043,20,0.22336986769034534,0.6403686848381156
random_cell_year_cv,13,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5991489026253733,0.19552665165512756,0.19716830282709416,20,0.21595423593811874,0.624343096646482
random_cell_year_cv,13,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6004950767394972,0.1968728257692514,0.18988072076166568,20,0.21466121882069109,0.6212350614563109
random_cell_year_cv,14,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5678298170592744,0.1642075660890286,0.15275773231674578,20,0.2233828423348373,0.6403727303804406
random_cell_year_cv,14,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5998337311390697,0.1962114801688239,0.19805581377562712,20,0.21581486596916938,0.6238704165186579
random_cell_year_cv,14,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6013983853046225,0.19777613433437674,0.19129597468876755,20,0.21441310402297298,0.6204942561733179
random_cell_year_cv,15,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5673557259555058,0.16373347498525997,0.1527778229498435,20,0.2234066220423093,0.6405845230560382
random_cell_year_cv,15,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5987578827089058,0.19513563173866005,0.19637593501378317,20,0.2160050639361225,0.6246558386669403
random_cell_year_cv,15,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.5997231415655717,0.19610089059532593,0.1890445359535201,20,0.2146474100632571,0.6214194902064466
random_cell_year_cv,16,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5676778247546027,0.16405557378435692,0.15291732713661826,20,0.22335188058411715,0.6403266335468928
random_cell_year_cv,16,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5999986422502717,0.19637639128002587,0.19794789118985268,20,0.2157618915840731,0.6237216805775522
