domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable,decline_threshold,canopy_cutoff
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,expanding_window,2024,138,46,0.3333333333333333,0.5229148778412952,0.18958154450796189,True,0.2,0.05
full_oisst_domain,logistic,current_only,expanding_window,2005,293,190,0.6484641638225256,0.809531013884452,0.16106685006192645,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2006,241,66,0.27385892116182575,0.5937208674582555,0.3198619462964297,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2007,310,98,0.3161290322580645,0.5517626560434836,0.23563362378541913,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2008,315,107,0.3396825396825397,0.5652682970666043,0.2255857573840646,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2009,317,180,0.5678233438485805,0.7106093645627231,0.1427860207141426,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2010,301,166,0.5514950166112956,0.7460585511391485,0.1945635345278529,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2011,245,118,0.4816326530612245,0.6516797762840877,0.1700471232228632,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2012,255,70,0.27450980392156865,0.5843897076307595,0.30987990370919083,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2013,317,215,0.6782334384858044,0.7711331341853842,0.09289969569957979,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2014,256,117,0.45703125,0.5902007237479038,0.13316947374790378,True,0.2,0.1
full_oisst_domain,logistic,current_only,expanding_window,2015,222,125,0.5630630630630631,0.6869797402920477,0.12391667722898458,True,0.2,0.1
