support_m,model_family,feature_set,year,n,events,prevalence,ap_lift,selected,true_positives
300,random_forest,current_plus_trajectory,2017,96,21,0.21875,0.14446497673758518,20,7
300,random_forest,current_plus_trajectory,2018,119,97,0.8151260504201681,0.009305205056239219,24,19
300,random_forest,current_plus_trajectory,2019,82,21,0.25609756097560976,0.1588566181964054,17,7
300,random_forest,current_plus_trajectory,2020,96,42,0.4375,0.22190451601838312,20,13
300,random_forest,current_plus_trajectory,2021,97,26,0.26804123711340205,0.11827978688634327,20,8
300,random_forest,trajectory_plus_mur,2008,146,52,0.3561643835616438,0.09771557801631447,30,16
300,random_forest,trajectory_plus_mur,2009,140,61,0.4357142857142857,0.07478916558935156,28,13
300,random_forest,trajectory_plus_mur,2010,145,85,0.5862068965517241,0.2334231817125071,29,26
300,random_forest,trajectory_plus_mur,2011,109,49,0.44954128440366975,0.37878463485534913,22,19
300,random_forest,trajectory_plus_mur,2012,108,22,0.2037037037037037,0.4443007719458659,22,14
300,random_forest,trajectory_plus_mur,2013,147,104,0.7074829931972789,0.07920708824069334,30,23
300,random_forest,trajectory_plus_mur,2014,117,38,0.3247863247863248,0.0300203289044772,24,7
300,random_forest,trajectory_plus_mur,2015,117,42,0.358974358974359,0.14116355207587755,24,11
300,random_forest,trajectory_plus_mur,2016,115,69,0.6,0.11393962825426296,23,17
300,random_forest,trajectory_plus_mur,2017,96,21,0.21875,0.12316310403521691,20,6
300,random_forest,trajectory_plus_mur,2018,119,97,0.8151260504201681,0.025425893001913447,24,21
300,random_forest,trajectory_plus_mur,2019,82,21,0.25609756097560976,0.08255645939434575,17,8
300,random_forest,trajectory_plus_mur,2020,96,42,0.4375,0.18832982370671314,20,13
300,random_forest,trajectory_plus_mur,2021,97,26,0.26804123711340205,0.3270333104500774,20,12
300,xgboost,current_only,2008,146,52,0.3561643835616438,0.2183107908357913,30,18
300,xgboost,current_only,2009,140,61,0.4357142857142857,0.009642855331608358,28,13
300,xgboost,current_only,2010,145,85,0.5862068965517241,0.1105591596136305,29,23
300,xgboost,current_only,2011,109,49,0.44954128440366975,0.08811708737090646,22,10
300,xgboost,current_only,2012,108,22,0.2037037037037037,0.33199768330575485,22,11
300,xgboost,current_only,2013,147,104,0.7074829931972789,0.012940678439929076,30,22
300,xgboost,current_only,2014,117,38,0.3247863247863248,0.0725317940531155,24,10
300,xgboost,current_only,2015,117,42,0.358974358974359,0.06480757437496681,24,11
300,xgboost,current_only,2016,115,69,0.6,0.034187566421821525,23,15
300,xgboost,current_only,2017,96,21,0.21875,0.027924680490940657,20,5
300,xgboost,current_only,2018,119,97,0.8151260504201681,0.018915211460874826,24,22
300,xgboost,current_only,2019,82,21,0.25609756097560976,0.060278095365156104,17,4
300,xgboost,current_only,2020,96,42,0.4375,0.15368431747140887,20,12
300,xgboost,current_only,2021,97,26,0.26804123711340205,0.04865010820834176,20,7
300,xgboost,current_plus_trajectory,2008,146,52,0.3561643835616438,0.012214146883489208,30,11
300,xgboost,current_plus_trajectory,2009,140,61,0.4357142857142857,0.09765626647282244,28,17
300,xgboost,current_plus_trajectory,2010,145,85,0.5862068965517241,0.2016338409411501,29,24
300,xgboost,current_plus_trajectory,2011,109,49,0.44954128440366975,0.1829793750417547,22,14
300,xgboost,current_plus_trajectory,2012,108,22,0.2037037037037037,0.36727144316683613,22,11
300,xgboost,current_plus_trajectory,2013,147,104,0.7074829931972789,0.10330486671024752,30,26
300,xgboost,current_plus_trajectory,2014,117,38,0.3247863247863248,0.06259107663239455,24,9
300,xgboost,current_plus_trajectory,2015,117,42,0.358974358974359,0.1116751785794397,24,11
300,xgboost,current_plus_trajectory,2016,115,69,0.6,-0.021896876513329278,23,11
300,xgboost,current_plus_trajectory,2017,96,21,0.21875,0.14884863137818555,20,8
300,xgboost,current_plus_trajectory,2018,119,97,0.8151260504201681,0.006242044187453999,24,21
300,xgboost,current_plus_trajectory,2019,82,21,0.25609756097560976,0.0578387218687329,17,6
300,xgboost,current_plus_trajectory,2020,96,42,0.4375,0.08071679683735766,20,10
300,xgboost,current_plus_trajectory,2021,97,26,0.26804123711340205,0.10721522312448051,20,8
300,xgboost,trajectory_plus_mur,2008,146,52,0.3561643835616438,0.05430592518668287,30,14
300,xgboost,trajectory_plus_mur,2009,140,61,0.4357142857142857,0.05389906008832934,28,16
300,xgboost,trajectory_plus_mur,2010,145,85,0.5862068965517241,0.2158810130122425,29,25
300,xgboost,trajectory_plus_mur,2011,109,49,0.44954128440366975,0.3312443403602036,22,17
300,xgboost,trajectory_plus_mur,2012,108,22,0.2037037037037037,0.4053457383769469,22,13
300,xgboost,trajectory_plus_mur,2013,147,104,0.7074829931972789,0.12363212881057173,30,26
300,xgboost,trajectory_plus_mur,2014,117,38,0.3247863247863248,0.04172930837853189,24,8
300,xgboost,trajectory_plus_mur,2015,117,42,0.358974358974359,0.18333815869639353,24,13
300,xgboost,trajectory_plus_mur,2016,115,69,0.6,0.0863952120532766,23,15
300,xgboost,trajectory_plus_mur,2017,96,21,0.21875,0.20722852227243976,20,9
300,xgboost,trajectory_plus_mur,2018,119,97,0.8151260504201681,0.011308341272536104,24,19
300,xgboost,trajectory_plus_mur,2019,82,21,0.25609756097560976,0.11016690429242759,17,6
300,xgboost,trajectory_plus_mur,2020,96,42,0.4375,0.06468794766995234,20,11
300,xgboost,trajectory_plus_mur,2021,97,26,0.26804123711340205,0.28113469309134304,20,11
1000,logistic,current_only,2008,172,61,0.3546511627906977,0.2629410770372473,35,19
1000,logistic,current_only,2009,171,67,0.391812865497076,0.19536879122377776,35,22
1000,logistic,current_only,2010,174,97,0.5574712643678161,0.10060824010854386,35,26
1000,logistic,current_only,2011,140,49,0.35,0.21466960773042898,28,16
1000,logistic,current_only,2012,147,31,0.2108843537414966,0.39752821727306975,30,17
1000,logistic,current_only,2013,176,131,0.7443181818181818,0.053529591318406955,36,29
1000,logistic,current_only,2014,149,41,0.2751677852348993,-0.003745676300955958,30,7
1000,logistic,current_only,2015,140,53,0.37857142857142856,0.22383960206331266,28,19
1000,logistic,current_only,2016,144,68,0.4722222222222222,0.16482922177723525,29,21
1000,logistic,current_only,2017,133,28,0.21052631578947367,0.015572481482584721,27,7
1000,logistic,current_only,2018,142,125,0.8802816901408451,0.07120032353299244,29,28
1000,logistic,current_only,2019,115,24,0.20869565217391303,-0.053493982447644334,23,2
1000,logistic,current_only,2020,121,46,0.38016528925619836,0.08582393323215293,25,13
1000,logistic,current_only,2021,125,30,0.24,-0.006400128798877636,25,7
1000,logistic,current_plus_trajectory,2008,172,61,0.3546511627906977,0.24782804182037915,35,23
1000,logistic,current_plus_trajectory,2009,171,67,0.391812865497076,0.1591635968318918,35,20
1000,logistic,current_plus_trajectory,2010,174,97,0.5574712643678161,0.13593514453652722,35,28
1000,logistic,current_plus_trajectory,2011,140,49,0.35,0.28315679703040975,28,19
1000,logistic,current_plus_trajectory,2012,147,31,0.2108843537414966,0.34860676563869797,30,16
1000,logistic,current_plus_trajectory,2013,176,131,0.7443181818181818,0.06057528757646513,36,30
1000,logistic,current_plus_trajectory,2014,149,41,0.2751677852348993,0.03804180737746449,30,6
1000,logistic,current_plus_trajectory,2015,140,53,0.37857142857142856,0.24413267542583394,28,23
1000,logistic,current_plus_trajectory,2016,144,68,0.4722222222222222,0.14171975187717245,29,19
1000,logistic,current_plus_trajectory,2017,133,28,0.21052631578947367,0.03117640270225175,27,7
1000,logistic,current_plus_trajectory,2018,142,125,0.8802816901408451,0.07201792448064048,29,29
1000,logistic,current_plus_trajectory,2019,115,24,0.20869565217391303,0.030892050505287566,23,6
1000,logistic,current_plus_trajectory,2020,121,46,0.38016528925619836,0.21785497632863576,25,17
1000,logistic,current_plus_trajectory,2021,125,30,0.24,0.07739713394440795,25,7
1000,logistic,trajectory_plus_mur,2008,172,61,0.3546511627906977,0.17048041086600968,35,17
1000,logistic,trajectory_plus_mur,2009,171,67,0.391812865497076,0.09580126870642386,35,20
1000,logistic,trajectory_plus_mur,2010,174,97,0.5574712643678161,0.1306411360633395,35,28
1000,logistic,trajectory_plus_mur,2011,140,49,0.35,0.429512623669699,28,23
1000,logistic,trajectory_plus_mur,2012,147,31,0.2108843537414966,0.30799340493426874,30,13
1000,logistic,trajectory_plus_mur,2013,176,131,0.7443181818181818,0.06318260834430356,36,30
1000,logistic,trajectory_plus_mur,2014,149,41,0.2751677852348993,0.17988206516867244,30,11
1000,logistic,trajectory_plus_mur,2015,140,53,0.37857142857142856,0.26818176131223637,28,18
1000,logistic,trajectory_plus_mur,2016,144,68,0.4722222222222222,0.20818166130538474,29,21
1000,logistic,trajectory_plus_mur,2017,133,28,0.21052631578947367,0.0027440845212323706,27,5
1000,logistic,trajectory_plus_mur,2018,142,125,0.8802816901408451,0.07608369241065249,29,29
1000,logistic,trajectory_plus_mur,2019,115,24,0.20869565217391303,-0.03212810780589681,23,1
1000,logistic,trajectory_plus_mur,2020,121,46,0.38016528925619836,0.11015637693446606,25,13
1000,logistic,trajectory_plus_mur,2021,125,30,0.24,0.22705876593135604,25,16
1000,random_forest,current_only,2008,172,61,0.3546511627906977,0.18223076353566153,35,17
1000,random_forest,current_only,2009,171,67,0.391812865497076,0.13926414056763553,35,19
1000,random_forest,current_only,2010,174,97,0.5574712643678161,0.0952398743675793,35,23
1000,random_forest,current_only,2011,140,49,0.35,0.18693737744466354,28,14
1000,random_forest,current_only,2012,147,31,0.2108843537414966,0.3801570718809725,30,17
1000,random_forest,current_only,2013,176,131,0.7443181818181818,0.05347929955085673,36,30
1000,random_forest,current_only,2014,149,41,0.2751677852348993,0.005920062572834173,30,6
1000,random_forest,current_only,2015,140,53,0.37857142857142856,0.20707317966259575,28,17
1000,random_forest,current_only,2016,144,68,0.4722222222222222,0.14998386425088572,29,22
1000,random_forest,current_only,2017,133,28,0.21052631578947367,0.011293586056358301,27,6
1000,random_forest,current_only,2018,142,125,0.8802816901408451,0.06015818869511158,29,28
1000,random_forest,current_only,2019,115,24,0.20869565217391303,0.005207196691883631,23,6
1000,random_forest,current_only,2020,121,46,0.38016528925619836,0.08553118164091833,25,10
1000,random_forest,current_only,2021,125,30,0.24,-0.005081271574285229,25,8
1000,random_forest,current_plus_trajectory,2008,172,61,0.3546511627906977,0.08795020860533276,35,15
1000,random_forest,current_plus_trajectory,2009,171,67,0.391812865497076,0.19744069042750684,35,19
1000,random_forest,current_plus_trajectory,2010,174,97,0.5574712643678161,0.15022742118328702,35,27
1000,random_forest,current_plus_trajectory,2011,140,49,0.35,0.3065512509304471,28,18
1000,random_forest,current_plus_trajectory,2012,147,31,0.2108843537414966,0.3936165227716246,30,18
1000,random_forest,current_plus_trajectory,2013,176,131,0.7443181818181818,0.034262666625976435,36,29
1000,random_forest,current_plus_trajectory,2014,149,41,0.2751677852348993,0.026591803955879845,30,7
1000,random_forest,current_plus_trajectory,2015,140,53,0.37857142857142856,0.23669160081487406,28,21
1000,random_forest,current_plus_trajectory,2016,144,68,0.4722222222222222,0.13393980775114733,29,20
1000,random_forest,current_plus_trajectory,2017,133,28,0.21052631578947367,-0.0006395309922127834,27,7
1000,random_forest,current_plus_trajectory,2018,142,125,0.8802816901408451,0.06723998567588496,29,28
1000,random_forest,current_plus_trajectory,2019,115,24,0.20869565217391303,0.00822746329859278,23,3
1000,random_forest,current_plus_trajectory,2020,121,46,0.38016528925619836,0.24679704096233962,25,16
1000,random_forest,current_plus_trajectory,2021,125,30,0.24,0.03649360620965464,25,8
1000,random_forest,trajectory_plus_mur,2008,172,61,0.3546511627906977,0.0852067557227158,35,18
1000,random_forest,trajectory_plus_mur,2009,171,67,0.391812865497076,0.18956915037900585,35,21
1000,random_forest,trajectory_plus_mur,2010,174,97,0.5574712643678161,0.11755041467460814,35,27
1000,random_forest,trajectory_plus_mur,2011,140,49,0.35,0.3937701680131498,28,25
1000,random_forest,trajectory_plus_mur,2012,147,31,0.2108843537414966,0.43629127557176606,30,18
1000,random_forest,trajectory_plus_mur,2013,176,131,0.7443181818181818,0.06273731460947818,36,30
1000,random_forest,trajectory_plus_mur,2014,149,41,0.2751677852348993,0.04226958333465908,30,8
1000,random_forest,trajectory_plus_mur,2015,140,53,0.37857142857142856,0.2580101521808881,28,18
1000,random_forest,trajectory_plus_mur,2016,144,68,0.4722222222222222,0.19688588437823984,29,23
1000,random_forest,trajectory_plus_mur,2017,133,28,0.21052631578947367,0.02308903057109918,27,7
1000,random_forest,trajectory_plus_mur,2018,142,125,0.8802816901408451,0.06278652776555538,29,28
1000,random_forest,trajectory_plus_mur,2019,115,24,0.20869565217391303,-0.006179696418746189,23,3
1000,random_forest,trajectory_plus_mur,2020,121,46,0.38016528925619836,0.19658890424831793,25,13
1000,random_forest,trajectory_plus_mur,2021,125,30,0.24,0.13264279051277095,25,9
1000,xgboost,current_only,2008,172,61,0.3546511627906977,0.17293072468477094,35,19
1000,xgboost,current_only,2009,171,67,0.391812865497076,0.11790862748470382,35,20
1000,xgboost,current_only,2010,174,97,0.5574712643678161,0.09767059250201404,35,24
1000,xgboost,current_only,2011,140,49,0.35,0.18669712331537747,28,14
1000,xgboost,current_only,2012,147,31,0.2108843537414966,0.3813458409014643,30,16
1000,xgboost,current_only,2013,176,131,0.7443181818181818,0.05955032003716976,36,29
1000,xgboost,current_only,2014,149,41,0.2751677852348993,-0.007295966311467561,30,5
1000,xgboost,current_only,2015,140,53,0.37857142857142856,0.1972820164543494,28,18
1000,xgboost,current_only,2016,144,68,0.4722222222222222,0.15877088669715556,29,22
1000,xgboost,current_only,2017,133,28,0.21052631578947367,0.004801642785689814,27,6
1000,xgboost,current_only,2018,142,125,0.8802816901408451,0.06944229314420858,29,28
1000,xgboost,current_only,2019,115,24,0.20869565217391303,0.0022094649222914597,23,5
1000,xgboost,current_only,2020,121,46,0.38016528925619836,0.07313046770639636,25,10
1000,xgboost,current_only,2021,125,30,0.24,-0.00089549122341398,25,8
1000,xgboost,current_plus_trajectory,2008,172,61,0.3546511627906977,0.052361351873209006,35,13
1000,xgboost,current_plus_trajectory,2009,171,67,0.391812865497076,0.15696482341547952,35,20
1000,xgboost,current_plus_trajectory,2010,174,97,0.5574712643678161,0.1868643242613468,35,29
1000,xgboost,current_plus_trajectory,2011,140,49,0.35,0.2679469904998911,28,19
1000,xgboost,current_plus_trajectory,2012,147,31,0.2108843537414966,0.24628465164043323,30,13
1000,xgboost,current_plus_trajectory,2013,176,131,0.7443181818181818,0.057815641670067364,36,30
1000,xgboost,current_plus_trajectory,2014,149,41,0.2751677852348993,0.002826223921259141,30,6
1000,xgboost,current_plus_trajectory,2015,140,53,0.37857142857142856,0.24333561284121563,28,20
1000,xgboost,current_plus_trajectory,2016,144,68,0.4722222222222222,0.10890690723805052,29,20
1000,xgboost,current_plus_trajectory,2017,133,28,0.21052631578947367,-0.018710915074914236,27,6
1000,xgboost,current_plus_trajectory,2018,142,125,0.8802816901408451,0.06585349628681791,29,28
1000,xgboost,current_plus_trajectory,2019,115,24,0.20869565217391303,0.006272456007697186,23,4
1000,xgboost,current_plus_trajectory,2020,121,46,0.38016528925619836,0.17289299315342194,25,16
1000,xgboost,current_plus_trajectory,2021,125,30,0.24,0.018294635400190662,25,7
1000,xgboost,trajectory_plus_mur,2008,172,61,0.3546511627906977,0.0839238449417481,35,19
1000,xgboost,trajectory_plus_mur,2009,171,67,0.391812865497076,0.13258730871293573,35,19
1000,xgboost,trajectory_plus_mur,2010,174,97,0.5574712643678161,0.1275218574919259,35,30
1000,xgboost,trajectory_plus_mur,2011,140,49,0.35,0.39611568184258983,28,24
1000,xgboost,trajectory_plus_mur,2012,147,31,0.2108843537414966,0.3615018320179627,30,15
1000,xgboost,trajectory_plus_mur,2013,176,131,0.7443181818181818,0.07709279999319507,36,31
1000,xgboost,trajectory_plus_mur,2014,149,41,0.2751677852348993,0.04198548495969401,30,8
1000,xgboost,trajectory_plus_mur,2015,140,53,0.37857142857142856,0.16942794006324668,28,19
1000,xgboost,trajectory_plus_mur,2016,144,68,0.4722222222222222,0.19507149387663036,29,21
1000,xgboost,trajectory_plus_mur,2017,133,28,0.21052631578947367,0.04578709393626701,27,6
1000,xgboost,trajectory_plus_mur,2018,142,125,0.8802816901408451,0.07437278875903053,29,28
1000,xgboost,trajectory_plus_mur,2019,115,24,0.20869565217391303,0.13811508819162124,23,8
1000,xgboost,trajectory_plus_mur,2020,121,46,0.38016528925619836,0.03520353825111289,25,11
1000,xgboost,trajectory_plus_mur,2021,125,30,0.24,0.17067515901456776,25,9
