site_id,support_m,overlap_cluster,region_group,year,event,model_family,score_current,score_trajectory,score_mur,risk_percentile_current,risk_percentile_trajectory,risk_percentile_mur,selected_at_budget_current,selected_at_budget_trajectory,selected_at_budget_mur,trajectory_false_negative,trajectory_false_positive,trajectory_rank_quality_pp,mur_signed_rank_gain_pp,mur_brier_gain,grazing_log1p,rock_probability,depth_m,kelp_species_contrast,n_transects
3_PALMS_EAST VRG,300,s300_c000,Southern California,2008,0,logistic,0.30667724780637134,0.2861153178389848,0.5241766535047608,0.1506849315068493,0.10273972602739725,0.7534246575342466,False,False,False,0,0,39.726027397260275,-65.06849315068493,-0.1928991889773468,3.864867665692525,0.673324275,8.711276934,-2.6735537653587342,4
3_PALMS_EAST VRG,300,s300_c000,Southern California,2008,0,random_forest,0.3297821914053675,0.17978345747763316,0.3486676290189945,0.2910958904109589,0.07534246575342465,0.4520547945205479,False,False,False,0,0,42.465753424657535,-37.671232876712324,-0.08924702394311525,3.864867665692525,0.673324275,8.711276934,-2.6735537653587342,4
3_PALMS_EAST VRG,300,s300_c000,Southern California,2008,0,xgboost,0.3628207743167877,0.09805798530578613,0.4225870370864868,0.3561643835616438,0.04794520547945205,0.726027397260274,False,False,False,0,0,45.205479452054796,-67.8082191780822,-0.16896443543130601,3.864867665692525,0.673324275,8.711276934,-2.6735537653587342,4
3_PALMS_EAST VRG,1000,s1000_c000,Southern California,2008,0,logistic,0.22683118864203553,0.2213358199568186,0.3514917746104348,0.09302325581395349,0.12790697674418605,0.7848837209302325,False,False,False,0,0,37.2093023255814,-65.69767441860465,-0.07455692242283546,3.864867665692525,0.673324275,8.711276934,-2.6735537653587342,4
3_PALMS_EAST VRG,1000,s1000_c000,Southern California,2008,0,random_forest,0.19905857170364155,0.11856301938096284,0.25278124276813563,0.06976744186046512,0.03488372093023256,0.3953488372093023,False,False,False,0,0,46.51162790697674,-36.04651162790697,-0.04984116713067256,3.864867665692525,0.673324275,8.711276934,-2.6735537653587342,4
3_PALMS_EAST VRG,1000,s1000_c000,Southern California,2008,0,xgboost,0.21306732296943665,0.08180008828639984,0.24493303894996643,0.08139534883720931,0.03488372093023256,0.5523255813953488,False,False,False,0,0,46.51162790697674,-51.74418604651163,-0.053300939125602964,3.864867665692525,0.673324275,8.711276934,-2.6735537653587342,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2010,1,logistic,0.6837372647374723,0.7092212118974655,0.7950033430749248,0.9724137931034482,0.9655172413793104,0.9655172413793104,True,True,True,0,0,46.55172413793104,0.0,0.04252867425992171,5.108418685868243,0.516933226,10.28960629,-2.5619819897016294,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2010,1,random_forest,0.5557638418447306,0.5517375807813829,0.5511654641429778,0.9103448275862069,0.8689655172413793,0.8551724137931035,True,True,True,0,0,36.89655172413793,-1.3793103448275779,-0.0005132440942612893,5.108418685868243,0.516933226,10.28960629,-2.5619819897016294,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2010,1,xgboost,0.6240554451942444,0.4201318919658661,0.7107753753662109,0.9310344827586207,0.6344827586206897,0.8275862068965517,True,False,True,1,0,13.44827586206897,19.3103448275862,0.2525961392205298,5.108418685868243,0.516933226,10.28960629,-2.5619819897016294,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2011,1,logistic,0.3867939573168699,0.40859541407366123,0.4891325712989535,0.6146788990825688,0.7614678899082569,0.8440366972477065,False,False,True,1,0,26.146788990825687,8.25688073394496,0.08877385454708542,6.383333976789548,0.516933226,10.28960629,-2.644133515347268,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2011,1,random_forest,0.30896909643371034,0.38565018187340433,0.48734727184742754,0.25229357798165136,0.5871559633027523,0.7247706422018348,False,False,False,1,0,8.715596330275233,13.761467889908252,0.11461287934990572,6.383333976789548,0.516933226,10.28960629,-2.644133515347268,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2011,1,xgboost,0.29092568159103394,0.34496286511421204,0.3957194685935974,0.17889908256880735,0.5412844036697247,0.47706422018348627,False,False,False,1,0,4.128440366972475,-6.422018348623848,0.06391868744257767,6.383333976789548,0.516933226,10.28960629,-2.644133515347268,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2012,0,logistic,0.3052765053536815,0.20703472632522005,0.197126494925111,0.018518518518518517,0.10185185185185185,0.3148148148148148,False,False,False,0,0,39.81481481481482,-21.296296296296298,0.004004522903098946,5.915180247785679,0.516933226,10.28960629,-0.8047189562170501,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2012,0,random_forest,0.2871876289680281,0.26279355845517427,0.22139780695815467,0.1388888888888889,0.28703703703703703,0.2962962962962963,False,False,False,0,0,21.296296296296298,-0.9259259259259245,0.020043465439652776,5.915180247785679,0.516933226,10.28960629,-0.8047189562170501,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2012,0,xgboost,0.226455956697464,0.18123109638690948,0.12415692210197449,0.08796296296296297,0.12962962962962962,0.1388888888888889,False,False,False,0,0,37.03703703703704,-0.9259259259259273,0.017429768991765515,5.915180247785679,0.516933226,10.28960629,-0.8047189562170501,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2013,0,logistic,0.280455064930435,0.07865233656000624,0.15213948197208377,0.027210884353741496,0.013605442176870748,0.027210884353741496,False,False,False,0,0,48.63945578231292,-1.3605442176870748,-0.016960231928385507,5.832900523245385,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2013,0,random_forest,0.1641946276331474,0.24027493707985415,0.27980694764994885,0.013605442176870748,0.12244897959183673,0.1292517006802721,False,False,False,0,0,37.755102040816325,-0.6802721088435382,-0.020559882564453347,5.832900523245385,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2013,0,xgboost,0.19669875502586365,0.2724350392818451,0.30733728408813477,0.05102040816326531,0.19047619047619047,0.1836734693877551,False,False,False,0,0,30.952380952380953,0.6802721088435354,-0.020235355562170376,5.832900523245385,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2014,0,logistic,0.310419582315452,0.30819582742085566,0.1764645380302625,0.05128205128205128,0.18803418803418803,0.6666666666666666,False,False,False,0,0,31.196581196581196,-47.86324786324786,0.0638449348573919,5.597433327929865,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2014,0,random_forest,0.26327253886152013,0.27701073477082105,0.25425184647457927,0.1794871794871795,0.23076923076923078,0.37606837606837606,False,False,False,0,0,26.923076923076923,-14.529914529914528,0.012090945742537149,5.597433327929865,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2014,0,xgboost,0.2054910510778427,0.2963784635066986,0.2358422726392746,0.10256410256410256,0.29914529914529914,0.23931623931623933,False,False,False,0,0,20.085470085470085,5.982905982905981,0.03221861606693355,5.597433327929865,0.516933226,10.28960629,0.0,4
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2015,0,logistic,0.47195057829589027,0.6258448028847748,0.722724560760579,0.7435897435897436,0.9145299145299145,0.9487179487179487,False,True,True,0,1,-41.45299145299145,-3.4188034188034178,-0.13064907342868914,2.138333059508028,0.516933226,10.28960629,-3.020127355638707,6
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2015,0,random_forest,0.45879259783582227,0.5436601460407354,0.44794006595303165,0.782051282051282,0.7948717948717948,0.8717948717948718,False,False,True,0,0,-29.487179487179482,-7.692307692307699,0.09491605170702741,2.138333059508028,0.516933226,10.28960629,-3.020127355638707,6
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2015,0,xgboost,0.4756402373313904,0.5707641243934631,0.7778570652008057,0.7735042735042735,0.7008547008547008,0.905982905982906,False,False,True,0,0,-20.08547008547008,-20.512820512820518,-0.2792899281881738,2.138333059508028,0.516933226,10.28960629,-3.020127355638707,6
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2016,0,logistic,0.6965774752915115,0.875636311114829,0.8731473106234879,0.991304347826087,1.0,0.991304347826087,True,True,True,0,1,-50.0,0.8695652173912993,0.0043527232937558,2.0871936349478184,0.516933226,10.28960629,-3.5964671106079,6
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,2016,0,random_forest,0.6038885472703798,0.7254214791015818,0.6290862018565403,0.9565217391304348,0.9826086956521739,0.8608695652173913,True,True,True,0,1,-48.26086956521739,12.173913043478258,0.130486872975639,2.0871936349478184,0.516933226,10.28960629,-3.5964671106079,6
